Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.013124,6.152347,[4 7] ; [14  3],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
a6,1,0.024798,5.037927,[3 8] ; [12  5],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
d4,1,0.039709,4.230272,[7 4] ; [16  1],[9.03571429 1.96428571] ; [13.96428571  3.03571429],0
d2,1,0.053019,3.743316,[8 3] ; [ 6 11],[5.5 5.5] ; [8.5 8.5],0
n4,1,0.117852,2.445633,[10  1] ; [11  6],[8.25 2.75] ; [12.75  4.25],0
d5,1,0.121315,2.400259,[7 4] ; [15  2],[8.64285714 2.35714286] ; [13.35714286  3.64285714],0
p3,1,0.1354,2.229478,[5 6] ; [ 3 13],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
b5,1,0.141929,2.156918,[4 7] ; [11  6],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
a5,1,0.141929,2.156918,[4 7] ; [11  6],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
s2,1,0.267938,1.227273,[5 6] ; [ 4 12],[3.66666667 7.33333333] ; [ 5.33333333 10.66666667],0
a4,1,0.295108,1.096171,[3 8] ; [8 9],[4.32142857 6.67857143] ; [ 6.67857143 10.32142857],0
r1,1,0.295108,1.096171,[3 8] ; [8 9],[4.32142857 6.67857143] ; [ 6.67857143 10.32142857],0
s5,1,0.295366,1.095001,[3 8] ; [ 2 15],[1.96428571 9.03571429] ; [ 3.03571429 13.96428571],0
p5,1,0.295366,1.095001,[3 8] ; [ 2 15],[1.96428571 9.03571429] ; [ 3.03571429 13.96428571],0
s6,1,0.314736,1.010695,[5 6] ; [11  6],[6.28571429 4.71428571] ; [9.71428571 7.28571429],0
r3,1,0.329929,0.949175,[10  1] ; [13  4],[9.03571429 1.96428571] ; [13.96428571  3.03571429],0
a3,1,0.3869,0.748663,[6 5] ; [12  5],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
p7,1,0.39033,0.737913,[7 4] ; [8 9],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
b1,1,0.39033,0.737913,[7 4] ; [8 9],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
n3,1,0.407626,0.685714,[4 1] ; [4 3],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
p8,1,0.488462,0.479912,[6 5] ; [ 7 10],[5.10714286 5.89285714] ; [7.89285714 9.10714286],0
b4,1,0.488462,0.479912,[5 6] ; [10  7],[5.89285714 5.10714286] ; [9.10714286 7.89285714],0
n5,1,0.502716,0.449198,[9 2] ; [12  5],[8.25 2.75] ; [12.75  4.25],0
u3,1,0.527089,0.4,[2 3] ; [3 2],[2.5 2.5] ; [2.5 2.5],0
p12,1,0.527458,0.399287,[ 1 10] ; [ 3 14],[1.57142857 9.42857143] ; [ 2.42857143 14.57142857],0
s4,1,0.544356,0.367526,[3 8] ; [ 3 14],[2.35714286 8.64285714] ; [ 3.64285714 13.35714286],0
p10,1,0.579639,0.306818,[8 3] ; [10  6],[7.33333333 3.66666667] ; [10.66666667  5.33333333],0
n2,1,0.678845,0.171429,[3 2] ; [5 2],[3.33333333 1.66666667] ; [4.66666667 2.33333333],0
d1,1,0.698791,0.149733,[5 6] ; [9 8],[5.5 5.5] ; [8.5 8.5],0
r4,1,0.700472,0.147981,[4 7] ; [ 5 12],[3.53571429 7.46428571] ; [ 5.46428571 11.53571429],0
v4,1,0.700472,0.147981,[7 4] ; [12  5],[7.46428571 3.53571429] ; [11.53571429  5.46428571],0
b2,1,0.70663,0.141667,[2 6] ; [3 6],[2.35294118 5.64705882] ; [2.64705882 6.35294118],0
b3,1,0.70663,0.141667,[2 6] ; [3 6],[2.35294118 5.64705882] ; [2.64705882 6.35294118],0
s1,1,0.74748,0.103661,[ 1 10] ; [ 1 16],[ 0.78571429 10.21428571] ; [ 1.21428571 15.78571429],0
p1,1,0.74748,0.103661,[ 1 10] ; [ 1 16],[ 0.78571429 10.21428571] ; [ 1.21428571 15.78571429],0
n1,1,0.793428,0.068571,[1 4] ; [1 6],[0.83333333 4.16666667] ; [1.16666667 5.83333333],0
p4,1,0.798977,0.064857,[7 4] ; [10  7],[6.67857143 4.32142857] ; [10.32142857  6.67857143],0
v1,1,0.798977,0.064857,[7 4] ; [10  7],[6.67857143 4.32142857] ; [10.32142857  6.67857143],0
s7,1,0.807671,0.059259,[2 7] ; [ 4 11],[2.25 6.75] ; [ 3.75 11.25],0
s3,1,0.824016,0.049454,[3 8] ; [ 5 11],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
p2,1,0.90261,0.014973,[8 3] ; [12  5],[7.85714286 3.14285714] ; [12.14285714  4.85714286],0
s8,1,0.90261,0.014973,[3 8] ; [ 5 12],[3.14285714 7.85714286] ; [ 4.85714286 12.14285714],0
p6,1,0.952092,0.00361,[4 7] ; [ 6 10],[4.07407407 6.92592593] ; [ 5.92592593 10.07407407],0
p9,1,0.952092,0.00361,[7 4] ; [10  6],[6.92592593 4.07407407] ; [10.07407407  5.92592593],0
n6,1,0.954001,0.003327,[7 4] ; [11  6],[7.07142857 3.92857143] ; [10.92857143  6.07142857],0
v3,1,0.954001,0.003327,[4 7] ; [ 6 11],[3.92857143 7.07142857] ; [ 6.07142857 10.92857143],0
p11,1,0.971216,0.001302,[9 2] ; [14  3],[9.03571429 1.96428571] ; [13.96428571  3.03571429],0
u2,1,1.0,0.0,[3 2] ; [3 2],[3. 2.] ; [3. 2.],0
