Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.008161,6.997874,[51 17] ; [6 9],[46.69879518 21.30120482] ; [10.30120482  4.69879518],0
a6,1,0.013458,6.107927,[46 22] ; [ 5 10],[41.78313253 26.21686747] ; [9.21686747 5.78313253],0
d3,1,0.017455,5.650055,[49 19] ; [6 9],[45.06024096 22.93975904] ; [9.93975904 5.06024096],0
n3,1,0.049442,3.860294,[13  4] ; [1 3],[11.33333333  5.66666667] ; [2.66666667 1.33333333],0
a7,1,0.050642,3.820083,[53 15] ; [8 7],[49.97590361 18.02409639] ; [11.02409639  3.97590361],0
v4,1,0.074925,3.171694,[64  4] ; [12  3],[62.26506024  5.73493976] ; [13.73493976  1.26506024],0
p10,1,0.10134,2.684331,[50 17] ; [8 7],[47.3902439 19.6097561] ; [10.6097561  4.3902439],0
u3,1,0.108809,2.571429,[19  6] ; [2 3],[17.5  7.5] ; [3.5 1.5],0
p7,1,0.119364,2.425652,[53 14] ; [9 6],[50.65853659 16.34146341] ; [11.34146341  3.65853659],0
p6,1,0.126784,2.331444,[21 44] ; [8 7],[23.5625 41.4375] ; [5.4375 9.5625],0
s8,1,0.149174,2.080675,[32 36] ; [ 4 11],[29.4939759 38.5060241] ; [6.5060241 8.4939759],0
a4,1,0.156981,2.003071,[19 49] ; [7 8],[21.30120482 46.69879518] ; [ 4.69879518 10.30120482],0
p9,1,0.18289,1.773981,[55 12] ; [10  5],[53.1097561 13.8902439] ; [11.8902439  3.1097561],0
r1,1,0.210315,1.569259,[47 20] ; [8 7],[44.93902439 22.06097561] ; [10.06097561  4.93902439],0
s1,1,0.234897,1.41096,[ 1 67] ; [ 1 14],[ 1.63855422 66.36144578] ; [ 0.36144578 14.63855422],0
a2,1,0.289555,1.121689,[12 56] ; [ 1 14],[10.65060241 57.34939759] ; [ 2.34939759 12.65060241],0
n1,1,0.291699,1.111765,[ 4 13] ; [2 2],[ 4.85714286 12.14285714] ; [1.14285714 2.85714286],0
s3,1,0.311971,1.022314,[37 31] ; [6 9],[35.22891566 32.77108434] ; [7.77108434 7.22891566],0
r3,1,0.313152,1.017333,[64  4] ; [13  2],[63.08433735  4.91566265] ; [13.91566265  1.08433735],0
b3,1,0.334038,0.93318,[10 26] ; [4 5],[11.2 24.8] ; [2.8 6.2],0
b2,1,0.334038,0.93318,[10 26] ; [4 5],[11.2 24.8] ; [2.8 6.2],0
d1,1,0.364198,0.823365,[36 32] ; [6 9],[34.40963855 33.59036145] ; [7.59036145 7.40963855],0
