Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.038867,4.266667,[3 7] ; [5 1],[5. 5.] ; [3. 3.],0
d3,1,0.038867,4.266667,[3 7] ; [5 1],[5. 5.] ; [3. 3.],0
v2,1,0.073638,3.2,[1 9] ; [3 3],[2.5 7.5] ; [1.5 4.5],0
n6,1,0.073638,3.2,[9 1] ; [3 3],[7.5 2.5] ; [4.5 1.5],0
v3,1,0.073638,3.2,[1 9] ; [3 3],[2.5 7.5] ; [1.5 4.5],0
a7,1,0.09073,2.861376,[4 6] ; [5 1],[5.625 4.375] ; [3.375 2.625],0
p3,1,0.152338,2.048677,[3 7] ; [4 2],[4.375 5.625] ; [2.625 3.375],0
a4,1,0.152338,2.048677,[3 7] ; [4 2],[4.375 5.625] ; [2.625 3.375],0
d2,1,0.182422,1.777778,[5 5] ; [5 1],[6.25 3.75] ; [3.75 2.25],0
b4,1,0.210075,1.570909,[8 2] ; [3 3],[6.875 3.125] ; [4.125 1.875],0
s8,1,0.263552,1.25,[2 7] ; [3 3],[3. 6.] ; [2. 4.],0
n1,1,0.270289,1.215278,[1 2] ; [3 1],[1.71428571 1.28571429] ; [2.28571429 1.71428571],0
s6,1,0.291841,1.111111,[8 1] ; [4 2],[7.2 1.8] ; [4.8 1.2],0
s2,1,0.3017,1.066667,[6 4] ; [2 4],[5. 5.] ; [3. 3.],0
r1,1,0.3017,1.066667,[4 6] ; [4 2],[5. 5.] ; [3. 3.],0
p7,1,0.329642,0.950303,[4 6] ; [1 5],[3.125 6.875] ; [1.875 4.125],0
a3,1,0.329642,0.950303,[6 4] ; [5 1],[6.875 3.125] ; [4.125 1.875],0
p10,1,0.329642,0.950303,[6 4] ; [5 1],[6.875 3.125] ; [4.125 1.875],0
p9,1,0.474549,0.511364,[6 3] ; [5 1],[6.6 2.4] ; [4.4 1.6],0
s7,1,0.518605,0.416667,[3 6] ; [3 3],[3.6 5.4] ; [2.4 3.6],0
a5,1,0.550985,0.355556,[8 2] ; [4 2],[7.5 2.5] ; [4.5 1.5],0
s4,1,0.550985,0.355556,[3 7] ; [1 5],[2.5 7.5] ; [1.5 4.5],0
p5,1,0.550985,0.355556,[3 7] ; [1 5],[2.5 7.5] ; [1.5 4.5],0
r2,1,0.550985,0.355556,[7 3] ; [5 1],[7.5 2.5] ; [4.5 1.5],0
p2,1,0.550985,0.355556,[7 3] ; [5 1],[7.5 2.5] ; [4.5 1.5],0
p8,1,0.666955,0.185185,[4 5] ; [2 4],[3.6 5.4] ; [2.4 3.6],0
b5,1,0.69627,0.152381,[6 4] ; [3 3],[5.625 4.375] ; [3.375 2.625],0
a1,1,0.69627,0.152381,[1 9] ; [1 5],[1.25 8.75] ; [0.75 5.25],0
p4,1,0.69627,0.152381,[4 6] ; [3 3],[4.375 5.625] ; [2.625 3.375],0
v1,1,0.69627,0.152381,[4 6] ; [3 3],[4.375 5.625] ; [2.625 3.375],0
n4,1,0.69627,0.152381,[9 1] ; [5 1],[8.75 1.25] ; [5.25 0.75],0
a6,1,0.69627,0.152381,[6 4] ; [3 3],[5.625 4.375] ; [3.375 2.625],0
r4,1,0.69627,0.152381,[6 4] ; [3 3],[5.625 4.375] ; [3.375 2.625],0
s3,1,0.832662,0.044643,[4 5] ; [3 3],[4.2 4.8] ; [2.8 3.2],0
v4,1,0.868645,0.02735,[8 2] ; [5 1],[8.125 1.875] ; [4.875 1.125],0
p6,1,0.889243,0.019394,[3 7] ; [2 4],[3.125 6.875] ; [1.875 4.125],0
p1,1,0.889243,0.019394,[3 7] ; [2 4],[3.125 6.875] ; [1.875 4.125],0
