Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3.5e-05,17.130318,[18 29] ; [102  40],[29.84126984 17.15873016] ; [90.15873016 51.84126984],1
v4,1,0.000135,14.571722,[38  9] ; [137   4],[43.75  3.25] ; [131.25   9.75],1
d5,1,0.00019,13.925628,[29 18] ; [123  19],[37.7989418  9.2010582] ; [114.2010582  27.7989418],1
a2,1,0.00106,10.719369,[ 2 45] ; [ 38 104],[ 9.94708995 37.05291005] ; [ 30.05291005 111.94708995],0
s5,1,0.002363,9.243591,[20 24] ; [ 30 107],[12.15469613 31.84530387] ; [37.84530387 99.15469613],0
r3,1,0.003889,8.334975,[39  8] ; [135   6],[43.5  3.5] ; [130.5  10.5],0
a6,1,0.004113,8.233096,[25 22] ; [107  35],[32.82539683 14.17460317] ; [99.17460317 42.82539683],0
r2,1,0.006427,7.426471,[40  7] ; [134   5],[43.96774194  3.03225806] ; [130.03225806   8.96774194],0
b5,1,0.0464,3.966999,[21 26] ; [87 55],[26.85714286 20.14285714] ; [81.14285714 60.85714286],0
d1,1,0.047353,3.932809,[20 27] ; [84 58],[25.86243386 21.13756614] ; [78.13756614 63.86243386],0
a4,1,0.067148,3.351401,[15 32] ; [67 75],[20.39153439 26.60846561] ; [61.60846561 80.39153439],0
p2,1,0.073025,3.213675,[35 12] ; [121  20],[39.  8.] ; [117.  24.],0
u3,1,0.075655,3.155864,[10 13] ; [34 18],[13.49333333  9.50666667] ; [30.50666667 21.49333333],0
p9,1,0.08281,3.008878,[34 13] ; [119  23],[38.04761905  8.95238095] ; [114.95238095  27.04761905],0
r1,1,0.097982,2.738095,[32 15] ; [111  28],[36.1344086 10.8655914] ; [106.8655914  32.1344086],0
p10,1,0.099727,2.70991,[33 14] ; [115  26],[37. 10.] ; [111.  30.],0
p4,1,0.116189,2.467958,[31 16] ; [110  32],[35.06349206 11.93650794] ; [105.93650794  36.06349206],0
v1,1,0.132683,2.260833,[21 25] ; [80 57],[25.38797814 20.61202186] ; [75.61202186 61.38797814],0
r4,1,0.136905,2.21241,[39  8] ; [129  13],[41.77777778  5.22222222] ; [126.22222222  15.77777778],0
a3,1,0.159332,1.980555,[24 23] ; [89 53],[28.1005291 18.8994709] ; [84.8994709 57.1005291],0
p12,1,0.179037,1.805596,[ 1 45] ; [ 11 131],[ 2.93617021 43.06382979] ; [  9.06382979 132.93617021],0
d4,1,0.184371,1.762034,[33 14] ; [113  29],[36.30687831 10.69312169] ; [109.69312169  32.30687831],0
s2,1,0.192287,1.700005,[11 36] ; [47 93],[14.57754011 32.42245989] ; [43.42245989 96.57754011],0
v2,1,0.197193,1.663044,[22 23] ; [82 55],[25.71428571 19.28571429] ; [78.28571429 58.71428571],0
p6,1,0.23163,1.430824,[13 32] ; [55 87],[16.36363636 28.63636364] ; [51.63636364 90.36363636],0
p11,1,0.235206,1.409099,[35 12] ; [117  25],[37.7989418  9.2010582] ; [114.2010582  27.7989418],0
s1,1,0.239846,1.381501,[ 2 45] ; [  2 140],[ 0.99470899 46.00529101] ; [  3.00529101 138.99470899],0
s6,1,0.273591,1.198653,[21 23] ; [80 60],[24.15217391 19.84782609] ; [76.84782609 63.15217391],0
v3,1,0.288024,1.128833,[12 32] ; [50 89],[14.90710383 29.09289617] ; [47.09289617 91.90710383],0
