Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.062579,3.467692,[12  6] ; [1 4],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
a6,1,0.062579,3.467692,[12  6] ; [1 4],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
n5,1,0.131636,2.273099,[16  2] ; [3 2],[14.86956522  3.13043478] ; [4.13043478 0.86956522],0
s7,1,0.148795,2.084559,[11  6] ; [1 3],[9.71428571 7.28571429] ; [2.28571429 1.71428571],0
s8,1,0.159128,1.982492,[10  8] ; [1 4],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
r1,1,0.159128,1.982492,[10  8] ; [1 4],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
b5,1,0.180802,1.791019,[13  5] ; [2 3],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
s2,1,0.180802,1.791019,[13  5] ; [2 3],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
b1,1,0.231263,1.433077,[9 9] ; [4 1],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
b4,1,0.27976,1.168254,[12  6] ; [2 3],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
d2,1,0.27976,1.168254,[12  6] ; [2 3],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
r2,1,0.294433,1.099239,[14  3] ; [3 2],[13.13636364  3.86363636] ; [3.86363636 1.13636364],0
n2,1,0.325892,0.965152,[9 2] ; [1 1],[8.46153846 2.53846154] ; [1.53846154 0.46153846],0
d3,1,0.399557,0.709658,[11  7] ; [2 3],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
a7,1,0.399557,0.709658,[11  7] ; [2 3],[10.17391304  7.82608696] ; [2.82608696 2.17391304],0
a5,1,0.423206,0.641394,[14  4] ; [3 2],[13.30434783  4.69565217] ; [3.69565217 1.30434783],0
a3,1,0.423206,0.641394,[14  4] ; [3 2],[13.30434783  4.69565217] ; [3.69565217 1.30434783],0
n1,1,0.52179,0.410354,[8 3] ; [1 1],[7.61538462 3.38461538] ; [1.38461538 0.61538462],0
p10,1,0.537892,0.379461,[10  8] ; [2 3],[9.39130435 8.60869565] ; [2.60869565 2.39130435],0
a4,1,0.537892,0.379461,[ 8 10] ; [3 2],[8.60869565 9.39130435] ; [2.39130435 2.60869565],0
u2,1,0.540291,0.375,[1 3] ; [1 1],[1.33333333 2.66666667] ; [0.66666667 1.33333333],0
v1,1,0.566501,0.328571,[ 6 12] ; [1 4],[ 5.47826087 12.52173913] ; [1.52173913 3.47826087],0
p7,1,0.585804,0.296946,[ 6 11] ; [2 2],[ 6.47619048 10.52380952] ; [1.52380952 2.47619048],0
d4,1,0.599275,0.276091,[13  5] ; [3 2],[12.52173913  5.47826087] ; [3.47826087 1.52173913],0
a1,1,0.601598,0.272593,[ 2 16] ; [1 4],[ 2.34782609 15.65217391] ; [0.65217391 4.34782609],0
p6,1,0.726053,0.122767,[ 5 13] ; [1 4],[ 4.69565217 13.30434783] ; [1.30434783 3.69565217],0
s4,1,0.726053,0.122767,[ 5 13] ; [1 4],[ 4.69565217 13.30434783] ; [1.30434783 3.69565217],0
p8,1,0.746188,0.104762,[ 6 12] ; [1 3],[ 5.72727273 12.27272727] ; [1.27272727 2.72727273],0
v4,1,0.781867,0.076667,[12  6] ; [3 2],[11.73913043  6.26086957] ; [3.26086957 1.73913043],0
p4,1,0.859234,0.031453,[ 8 10] ; [2 3],[ 7.82608696 10.17391304] ; [2.17391304 2.82608696],0
p11,1,0.859234,0.031453,[ 8 10] ; [2 3],[ 7.82608696 10.17391304] ; [2.17391304 2.82608696],0
s1,1,0.861894,0.030263,[ 3 15] ; [1 4],[ 3.13043478 14.86956522] ; [0.86956522 4.13043478],0
p2,1,0.964079,0.002028,[11  7] ; [3 2],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
p9,1,0.964079,0.002028,[11  7] ; [3 2],[10.95652174  7.04347826] ; [3.04347826 1.95652174],0
