Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,3e-06,21.686581,[10  3] ; [ 7 45],[3.4 9.6] ; [13.6 38.4],1
s2,1,0.000242,13.474778,[12  3] ; [16 41],[5.83333333 9.16666667] ; [22.16666667 34.83333333],1
s6,1,0.001566,9.99886,[12  2] ; [22 35],[6.70422535 7.29577465] ; [27.29577465 29.70422535],0
p10,1,0.002807,8.928571,[12  2] ; [23 33],[7. 7.] ; [28. 28.],0
s5,1,0.003037,8.785332,[8 6] ; [10 45],[ 3.65217391 10.34782609] ; [14.34782609 40.65217391],0
v1,1,0.003493,8.530347,[10  5] ; [15 42],[5.20833333 9.79166667] ; [19.79166667 37.20833333],0
s3,1,0.005175,7.817143,[11  4] ; [19 38],[6.25 8.75] ; [23.75 33.25],0
p6,1,0.007191,7.224637,[6 9] ; [ 6 50],[ 2.53521127 12.46478873] ; [ 9.46478873 46.53521127],0
a4,1,0.013128,6.151743,[10  5] ; [18 39],[5.83333333 9.16666667] ; [22.16666667 34.83333333],0
d2,1,0.016287,5.77166,[11  4] ; [22 35],[6.875 8.125] ; [26.125 30.875],0
p9,1,0.016427,5.756614,[11  3] ; [23 31],[7. 7.] ; [27. 27.],0
r4,1,0.023984,5.095809,[14  1] ; [36 21],[10.41666667  4.58333333] ; [39.58333333 17.41666667],0
a3,1,0.029789,4.721404,[13  2] ; [32 25],[9.375 5.625] ; [35.625 21.375],0
p11,1,0.037928,4.308253,[10  5] ; [21 36],[6.45833333 8.54166667] ; [24.54166667 32.45833333],0
n5,1,0.071778,3.241878,[8 7] ; [16 40],[5.07042254 9.92957746] ; [18.92957746 37.07042254],0
p4,1,0.071778,3.241878,[8 7] ; [16 40],[5.07042254 9.92957746] ; [18.92957746 37.07042254],0
n2,1,0.085681,2.95371,[8 2] ; [11 12],[5.75757576 4.24242424] ; [13.24242424  9.75757576],0
d1,1,0.105514,2.62015,[9 6] ; [21 36],[6.25 8.75] ; [23.75 33.25],0
a2,1,0.10777,2.586621,[ 4 11] ; [ 6 51],[ 2.08333333 12.91666667] ; [ 7.91666667 49.08333333],0
v3,1,0.109057,2.567832,[ 1 12] ; [16 39],[3.25 9.75] ; [13.75 41.25],0
n1,1,0.11456,2.49016,[5 4] ; [ 6 17],[3.09375 5.90625] ; [ 7.90625 15.09375],0
a5,1,0.119393,2.425263,[11  4] ; [29 28],[8.33333333 6.66666667] ; [31.66666667 25.33333333],0
s4,1,0.244687,1.353383,[ 5 10] ; [11 46],[ 3.33333333 11.66666667] ; [12.66666667 44.33333333],0
a7,1,0.265229,1.241258,[6 9] ; [32 25],[7.91666667 7.08333333] ; [30.08333333 26.91666667],0
p12,1,0.274906,1.192102,[ 1 13] ; [ 1 56],[ 0.3943662 13.6056338] ; [ 1.6056338 55.3943662],0
a8,1,0.274906,1.192102,[ 1 13] ; [ 1 56],[ 0.3943662 13.6056338] ; [ 1.6056338 55.3943662],0
p7,1,0.319296,0.991827,[6 9] ; [15 41],[ 4.43661972 10.56338028] ; [16.56338028 39.43661972],0
v2,1,0.391897,0.733047,[7 6] ; [22 32],[5.62686567 7.37313433] ; [23.37313433 30.62686567],0
r1,1,0.392732,0.730465,[10  5] ; [31 26],[8.54166667 6.45833333] ; [32.45833333 24.54166667],0
p1,1,0.431012,0.620096,[ 2 13] ; [ 4 53],[ 1.25 13.75] ; [ 4.75 52.25],0
n6,1,0.453286,0.562422,[9 6] ; [28 29],[7.70833333 7.29166667] ; [29.29166667 27.70833333],0
b1,1,0.512334,0.429297,[8 7] ; [25 32],[6.875 8.125] ; [26.125 30.875],0
p3,1,0.55396,0.350271,[ 4 11] ; [11 45],[ 3.16901408 11.83098592] ; [11.83098592 44.16901408],0
a6,1,0.594145,0.283917,[8 7] ; [26 31],[7.08333333 7.91666667] ; [26.91666667 30.08333333],0
n3,1,0.599283,0.276078,[6 4] ; [11 11],[5.3125 4.6875] ; [11.6875 10.3125],0
b5,1,0.629418,0.232851,[9 6] ; [38 19],[9.79166667 5.20833333] ; [37.20833333 19.79166667],0
b4,1,0.697031,0.151579,[9 6] ; [31 26],[8.33333333 6.66666667] ; [31.66666667 25.33333333],0
b2,1,0.817085,0.053498,[4 8] ; [ 8 19],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
b3,1,0.817085,0.053498,[4 8] ; [ 8 19],[3.69230769 8.30769231] ; [ 8.30769231 18.69230769],0
a1,1,0.832774,0.044582,[ 1 14] ; [ 3 54],[ 0.83333333 14.16666667] ; [ 3.16666667 53.83333333],0
d3,1,0.865527,0.028677,[7 8] ; [28 29],[7.29166667 7.70833333] ; [27.70833333 29.29166667],0
d4,1,0.978114,0.000753,[11  4] ; [42 15],[11.04166667  3.95833333] ; [41.95833333 15.04166667],0
p8,1,0.99262,8.6e-05,[ 4 11] ; [15 41],[ 4.01408451 10.98591549] ; [14.98591549 41.01408451],0
