Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,49.2426,[79  1] ; [33 34],[60.95238095 19.04761905] ; [51.04761905 15.95238095],1
d4,1,0.0,46.432383,[79  1] ; [35 33],[61.62162162 18.37837838] ; [52.37837838 15.62162162],1
d2,1,0.0,44.889786,[57 23] ; [11 57],[36.75675676 43.24324324] ; [31.24324324 36.75675676],1
d3,1,0.0,41.766313,[75  5] ; [30 36],[57.53424658 22.46575342] ; [47.46575342 18.53424658],1
a5,1,0.0,30.974246,[68 12] ; [28 40],[51.89189189 28.10810811] ; [44.10810811 23.89189189],1
a4,1,0.0,29.048273,[56 24] ; [17 50],[39.72789116 40.27210884] ; [33.27210884 33.72789116],1
a2,1,0.0,28.518214,[36 44] ; [ 4 64],[21.62162162 58.37837838] ; [18.37837838 49.62162162],1
a3,1,2.9e-05,17.485284,[66 13] ; [35 33],[54.27891156 24.72108844] ; [46.72108844 21.27891156],1
n4,1,0.003458,8.548745,[70 10] ; [46 22],[62.7027027 17.2972973] ; [53.2972973 14.7027027],0
p9,1,0.007522,7.143884,[73  7] ; [51 17],[67.02702703 12.97297297] ; [56.97297297 11.02702703],0
r1,1,0.007584,7.129071,[68 11] ; [46 22],[61.26530612 17.73469388] ; [52.73469388 15.26530612],0
p4,1,0.013017,6.166775,[67 13] ; [45 23],[60.54054054 19.45945946] ; [51.45945946 16.54054054],0
n6,1,0.020972,5.329109,[73  7] ; [52 15],[68.02721088 11.97278912] ; [56.97278912 10.02721088],0
v1,1,0.030844,4.661629,[46 33] ; [27 40],[39.5 39.5] ; [33.5 33.5],0
r2,1,0.047503,3.927498,[77  2] ; [60  7],[74.13013699  4.86986301] ; [62.86986301  4.13013699],0
p10,1,0.067759,3.336489,[68 12] ; [48 18],[63.56164384 16.43835616] ; [52.43835616 13.56164384],0
n1,1,0.076322,3.141534,[ 4 14] ; [10 10],[ 6.63157895 11.36842105] ; [ 7.36842105 12.63157895],0
r4,1,0.098998,2.721614,[74  6] ; [57 11],[70.81081081  9.18918919] ; [60.18918919  7.81081081],0
n5,1,0.102276,2.669684,[64 16] ; [45 21],[59.7260274 20.2739726] ; [49.2739726 16.7260274],0
p2,1,0.15945,1.979434,[74  6] ; [58 10],[71.35135135  8.64864865] ; [60.64864865  7.35135135],0
s6,1,0.160544,1.969094,[51 27] ; [35 30],[46.90909091 31.09090909] ; [39.09090909 25.90909091],0
a6,1,0.1684,1.897129,[59 21] ; [43 25],[55.13513514 24.86486486] ; [46.86486486 21.13513514],0
a7,1,0.168835,1.893257,[65 15] ; [48 19],[61.49659864 18.50340136] ; [51.50340136 15.49659864],0
v3,1,0.215588,1.5335,[29 47] ; [19 48],[25.51048951 50.48951049] ; [22.48951049 44.51048951],0
n3,1,0.236219,1.403017,[14  3] ; [13  7],[12.40540541  4.59459459] ; [14.59459459  5.40540541],0
u3,1,0.276718,1.183137,[9 5] ; [15 17],[7.30434783 6.69565217] ; [16.69565217 15.30434783],0
s7,1,0.300771,1.070773,[31 44] ; [21 43],[28.05755396 46.94244604] ; [23.94244604 40.05755396],0
s3,1,0.329003,0.952818,[37 42] ; [26 41],[34.0890411 44.9109589] ; [28.9109589 38.0890411],0
p8,1,0.372856,0.794124,[55 25] ; [42 26],[52.43243243 27.56756757] ; [44.56756757 23.43243243],0
p5,1,0.380384,0.769459,[10 70] ; [12 56],[11.89189189 68.10810811] ; [10.10810811 57.89189189],0
b1,1,0.387676,0.746218,[32 48] ; [32 36],[34.59459459 45.40540541] ; [29.40540541 38.59459459],0
s2,1,0.392294,0.731821,[35 44] ; [25 42],[32.46575342 46.53424658] ; [27.53424658 39.46575342],0
p3,1,0.539365,0.376718,[51 29] ; [40 28],[49.18918919 30.81081081] ; [41.81081081 26.18918919],0
v4,1,0.553966,0.350261,[76  3] ; [64  4],[75.23809524  3.76190476] ; [64.76190476  3.23809524],0
v2,1,0.598089,0.277888,[43 34] ; [35 33],[41.42068966 35.57931034] ; [36.57931034 31.42068966],0
a1,1,0.695998,0.152668,[ 6 74] ; [ 4 64],[ 5.40540541 74.59459459] ; [ 4.59459459 63.40540541],0
b4,1,0.744395,0.106301,[48 32] ; [39 29],[47.02702703 32.97297297] ; [39.97297297 28.02702703],0
s5,1,0.762531,0.0913,[26 50] ; [21 45],[25.15492958 50.84507042] ; [21.84507042 44.15492958],0
s1,1,0.787955,0.072343,[ 3 76] ; [ 2 65],[ 2.70547945 76.29452055] ; [ 2.29452055 64.70547945],0
a8,1,0.837351,0.042141,[ 7 60] ; [ 6 58],[ 6.64885496 60.35114504] ; [ 6.35114504 57.64885496],0
p7,1,0.839162,0.041195,[67 12] ; [56 11],[66.55479452 12.44520548] ; [56.44520548 10.55479452],0
n2,1,0.840617,0.040443,[14  4] ; [15  5],[13.73684211  4.26315789] ; [15.26315789  4.73684211],0
r3,1,0.841689,0.039893,[74  4] ; [64  4],[73.7260274  4.2739726] ; [64.2739726  3.7260274],0
s4,1,0.843181,0.039135,[15 62] ; [12 54],[14.53846154 62.46153846] ; [12.46153846 53.53846154],0
u2,1,0.869889,0.02683,[8 6] ; [18 15],[7.74468085 6.25531915] ; [18.25531915 14.74468085],0
b2,1,0.876657,0.02409,[20 30] ; [15 21],[20.34883721 29.65116279] ; [14.65116279 21.34883721],0
b3,1,0.876657,0.02409,[20 30] ; [15 21],[20.34883721 29.65116279] ; [14.65116279 21.34883721],0
p1,1,0.893983,0.01776,[10 70] ; [ 9 59],[10.27027027 69.72972973] ; [ 8.72972973 59.27027027],0
p11,1,0.905181,0.014189,[63 17] ; [53 15],[62.7027027 17.2972973] ; [53.2972973 14.7027027],0
b5,1,0.985613,0.000325,[46 34] ; [39 29],[45.94594595 34.05405405] ; [39.05405405 28.94594595],0
p12,1,0.987435,0.000248,[ 7 73] ; [ 6 62],[ 7.02702703 72.97297297] ; [ 5.97297297 62.02702703],0
