Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,83.391553,[12 35] ; [266  46],[36.39554318 10.60445682] ; [241.60445682  70.39554318],1
r3,1,0.0,58.1998,[22 24] ; [282  29],[39.17086835  6.82913165] ; [264.82913165  46.17086835],1
p2,1,0.0,42.57152,[14 33] ; [237  73],[33.04481793 13.95518207] ; [217.95518207  92.04481793],1
r2,1,0.0,40.499121,[25 19] ; [283  27],[38.28248588  5.71751412] ; [269.71751412  40.28248588],1
r1,1,0.0,30.467268,[18 29] ; [239  71],[33.83473389 13.16526611] ; [223.16526611  86.83473389],1
n6,1,0.0,26.933767,[20 26] ; [247  65],[34.30726257 11.69273743] ; [232.69273743  79.30726257],1
p10,1,2e-06,22.667891,[17 29] ; [223  86],[31.09859155 14.90140845] ; [208.90140845 100.09859155],1
p9,1,1.6e-05,18.559732,[20 25] ; [231  75],[32.17948718 12.82051282] ; [218.82051282  87.17948718],1
p11,1,3.2e-05,17.289936,[21 26] ; [232  80],[33.12256267 13.87743733] ; [219.87743733  92.12256267],1
p8,1,0.001286,10.362382,[ 8 38] ; [130 178],[17.93220339 28.06779661] ; [120.06779661 187.93220339],0
a6,1,0.001465,10.12227,[22 25] ; [219  93],[31.55153203 15.44846797] ; [209.44846797 102.55153203],0
a1,1,0.001598,9.961599,[ 6 41] ; [  9 303],[ 1.9637883 45.0362117] ; [ 13.0362117 298.9637883],0
s6,1,0.001605,9.954576,[ 9 38] ; [134 175],[18.87921348 28.12078652] ; [124.12078652 184.87921348],0
u3,1,0.001639,9.91501,[ 2 16] ; [58 56],[8.18181818 9.81818182] ; [51.81818182 62.18181818],0
v2,1,0.002165,9.404159,[12 34] ; [150 148],[21.6627907 24.3372093] ; [140.3372093 157.6627907],0
u2,1,0.002908,8.864186,[ 3 15] ; [61 51],[8.86153846 9.13846154] ; [55.13846154 56.86153846],0
p7,1,0.003414,8.572045,[12 35] ; [148 158],[21.30311615 25.69688385] ; [138.69688385 167.30311615],0
p3,1,0.00576,7.623956,[ 8 39] ; [117 194],[16.41061453 30.58938547] ; [108.58938547 202.41061453],0
p1,1,0.007558,7.135369,[ 7 40] ; [ 15 295],[ 2.89635854 44.10364146] ; [ 19.10364146 290.89635854],0
p4,1,0.007886,7.059161,[10 37] ; [128 180],[18.27042254 28.72957746] ; [119.72957746 188.27042254],0
a7,1,0.009362,6.752517,[24 23] ; [218  93],[31.77094972 15.22905028] ; [210.22905028 100.77094972],0
b5,1,0.01734,5.661624,[20 27] ; [190 122],[27.49303621 19.50696379] ; [182.50696379 129.49303621],0
v3,1,0.018312,5.566041,[ 7 40] ; [ 95 204],[13.85549133 33.14450867] ; [ 88.14450867 210.85549133],0
