Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,1e-06,23.657744,[30  7] ; [ 5 21],[20.55555556 16.44444444] ; [14.44444444 11.55555556],1
s2,1,4e-05,16.865448,[24 14] ; [ 3 23],[16.03125 21.96875] ; [10.96875 15.03125],1
p4,1,0.004835,7.940074,[28 10] ; [10 16],[22.5625 15.4375] ; [15.4375 10.5625],0
s7,1,0.007149,7.235129,[20 18] ; [ 5 21],[14.84375 23.15625] ; [10.15625 15.84375],0
s5,1,0.017028,5.693498,[10 27] ; [ 1 25],[ 6.46031746 30.53968254] ; [ 4.53968254 21.46031746],0
d4,1,0.018927,5.508276,[33  5] ; [16 10],[29.09375  8.90625] ; [19.90625  6.09375],0
s8,1,0.021217,5.308856,[18 20] ; [ 5 21],[13.65625 24.34375] ; [ 9.34375 16.65625],0
n1,1,0.03615,4.390023,[6 1] ; [3 6],[3.9375 3.0625] ; [5.0625 3.9375],0
d5,1,0.039666,4.232119,[32  6] ; [16 10],[28.5  9.5] ; [19.5  6.5],0
u3,1,0.071254,3.253889,[10  7] ; [3 9],[7.62068966 9.37931034] ; [5.37931034 6.62068966],0
a8,1,0.08521,2.962614,[ 6 24] ; [ 1 23],[ 3.88888889 26.11111111] ; [ 3.11111111 20.88888889],0
n5,1,0.099829,2.708267,[24 14] ; [11 15],[20.78125 17.21875] ; [14.21875 11.78125],0
r1,1,0.116822,2.459416,[31  7] ; [16  9],[28.34920635  9.65079365] ; [18.65079365  6.34920635],0
u1,1,0.148252,2.090148,[ 8 30] ; [ 2 24],[ 5.9375 32.0625] ; [ 4.0625 21.9375],0
b5,1,0.170035,1.882631,[23 15] ; [20  6],[25.53125 12.46875] ; [17.46875  8.53125],0
p5,1,0.20941,1.575504,[ 5 33] ; [ 1 25],[ 3.5625 34.4375] ; [ 2.4375 23.5625],0
p3,1,0.223035,1.484737,[19 19] ; [ 9 17],[16.625 21.375] ; [11.375 14.625],0
r4,1,0.301601,1.067104,[33  5] ; [20  6],[31.46875  6.53125] ; [21.53125  4.46875],0
s1,1,0.327625,0.958263,[ 1 37] ; [ 2 23],[ 1.80952381 36.19047619] ; [ 1.19047619 23.80952381],0
v4,1,0.345742,0.889024,[35  3] ; [22  4],[33.84375  4.15625] ; [23.15625  2.84375],0
d2,1,0.404445,0.695071,[15 23] ; [13 13],[16.625 21.375] ; [11.375 14.625],0
p9,1,0.436257,0.606108,[17 20] ; [ 9 16],[15.51612903 21.48387097] ; [10.48387097 14.51612903],0
a6,1,0.475983,0.508052,[23 15] ; [18  8],[24.34375 13.65625] ; [16.65625  9.34375],0
n3,1,0.485845,0.485714,[3 4] ; [6 4],[3.70588235 3.29411765] ; [5.29411765 4.70588235],0
a4,1,0.490582,0.475249,[13 24] ; [ 7 19],[11.74603175 25.25396825] ; [ 8.25396825 17.74603175],0
d3,1,0.528509,0.397258,[29  9] ; [18  8],[27.90625 10.09375] ; [19.09375  6.90625],0
a2,1,0.568293,0.325548,[ 8 30] ; [ 4 22],[ 7.125 30.875] ; [ 4.875 21.125],0
v2,1,0.610733,0.259109,[18 20] ; [14 12],[19. 19.] ; [13. 13.],0
r2,1,0.623312,0.24124,[35  3] ; [23  3],[34.4375  3.5625] ; [23.5625  2.4375],0
a7,1,0.6309,0.230843,[27 11] ; [17  9],[26.125 11.875] ; [17.875  8.125],0
b3,1,0.652101,0.203261,[ 7 18] ; [ 3 11],[ 6.41025641 18.58974359] ; [ 3.58974359 10.41025641],0
b2,1,0.652101,0.203261,[ 7 18] ; [ 3 11],[ 6.41025641 18.58974359] ; [ 3.58974359 10.41025641],0
a5,1,0.659827,0.193734,[24 14] ; [15 11],[23.15625 14.84375] ; [15.84375 10.15625],0
r3,1,0.693366,0.155466,[36  2] ; [24  2],[35.625  2.375] ; [24.375  1.625],0
v3,1,0.710368,0.13791,[12 25] ; [ 7 18],[11.33870968 25.66129032] ; [ 7.66129032 17.33870968],0
u2,1,0.72759,0.121336,[ 6 11] ; [5 7],[ 6.44827586 10.55172414] ; [4.55172414 7.44827586],0
v1,1,0.77067,0.084971,[16 22] ; [10 16],[15.4375 22.5625] ; [10.5625 15.4375],0
a3,1,0.818954,0.052391,[21 16] ; [14 12],[20.55555556 16.44444444] ; [14.44444444 11.55555556],0
p2,1,0.847433,0.037016,[30  8] ; [20  6],[29.6875  8.3125] ; [20.3125  5.6875],0
p11,1,0.847433,0.037016,[21 17] ; [15 11],[21.375 16.625] ; [14.625 11.375],0
p7,1,0.859587,0.031293,[27 11] ; [19  7],[27.3125 10.6875] ; [18.6875  7.3125],0
n6,1,0.882862,0.02171,[28 10] ; [18  7],[27.74603175 10.25396825] ; [18.25396825  6.74603175],0
b1,1,0.910948,0.012509,[17 21] ; [12 14],[17.21875 20.78125] ; [11.78125 14.21875],0
d1,1,0.923815,0.009145,[20 18] ; [14 12],[20.1875 17.8125] ; [13.8125 12.1875],0
p1,1,0.927908,0.008186,[ 4 33] ; [ 3 23],[ 4.11111111 32.88888889] ; [ 2.88888889 23.11111111],0
p6,1,0.932655,0.007141,[17 21] ; [11 13],[17.16129032 20.83870968] ; [10.83870968 13.16129032],0
n4,1,0.935037,0.006644,[23 15] ; [16 10],[23.15625 14.84375] ; [15.84375 10.15625],0
b4,1,0.935037,0.006644,[23 15] ; [16 10],[23.15625 14.84375] ; [15.84375 10.15625],0
n2,1,0.949272,0.004048,[5 2] ; [7 3],[4.94117647 2.05882353] ; [7.05882353 2.94117647],0
