Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.6e-05,16.605761,[13  3] ; [24 62],[ 5.80392157 10.19607843] ; [31.19607843 54.80392157],1
p8,1,0.012053,6.30303,[8 8] ; [18 70],[ 4. 12.] ; [22. 66.],0
d4,1,0.034523,4.468618,[8 8] ; [66 21],[11.49514563  4.50485437] ; [62.50485437 24.49514563],0
p2,1,0.059473,3.552032,[11  5] ; [38 50],[7.53846154 8.46153846] ; [41.46153846 46.53846154],0
p4,1,0.0633,3.44875,[8 8] ; [23 63],[ 4.8627451 11.1372549] ; [26.1372549 59.8627451],0
b5,1,0.077684,3.112695,[12  4] ; [45 43],[8.76923077 7.23076923] ; [48.23076923 39.76923077],0
n5,1,0.078471,3.096283,[ 5 11] ; [48 39],[8.23300971 7.76699029] ; [44.76699029 42.23300971],0
d1,1,0.092234,2.834946,[ 4 12] ; [42 46],[7.07692308 8.92307692] ; [38.92307692 49.07692308],0
a5,1,0.130472,2.286878,[ 6 10] ; [51 37],[8.76923077 7.23076923] ; [48.23076923 39.76923077],0
b4,1,0.134313,2.241932,[7 9] ; [56 32],[9.69230769 6.30769231] ; [53.30769231 34.69230769],0
a3,1,0.16542,1.923963,[ 6 10] ; [49 38],[8.54368932 7.45631068] ; [46.45631068 40.54368932],0
b1,1,0.166941,1.910204,[11  5] ; [44 44],[8.46153846 7.53846154] ; [46.53846154 41.46153846],0
p3,1,0.170727,1.876548,[ 6 10] ; [19 69],[ 3.84615385 12.15384615] ; [21.15384615 66.84615385],0
s7,1,0.1806,1.792683,[ 4 10] ; [12 72],[ 2.28571429 11.71428571] ; [13.71428571 70.28571429],0
r3,1,0.194125,1.686035,[14  2] ; [62 24],[11.92156863  4.07843137] ; [64.07843137 21.92156863],0
r4,1,0.19935,1.647133,[12  4] ; [51 37],[9.69230769 6.30769231] ; [53.30769231 34.69230769],0
a6,1,0.219762,1.505923,[7 9] ; [53 35],[9.23076923 6.76923077] ; [50.76923077 37.23076923],0
v4,1,0.304271,1.055383,[14  2] ; [66 21],[12.42718447  3.57281553] ; [67.57281553 19.42718447],0
d2,1,0.315458,1.007683,[ 6 10] ; [44 42],[7.84313725 8.15686275] ; [42.15686275 43.84313725],0
p1,1,0.323949,0.972936,[ 2 14] ; [ 5 82],[ 1.08737864 14.91262136] ; [ 5.91262136 81.08737864],0
a8,1,0.327201,0.959943,[ 2 13] ; [ 5 76],[ 1.09375 13.90625] ; [ 5.90625 75.09375],0
n4,1,0.364724,0.821563,[8 8] ; [54 33],[9.63106796 6.36893204] ; [52.36893204 34.63106796],0
n2,1,0.394756,0.724243,[5 2] ; [20 17],[3.97727273 3.02272727] ; [21.02272727 15.97727273],0
n1,1,0.399901,0.708624,[3 4] ; [10 27],[2.06818182 4.93181818] ; [10.93181818 26.06818182],0
v3,1,0.417355,0.657752,[ 3 13] ; [24 60],[ 4.32 11.68] ; [22.68 61.32],0
r1,1,0.421908,0.644996,[9 7] ; [58 29],[10.40776699  5.59223301] ; [56.59223301 30.40776699],0
d5,1,0.464609,0.534769,[10  6] ; [63 25],[11.23076923  4.76923077] ; [61.76923077 26.23076923],0
p10,1,0.504593,0.445264,[ 2 14] ; [17 70],[ 2.95145631 13.04854369] ; [16.04854369 70.95145631],0
a2,1,0.516188,0.421503,[ 2 14] ; [17 71],[ 2.92307692 13.07692308] ; [16.07692308 71.92307692],0
s4,1,0.54067,0.3743,[ 1 15] ; [10 78],[ 1.69230769 14.30769231] ; [ 9.30769231 78.69230769],0
r2,1,0.544291,0.367645,[14  2] ; [69 16],[13.14851485  2.85148515] ; [69.85148515 15.14851485],0
a4,1,0.552863,0.352214,[ 5 11] ; [34 53],[6.05825243 9.94174757] ; [32.94174757 54.05825243],0
p11,1,0.55469,0.348981,[8 8] ; [37 51],[6.92307692 9.07692308] ; [38.07692308 49.92307692],0
u2,1,0.5914,0.288163,[5 5] ; [15 22],[4.25531915 5.74468085] ; [15.74468085 21.25531915],0
u3,1,0.622135,0.242878,[4 6] ; [19 20],[4.69387755 5.30612245] ; [18.30612245 20.69387755],0
s6,1,0.629522,0.232709,[ 5 10] ; [24 64],[ 4.22330097 10.77669903] ; [24.77669903 63.22330097],0
v1,1,0.671426,0.179938,[ 5 11] ; [23 65],[ 4.30769231 11.69230769] ; [23.69230769 64.30769231],0
v2,1,0.752182,0.099707,[7 9] ; [34 52],[6.43137255 9.56862745] ; [34.56862745 51.43137255],0
n6,1,0.77862,0.079028,[11  5] ; [56 30],[10.50980392  5.49019608] ; [56.49019608 29.50980392],0
b2,1,0.782805,0.075991,[3 8] ; [17 37],[3.38461538 7.61538462] ; [16.61538462 37.38461538],0
b3,1,0.782805,0.075991,[3 8] ; [17 37],[3.38461538 7.61538462] ; [16.61538462 37.38461538],0
s8,1,0.82604,0.048304,[ 2 13] ; [10 78],[ 1.74757282 13.25242718] ; [10.25242718 77.74757282],0
s5,1,0.883856,0.02134,[ 2 13] ; [13 75],[ 2.18446602 12.81553398] ; [12.81553398 75.18446602],0
s2,1,0.889678,0.019241,[ 2 14] ; [12 75],[ 2.17475728 13.82524272] ; [11.82524272 75.17475728],0
u1,1,0.895876,0.017128,[ 2 14] ; [10 78],[ 1.84615385 14.15384615] ; [10.15384615 77.84615385],0
d3,1,0.966424,0.001772,[9 7] ; [49 39],[8.92307692 7.07692308] ; [49.07692308 38.92307692],0
a7,1,0.982381,0.000488,[10  6] ; [54 32],[10.03921569  5.96078431] ; [53.96078431 32.03921569],0
