Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.409989,[29 21] ; [ 30 108],[15.69148936 34.30851064] ; [43.30851064 94.69148936],1
d2,1,0.001269,10.38699,[33 18] ; [53 85],[23.20634921 27.79365079] ; [62.79365079 75.20634921],0
s3,1,0.003936,8.313318,[29 21] ; [47 89],[20.43010753 29.56989247] ; [55.56989247 80.43010753],0
s6,1,0.005003,7.878416,[36 14] ; [66 69],[27.56756757 22.43243243] ; [74.43243243 60.56756757],0
d1,1,0.007839,7.069998,[36 15] ; [68 71],[27.91578947 23.08421053] ; [76.08421053 62.91578947],0
b3,1,0.011775,6.344375,[18 18] ; [20 57],[12.10619469 23.89380531] ; [25.89380531 51.10619469],0
b2,1,0.011775,6.344375,[18 18] ; [20 57],[12.10619469 23.89380531] ; [25.89380531 51.10619469],0
p9,1,0.017989,5.597189,[47  4] ; [107  32],[41.33684211  9.66315789] ; [112.66315789  26.33684211],0
n2,1,0.019158,5.487013,[4 5] ; [18  3],[6.6 2.4] ; [15.4  5.6],0
d5,1,0.041469,4.156757,[46  5] ; [107  32],[41.06842105  9.93157895] ; [111.93157895  27.06842105],0
p2,1,0.042838,4.101768,[47  4] ; [110  28],[42.36507937  8.63492063] ; [114.63492063  23.36507937],0
p11,1,0.104079,2.641902,[45  6] ; [108  31],[41.06842105  9.93157895] ; [111.93157895  27.06842105],0
n3,1,0.108809,2.571429,[6 3] ; [19  2],[7.5 1.5] ; [17.5  3.5],0
p10,1,0.12802,2.316352,[44  7] ; [105  33],[40.20634921 10.79365079] ; [108.79365079  29.20634921],0
p6,1,0.14505,2.123552,[23 28] ; [46 91],[18.71808511 32.28191489] ; [50.28191489 86.71808511],0
p1,1,0.164376,1.933504,[ 3 48] ; [ 18 120],[ 5.66666667 45.33333333] ; [ 15.33333333 122.66666667],0
r4,1,0.168576,1.895562,[48  3] ; [121  18],[45.36315789  5.63684211] ; [123.63684211  15.36315789],0
p5,1,0.168576,1.895562,[ 3 48] ; [ 18 121],[ 5.63684211 45.36315789] ; [ 15.36315789 123.63684211],0
r1,1,0.169686,1.885713,[42  8] ; [102  35],[38.5026738 11.4973262] ; [105.4973262  31.5026738],0
p12,1,0.217028,1.523915,[ 5 45] ; [  7 132],[ 3.17460317 46.82539683] ; [  8.82539683 130.17460317],0
s4,1,0.225653,1.468055,[10 41] ; [ 17 118],[ 7.40322581 43.59677419] ; [ 19.59677419 115.40322581],0
v1,1,0.252001,1.312178,[30 18] ; [72 64],[26.60869565 21.39130435] ; [75.39130435 60.60869565],0
u3,1,0.252702,1.308305,[14  6] ; [31 25],[11.84210526  8.15789474] ; [33.15789474 22.84210526],0
v3,1,0.257317,1.283132,[20 29] ; [43 92],[16.77717391 32.22282609] ; [46.22282609 88.77717391],0
r3,1,0.265965,1.237442,[49  2] ; [126  12],[47.22222222  3.77777778] ; [127.77777778  10.22222222],0
a8,1,0.267113,1.231514,[ 7 40] ; [ 11 111],[ 5.00591716 41.99408284] ; [ 12.99408284 109.00591716],0
a5,1,0.277424,1.179665,[40 11] ; [98 41],[37.04210526 13.95789474] ; [100.95789474  38.04210526],0
n6,1,0.280989,1.162299,[39 12] ; [115  23],[41.55555556  9.44444444] ; [112.44444444  25.55555556],0
s1,1,0.290805,1.115889,[ 2 49] ; [  2 137],[ 1.07368421 49.92631579] ; [  2.92631579 136.07368421],0
b4,1,0.294238,1.100129,[34 17] ; [81 58],[30.86842105 20.13157895] ; [84.13157895 54.86842105],0
v2,1,0.299425,1.076754,[30 17] ; [75 61],[26.96721311 20.03278689] ; [78.03278689 57.96721311],0
p8,1,0.300761,1.070818,[35 16] ; [84 55],[31.94210526 19.05789474] ; [87.05789474 51.94210526],0
a6,1,0.334755,0.930415,[33 18] ; [100  39],[35.7 15.3] ; [97.3 41.7],0
b1,1,0.337548,0.919722,[26 25] ; [60 79],[23.08421053 27.91578947] ; [62.91578947 76.08421053],0
a2,1,0.363446,0.825951,[13 38] ; [ 27 112],[10.73684211 40.26315789] ; [ 29.26315789 109.73684211],0
r2,1,0.415162,0.66397,[48  2] ; [127  10],[46.79144385  3.20855615] ; [128.20855615   8.79144385],0
s5,1,0.494424,0.466884,[15 33] ; [35 99],[13.18681319 34.81318681] ; [36.81318681 97.18681319],0
b5,1,0.5108,0.432429,[27 24] ; [81 58],[28.98947368 22.01052632] ; [79.01052632 59.98947368],0
d4,1,0.546285,0.364014,[41 10] ; [106  33],[39.45789474 11.54210526] ; [107.54210526  31.45789474],0
a7,1,0.550174,0.357005,[36 14] ; [106  33],[37.56613757 12.43386243] ; [104.43386243  34.56613757],0
p7,1,0.61936,0.246769,[37 13] ; [97 41],[35.63829787 14.36170213] ; [98.36170213 39.63829787],0
d3,1,0.68119,0.168789,[31 20] ; [89 50],[32.21052632 18.78947368] ; [87.78947368 51.21052632],0
u2,1,0.700964,0.147471,[ 9 11] ; [28 28],[ 9.73684211 10.26315789] ; [27.26315789 28.73684211],0
n1,1,0.718567,0.12987,[2 7] ; [ 6 15],[2.4 6.6] ; [ 5.6 15.4],0
p4,1,0.739027,0.110983,[39 12] ; [103  36],[38.11578947 12.88421053] ; [103.88421053  35.11578947],0
v4,1,0.74224,0.108168,[48  3] ; [128  10],[47.49206349  3.50793651] ; [128.50793651   9.49206349],0
a4,1,0.743625,0.106966,[23 28] ; [59 80],[22.01052632 28.98947368] ; [59.98947368 79.01052632],0
u1,1,0.763558,0.090488,[ 9 42] ; [ 22 117],[ 8.32105263 42.67894737] ; [ 22.67894737 116.32105263],0
a3,1,0.823616,0.049683,[31 20] ; [82 57],[30.33157895 20.66842105] ; [82.66842105 56.33157895],0
n5,1,0.954334,0.003279,[36 15] ; [98 40],[36.15873016 14.84126984] ; [97.84126984 40.15873016],0
n4,1,0.975747,0.000924,[39 12] ; [106  33],[38.92105263 12.07894737] ; [106.07894737  32.92105263],0
