Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000196,13.87263,[9 3] ; [ 7 32],[3.76470588 8.23529412] ; [12.23529412 26.76470588],1
s6,1,0.000338,12.84965,[9 2] ; [ 9 30],[3.96 7.04] ; [14.04 24.96],1
s2,1,0.000499,12.117612,[8 4] ; [ 6 33],[3.29411765 8.70588235] ; [10.70588235 28.29411765],1
a5,1,0.017805,5.615226,[11  1] ; [21 18],[7.52941176 4.47058824] ; [24.47058824 14.52941176],0
s3,1,0.025816,4.968311,[7 4] ; [10 27],[3.89583333 7.10416667] ; [13.10416667 23.89583333],0
p6,1,0.027742,4.844043,[5 7] ; [ 5 34],[2.35294118 9.64705882] ; [ 7.64705882 31.35294118],0
p2,1,0.031757,4.611589,[9 3] ; [15 23],[5.76 6.24] ; [18.24 19.76],0
n6,1,0.041394,4.159825,[10  2] ; [19 19],[6.96 5.04] ; [22.04 15.96],0
b5,1,0.056993,3.622811,[9 3] ; [17 22],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
d4,1,0.08,3.064904,[9 3] ; [18 21],[6.35294118 5.64705882] ; [20.64705882 18.35294118],0
p9,1,0.082843,3.008233,[9 2] ; [20 18],[6.51020408 4.48979592] ; [22.48979592 15.51020408],0
d1,1,0.084162,2.982635,[7 5] ; [12 27],[4.47058824 7.52941176] ; [14.52941176 24.47058824],0
v4,1,0.118876,2.432069,[11  1] ; [27 12],[8.94117647 3.05882353] ; [29.05882353  9.94117647],0
a4,1,0.140306,2.174601,[6 6] ; [10 27],[3.91836735 8.08163265] ; [12.08163265 24.91836735],0
a3,1,0.145956,2.114019,[10  2] ; [23 15],[7.92 4.08] ; [25.08 12.92],0
p10,1,0.146866,2.104503,[9 3] ; [20 19],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
n5,1,0.155861,2.01393,[11  1] ; [28 11],[9.17647059 2.82352941] ; [29.82352941  9.17647059],0
p11,1,0.167291,1.907051,[7 5] ; [14 25],[4.94117647 7.05882353] ; [16.05882353 22.94117647],0
s7,1,0.175836,1.83247,[5 6] ; [ 9 28],[3.20833333 7.79166667] ; [10.79166667 26.20833333],0
p3,1,0.179556,1.801295,[6 6] ; [11 27],[4.08 7.92] ; [12.92 25.08],0
v2,1,0.185326,1.754386,[4 8] ; [ 6 32],[2.4 9.6] ; [ 7.6 30.4],0
p5,1,0.207782,1.586816,[3 9] ; [ 4 34],[ 1.68 10.32] ; [ 5.32 32.68],0
a7,1,0.213862,1.545089,[8 4] ; [18 21],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
p8,1,0.264855,1.243201,[6 5] ; [14 25],[4.4 6.6] ; [15.6 23.4],0
