Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000279,13.20495,[81 41] ; [ 9 21],[72.23684211 49.76315789] ; [17.76315789 12.23684211],1
s2,1,0.00787,7.062879,[41 81] ; [18 12],[47.35526316 74.64473684] ; [11.64473684 18.35526316],0
s5,1,0.0155,5.858735,[20 97] ; [10 16],[24.54545455 92.45454545] ; [ 5.45454545 20.54545455],0
s1,1,0.02218,5.231578,[  2 119] ; [ 3 27],[  4.00662252 116.99337748] ; [ 0.99337748 29.00662252],0
u3,1,0.038005,4.304781,[ 9 32] ; [10 11],[12.56451613 28.43548387] ; [ 6.43548387 14.56451613],0
s6,1,0.043433,4.07848,[56 64] ; [19  9],[60.81081081 59.18918919] ; [14.18918919 13.81081081],0
n4,1,0.049625,3.854069,[101  21] ; [20 10],[97.11842105 24.88157895] ; [23.88157895  6.11842105],0
a6,1,0.058925,3.567392,[76 46] ; [13 17],[71.43421053 50.56578947] ; [17.56578947 12.43421053],0
p2,1,0.074791,3.174603,[80 40] ; [25  5],[84. 36.] ; [21.  9.],0
v3,1,0.083944,2.986839,[39 80] ; [ 5 25],[35.1409396 83.8590604] ; [ 8.8590604 21.1409396],0
d1,1,0.093067,2.820512,[53 69] ; [ 8 22],[48.96052632 73.03947368] ; [12.03947368 17.96052632],0
p5,1,0.122245,2.388324,[ 16 104] ; [ 1 29],[ 13.6 106.4] ; [ 3.4 26.6],0
a2,1,0.127782,2.319241,[ 16 106] ; [ 1 29],[ 13.64473684 108.35526316] ; [ 3.35526316 26.64473684],0
a5,1,0.140191,2.175858,[75 47] ; [14 16],[71.43421053 50.56578947] ; [17.56578947 12.43421053],0
b2,1,0.140519,2.172265,[29 45] ; [ 4 15],[26.25806452 47.74193548] ; [ 6.74193548 12.25806452],0
b3,1,0.140519,2.172265,[29 45] ; [ 4 15],[26.25806452 47.74193548] ; [ 6.74193548 12.25806452],0
n1,1,0.144561,2.12872,[19 18] ; [ 4 10],[16.68627451 20.31372549] ; [6.31372549 7.68627451],0
a8,1,0.144901,2.125121,[ 15 101] ; [ 1 28],[ 12.8 103.2] ; [ 3.2 25.8],0
b1,1,0.155419,2.018241,[54 68] ; [ 9 21],[50.56578947 71.43421053] ; [12.43421053 17.56578947],0
r2,1,0.169688,1.885695,[96 23] ; [20  9],[93.27027027 25.72972973] ; [22.72972973  6.27027027],0
p1,1,0.180359,1.794664,[ 14 108] ; [ 1 29],[ 12.03947368 109.96052632] ; [ 2.96052632 27.03947368],0
a7,1,0.218411,1.514782,[62 60] ; [19 11],[65.01315789 56.98684211] ; [15.98684211 14.01315789],0
n6,1,0.239347,1.384438,[93 28] ; [26  4],[95.35761589 25.64238411] ; [23.64238411  6.35761589],0
v4,1,0.275653,1.1884,[94 27] ; [26  4],[96.1589404 24.8410596] ; [23.8410596  6.1589404],0
d2,1,0.275797,1.187687,[49 71] ; [ 9 21],[46.4 73.6] ; [11.6 18.4],0
a1,1,0.301059,1.069498,[ 11 111] ; [ 1 29],[  9.63157895 112.36842105] ; [ 2.36842105 27.63157895],0
a4,1,0.317022,1.001191,[44 77] ; [ 8 22],[41.66887417 79.33112583] ; [10.33112583 19.66887417],0
p6,1,0.325671,0.966035,[40 79] ; [ 7 22],[37.79054054 81.20945946] ; [ 9.20945946 19.79054054],0
p8,1,0.327217,0.959882,[46 74] ; [14 15],[48.32214765 71.67785235] ; [11.67785235 17.32214765],0
p3,1,0.336564,0.923474,[52 69] ; [10 20],[49.68211921 71.31788079] ; [12.31788079 17.68211921],0
d5,1,0.355188,0.854835,[84 38] ; [18 12],[81.86842105 40.13157895] ; [20.13157895  9.86842105],0
s8,1,0.394113,0.726214,[35 87] ; [11 19],[36.92105263 85.07894737] ; [ 9.07894737 20.92105263],0
r3,1,0.412405,0.671857,[97 24] ; [22  8],[95.35761589 25.64238411] ; [23.64238411  6.35761589],0
s3,1,0.417049,0.658617,[55 67] ; [16 14],[56.98684211 65.01315789] ; [14.01315789 15.98684211],0
v2,1,0.418762,0.653786,[50 67] ; [10 19],[48.08219178 68.91780822] ; [11.91780822 17.08219178],0
s7,1,0.423741,0.639915,[40 73] ; [13 17],[41.88111888 71.11888112] ; [11.11888112 18.88111888],0
p4,1,0.438152,0.601117,[62 59] ; [13 17],[60.09933775 60.90066225] ; [14.90066225 15.09933775],0
p7,1,0.483759,0.490377,[58 63] ; [16 13],[59.69333333 61.30666667] ; [14.30666667 14.69333333],0
n2,1,0.505705,0.442944,[27 12] ; [11  3],[27.96226415 11.03773585] ; [10.03773585  3.96226415],0
d4,1,0.510328,0.433394,[81 41] ; [18 12],[79.46052632 42.53947368] ; [19.53947368 10.46052632],0
p9,1,0.549091,0.358948,[97 22] ; [23  7],[95.83892617 23.16107383] ; [24.16107383  5.83892617],0
p11,1,0.556769,0.345329,[87 35] ; [23  7],[88.28947368 33.71052632] ; [21.71052632  8.28947368],0
u1,1,0.597243,0.279174,[  7 115] ; [ 1 29],[  6.42105263 115.57894737] ; [ 1.57894737 28.42105263],0
p10,1,0.644373,0.213068,[89 31] ; [21  9],[88. 32.] ; [22.  8.],0
r4,1,0.688911,0.160267,[70 52] ; [16 14],[69.02631579 52.97368421] ; [16.97368421 13.02631579],0
p12,1,0.698679,0.14985,[  6 114] ; [ 1 29],[  5.6 114.4] ; [ 1.4 28.6],0
v1,1,0.722995,0.125641,[51 66] ; [12 18],[50.14285714 66.85714286] ; [12.85714286 17.14285714],0
n3,1,0.743331,0.107221,[26 13] ; [10  4],[26.49056604 12.50943396] ; [9.50943396 4.49056604],0
b4,1,0.751652,0.100148,[73 49] ; [17 13],[72.23684211 49.76315789] ; [17.76315789 12.23684211],0
d3,1,0.839357,0.041094,[58 63] ; [15 15],[58.49668874 62.50331126] ; [14.50331126 15.49668874],0
u2,1,0.884956,0.020935,[16 24] ; [ 8 13],[15.73770492 24.26229508] ; [ 8.26229508 12.73770492],0
b5,1,0.921764,0.009646,[72 50] ; [18 12],[72.23684211 49.76315789] ; [17.76315789 12.23684211],0
