Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1.9e-05,18.308652,[ 7 24] ; [62 31],[17.25 13.75] ; [51.75 41.25],1
p10,1,0.000306,13.035978,[18 13] ; [80 11],[24.90163934  6.09836066] ; [73.09836066 17.90163934],1
p11,1,0.001203,10.484976,[21 10] ; [85  8],[26.5  4.5] ; [79.5 13.5],0
p9,1,0.002505,9.136842,[21 10] ; [84  9],[26.25  4.75] ; [78.75 14.25],0
n4,1,0.004458,8.086957,[17 14] ; [75 18],[23.  8.] ; [69. 24.],0
p8,1,0.006118,7.515152,[16 15] ; [72 21],[22.  9.] ; [66. 27.],0
a5,1,0.00777,7.085714,[15 16] ; [69 24],[21. 10.] ; [63. 30.],0
d3,1,0.008974,6.827953,[14 15] ; [69 24],[19.7295082  9.2704918] ; [63.2704918 29.7295082],0
s6,1,0.011011,6.463564,[11 17] ; [59 30],[16.75213675 11.24786325] ; [53.24786325 35.75213675],0
a4,1,0.019432,5.462234,[ 9 22] ; [49 43],[14.61788618 16.38211382] ; [43.38211382 48.61788618],0
d1,1,0.026918,4.896052,[13 18] ; [60 33],[18.25 12.75] ; [54.75 38.25],0
d5,1,0.028032,4.826083,[20 10] ; [79 14],[24.14634146  5.85365854] ; [74.85365854 18.14634146],0
s4,1,0.031524,4.624212,[ 1 30] ; [17 71],[ 4.68907563 26.31092437] ; [13.31092437 74.68907563],0
p2,1,0.038737,4.272375,[24  7] ; [85  8],[27.25  3.75] ; [81.75 11.25],0
b4,1,0.053365,3.732441,[15 16] ; [63 30],[19.5 11.5] ; [58.5 34.5],0
d2,1,0.061427,3.498433,[10 21] ; [48 45],[14.5 16.5] ; [43.5 49.5],0
s8,1,0.081057,3.043582,[ 5 25] ; [31 62],[ 8.7804878 21.2195122] ; [27.2195122 65.7804878],0
u1,1,0.113346,2.506934,[ 2 29] ; [17 76],[ 4.75 26.25] ; [14.25 78.75],0
d4,1,0.115302,2.48,[22  9] ; [78 15],[25.  6.] ; [75. 18.],0
a7,1,0.156499,2.007733,[20 10] ; [73 19],[22.86885246  7.13114754] ; [70.13114754 21.86885246],0
b5,1,0.160987,1.964932,[23  8] ; [56 37],[19.75 11.25] ; [59.25 33.75],0
s5,1,0.168311,1.897925,[ 5 24] ; [27 62],[ 7.86440678 21.13559322] ; [24.13559322 64.86440678],0
v1,1,0.184828,1.75837,[14 17] ; [53 37],[17.16528926 13.83471074] ; [49.83471074 40.16528926],0
r1,1,0.187984,1.733348,[21 10] ; [73 19],[23.69105691  7.30894309] ; [70.30894309 21.69105691],0
v3,1,0.190796,1.711461,[ 6 24] ; [29 60],[ 8.82352941 21.17647059] ; [26.17647059 62.82352941],0
a2,1,0.202787,1.622187,[ 4 27] ; [22 71],[ 6.5 24.5] ; [19.5 73.5],0
p12,1,0.268915,1.222275,[ 1 29] ; [ 9 84],[ 2.43902439 27.56097561] ; [ 7.56097561 85.43902439],0
n3,1,0.332474,0.939239,[9 5] ; [9 2],[10.08  3.92] ; [7.92 3.08],0
b2,1,0.337985,0.918061,[7 6] ; [22 34],[5.46376812 7.53623188] ; [23.53623188 32.46376812],0
b3,1,0.337985,0.918061,[7 6] ; [22 34],[5.46376812 7.53623188] ; [23.53623188 32.46376812],0
a3,1,0.342976,0.899275,[16 15] ; [57 36],[18.25 12.75] ; [54.75 38.25],0
n5,1,0.359707,0.838915,[21 10] ; [70 22],[22.93495935  8.06504065] ; [68.06504065 23.93495935],0
s1,1,0.384484,0.756317,[ 1 28] ; [ 1 91],[ 0.47933884 28.52066116] ; [ 1.52066116 90.47933884],0
v4,1,0.407413,0.686339,[28  3] ; [87  5],[28.98373984  2.01626016] ; [86.01626016  5.98373984],0
