Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.001145,10.577089,[ 6 35] ; [13 12],[11.8030303 29.1969697] ; [ 7.1969697 17.8030303],0
p4,1,0.019728,5.435788,[13 29] ; [15 10],[17.55223881 24.44776119] ; [10.44776119 14.55223881],0
s8,1,0.02301,5.167777,[ 3 38] ; [ 7 18],[ 6.21212121 34.78787879] ; [ 3.78787879 21.21212121],0
p3,1,0.025471,4.991597,[ 7 35] ; [10 14],[10.81818182 31.18181818] ; [ 6.18181818 17.81818182],0
s7,1,0.044907,4.022122,[ 5 35] ; [ 8 16],[ 8.125 31.875] ; [ 4.875 19.125],0
s6,1,0.051519,3.79132,[13 28] ; [14 11],[16.77272727 24.22727273] ; [10.22727273 14.77272727],0
n6,1,0.062504,3.469657,[25 17] ; [ 9 16],[21.31343284 20.68656716] ; [12.68656716 12.31343284],0
p7,1,0.062504,3.469657,[17 25] ; [16  9],[20.68656716 21.31343284] ; [12.31343284 12.68656716],0
r3,1,0.068608,3.316005,[31 11] ; [23  2],[33.85074627  8.14925373] ; [20.14925373  4.85074627],0
s4,1,0.084553,2.975141,[ 6 36] ; [ 8 17],[ 8.7761194 33.2238806] ; [ 5.2238806 19.7761194],0
n5,1,0.123014,2.378519,[ 8 34] ; [ 9 16],[10.65671642 31.34328358] ; [ 6.34328358 18.65671642],0
u2,1,0.136037,2.222222,[ 7 11] ; [8 4],[9. 9.] ; [6. 6.],0
a6,1,0.137025,2.211057,[19 23] ; [16  9],[21.94029851 20.05970149] ; [13.05970149 11.94029851],0
p8,1,0.156843,2.004406,[12 30] ; [11 13],[14.63636364 27.36363636] ; [ 8.36363636 15.63636364],0
a2,1,0.183125,1.772082,[ 6 36] ; [ 1 24],[ 4.3880597 37.6119403] ; [ 2.6119403 22.3880597],0
b3,1,0.217657,1.51975,[ 3 21] ; [ 4 10],[ 4.42105263 19.57894737] ; [ 2.57894737 11.42105263],0
