Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000492,12.144976,[ 8 19] ; [24  8],[14.6440678 12.3559322] ; [17.3559322 14.6440678],1
r3,1,0.001841,9.701654,[17 10] ; [ 7 24],[11.17241379 15.82758621] ; [12.82758621 18.17241379],0
r2,1,0.027062,4.886847,[10 16] ; [21 10],[14.14035088 11.85964912] ; [16.85964912 14.14035088],0
d5,1,0.034104,4.489466,[20  7] ; [15 17],[16.01694915 10.98305085] ; [18.98305085 13.01694915],0
d4,1,0.038625,4.2773,[21  6] ; [16 15],[17.22413793  9.77586207] ; [19.77586207 11.22413793],0
p4,1,0.126687,2.332635,[ 9 18] ; [ 5 26],[ 6.51724138 20.48275862] ; [ 7.48275862 23.51724138],0
p1,1,0.131207,2.278167,[ 1 26] ; [ 5 27],[ 2.74576271 24.25423729] ; [ 3.25423729 28.74576271],0
p3,1,0.163487,1.941675,[ 7 19] ; [ 4 28],[ 4.93103448 21.06896552] ; [ 6.06896552 25.93103448],0
u2,1,0.181709,1.783591,[7 6] ; [ 4 10],[5.2962963 7.7037037] ; [5.7037037 8.2962963],0
v1,1,0.196006,1.67189,[ 8 19] ; [ 5 27],[ 5.94915254 21.05084746] ; [ 7.05084746 24.94915254],0
a7,1,0.199512,1.645945,[15 12] ; [12 19],[12.56896552 14.43103448] ; [14.43103448 16.56896552],0
d2,1,0.217429,1.521257,[10 17] ; [16 14],[12.31578947 14.68421053] ; [13.68421053 16.31578947],0
d3,1,0.252544,1.309176,[15 12] ; [13 19],[12.81355932 14.18644068] ; [15.18644068 16.81355932],0
n3,1,0.278092,1.176389,[8 7] ; [ 7 13],[6.42857143 8.57142857] ; [ 8.57142857 11.42857143],0
u3,1,0.280828,1.163077,[5 8] ; [ 3 12],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
d1,1,0.283297,1.151206,[13 14] ; [11 21],[10.98305085 16.01694915] ; [13.01694915 18.98305085],0
