Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,4e-06,21.171581,[84 10] ; [19 17],[74.47692308 19.52307692] ; [28.52307692  7.47692308],1
n4,1,0.000203,13.801036,[84 10] ; [22 14],[76.64615385 17.35384615] ; [29.35384615  6.64615385],1
n6,1,0.00023,13.567678,[83 10] ; [22 14],[75.69767442 17.30232558] ; [29.30232558  6.69767442],1
p9,1,0.000862,11.102246,[82 12] ; [22 14],[75.2 18.8] ; [28.8  7.2],1
p11,1,0.006838,7.315001,[82 12] ; [24 12],[76.64615385 17.35384615] ; [29.35384615  6.64615385],0
v1,1,0.007512,7.146378,[59 34] ; [13 22],[52.3125 40.6875] ; [19.6875 15.3125],0
v3,1,0.011898,6.326002,[46 47] ; [ 8 25],[39.85714286 53.14285714] ; [14.14285714 18.85714286],0
b2,1,0.015194,5.893878,[31 32] ; [ 4 17],[26.25 36.75] ; [ 8.75 12.25],0
b3,1,0.015194,5.893878,[31 32] ; [ 4 17],[26.25 36.75] ; [ 8.75 12.25],0
v2,1,0.026594,4.916999,[60 33] ; [15 20],[54.4921875 38.5078125] ; [20.5078125 14.4921875],0
r4,1,0.038059,4.302382,[84 10] ; [27  9],[80.26153846 13.73846154] ; [30.73846154  5.26153846],0
b1,1,0.05151,3.7916,[37 57] ; [21 15],[41.93846154 52.06153846] ; [16.06153846 19.93846154],0
d2,1,0.071009,3.259539,[42 51] ; [10 26],[37.48837209 55.51162791] ; [14.51162791 21.48837209],0
p8,1,0.073133,3.21127,[63 31] ; [18 18],[58.56923077 35.43076923] ; [22.43076923 13.56923077],0
a5,1,0.082022,3.024369,[74 20] ; [23 13],[70.13846154 23.86153846] ; [26.86153846  9.13846154],0
s8,1,0.082111,3.02261,[30 64] ; [ 6 30],[26.03076923 67.96923077] ; [ 9.96923077 26.03076923],0
s5,1,0.107972,2.583658,[19 73] ; [ 3 32],[15.93700787 76.06299213] ; [ 6.06299213 28.93700787],0
r3,1,0.116881,2.458629,[87  7] ; [30  6],[84.6  9.4] ; [32.4  3.6],0
a4,1,0.142495,2.150811,[42 52] ; [11 25],[38.32307692 55.67692308] ; [14.67692308 21.32307692],0
p4,1,0.171104,1.873241,[69 25] ; [22 14],[65.8 28.2] ; [25.2 10.8],0
u1,1,0.209561,1.574458,[16 78] ; [ 3 33],[13.73846154 80.26153846] ; [ 5.26153846 30.73846154],0
a8,1,0.219161,1.50986,[11 68] ; [ 2 32],[ 9.08849558 69.91150442] ; [ 3.91150442 30.08849558],0
d1,1,0.222264,1.489693,[53 41] ; [16 20],[49.89230769 44.10769231] ; [19.10769231 16.89230769],0
a6,1,0.231626,1.430851,[70 24] ; [23 13],[67.24615385 26.75384615] ; [25.75384615 10.24615385],0
n2,1,0.262193,1.257143,[12  3] ; [4 3],[10.90909091  4.09090909] ; [5.09090909 1.90909091],0
p2,1,0.274082,1.196202,[76 18] ; [32  4],[78.09230769 15.90769231] ; [29.90769231  6.09230769],0
p6,1,0.302342,1.063836,[37 57] ; [10 24],[34.515625 59.484375] ; [12.484375 21.515625],0
s1,1,0.311183,1.025648,[ 2 92] ; [ 2 34],[ 2.89230769 91.10769231] ; [ 1.10769231 34.89230769],0
a2,1,0.338879,0.914668,[20 74] ; [ 5 31],[18.07692308 75.92307692] ; [ 6.92307692 29.07692308],0
d5,1,0.353863,0.859555,[75 19] ; [26 10],[73.03076923 20.96923077] ; [27.96923077  8.03076923],0
b5,1,0.357255,0.84752,[49 45] ; [22 14],[51.33846154 42.66153846] ; [19.66153846 16.33846154],0
p5,1,0.36202,0.830875,[10 83] ; [ 2 34],[ 8.65116279 84.34883721] ; [ 3.34883721 32.65116279],0
r1,1,0.40183,0.702843,[72 22] ; [25 11],[70.13846154 23.86153846] ; [26.86153846  9.13846154],0
p7,1,0.40183,0.702843,[72 22] ; [25 11],[70.13846154 23.86153846] ; [26.86153846  9.13846154],0
d3,1,0.426776,0.63158,[61 33] ; [26 10],[62.90769231 31.09230769] ; [24.09230769 11.90769231],0
p12,1,0.536594,0.381889,[ 5 89] ; [ 1 35],[ 4.33846154 89.66153846] ; [ 1.66153846 34.33846154],0
d4,1,0.542963,0.370075,[71 23] ; [29  7],[72.30769231 21.69230769] ; [27.69230769  8.30769231],0
s2,1,0.552415,0.353008,[19 75] ; [ 9 27],[20.24615385 73.75384615] ; [ 7.75384615 28.24615385],0
a3,1,0.592098,0.28708,[64 29] ; [23 13],[62.72093023 30.27906977] ; [24.27906977 11.72093023],0
s3,1,0.673867,0.177112,[26 68] ; [11 24],[26.96124031 67.03875969] ; [10.03875969 24.96124031],0
p1,1,0.680768,0.169263,[13 81] ; [ 4 32],[12.29230769 81.70769231] ; [ 4.70769231 31.29230769],0
a1,1,0.695058,0.153664,[ 4 90] ; [ 1 35],[ 3.61538462 90.38461538] ; [ 1.38461538 34.61538462],0
a7,1,0.698016,0.150544,[71 23] ; [26 10],[70.13846154 23.86153846] ; [26.86153846  9.13846154],0
