Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,93.159359,[283   5] ; [25 18],[267.98791541  20.01208459] ; [40.01208459  2.98791541],1
r3,1,0.0,91.945825,[285   4] ; [26 17],[270.71987952  18.28012048] ; [40.28012048  2.71987952],1
r1,1,0.0,74.446073,[261  26] ; [17 26],[241.77575758  45.22424242] ; [36.22424242  6.77575758],1
r2,1,0.0,50.052773,[282   5] ; [29 11],[272.95718654  14.04281346] ; [38.04281346  1.95718654],1
p9,1,0.0,31.480445,[240  45] ; [19 22],[226.42638037  58.57361963] ; [32.57361963  8.42638037],1
p2,1,0.0,25.292014,[234  54] ; [20 23],[221.00302115  66.99697885] ; [32.99697885 10.00302115],1
p7,1,4e-06,21.314243,[158 126] ; [ 7 34],[144.18461538 139.81538462] ; [20.81538462 20.18461538],1
p11,1,8e-06,19.96415,[233  56] ; [22 22],[221.30630631  67.69369369] ; [33.69369369 10.30630631],1
p10,1,2.6e-05,17.674192,[235  52] ; [23 20],[224.38181818  62.61818182] ; [33.61818182  9.38181818],1
n6,1,4.3e-05,16.737646,[246  42] ; [25 17],[236.50909091  51.49090909] ; [34.49090909  7.50909091],1
p8,1,0.000825,11.183657,[130 155] ; [ 8 35],[119.90853659 165.09146341] ; [18.09146341 24.90853659],1
s6,1,0.001011,10.807425,[187  98] ; [17 26],[177.25609756 107.74390244] ; [26.74390244 16.25609756],0
a6,1,0.001185,10.513124,[228  60] ; [25 19],[219.46987952  68.53012048] ; [33.53012048 10.46987952],0
s8,1,0.002463,9.16824,[128 159] ; [ 9 35],[118.78851964 168.21148036] ; [18.21148036 25.78851964],0
p4,1,0.004468,8.083293,[154 134] ; [13 30],[145.30513595 142.69486405] ; [21.69486405 21.30513595],0
a5,1,0.0072,7.222307,[240  49] ; [29 15],[233.45645646  55.54354354] ; [35.54354354  8.45645646],0
p3,1,0.008573,6.909686,[128 160] ; [10 33],[120.07250755 167.92749245] ; [17.92749245 25.07250755],0
