Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,8.4e-05,15.471717,[ 4 34] ; [15 12],[11.10769231 26.89230769] ; [ 7.89230769 19.10769231],1
p3,1,0.000671,11.567791,[ 4 34] ; [13 14],[ 9.93846154 28.06153846] ; [ 7.06153846 19.93846154],1
p4,1,0.004968,7.891074,[11 28] ; [17 10],[16.54545455 22.45454545] ; [11.45454545 15.54545455],0
s5,1,0.00613,7.511792,[ 3 36] ; [ 9 17],[ 7.2 31.8] ; [ 4.8 21.2],0
s4,1,0.00888,6.846717,[ 4 35] ; [10 17],[ 8.27272727 30.72727273] ; [ 5.72727273 21.27272727],0
d4,1,0.011796,6.341348,[23 15] ; [24  3],[27.47692308 10.52307692] ; [19.52307692  7.47692308],0
p8,1,0.019262,5.477527,[ 9 29] ; [14 13],[13.44615385 24.55384615] ; [ 9.55384615 17.44615385],0
d5,1,0.020525,5.366674,[21 18] ; [22  5],[25.40909091 13.59090909] ; [17.59090909  9.40909091],0
d3,1,0.024246,5.076923,[15 24] ; [18  9],[19.5 19.5] ; [13.5 13.5],0
s8,1,0.042229,4.126007,[ 3 36] ; [ 7 20],[ 5.90909091 33.09090909] ; [ 4.09090909 22.90909091],0
s3,1,0.051519,3.79132,[11 28] ; [14 13],[14.77272727 24.22727273] ; [10.22727273 16.77272727],0
b5,1,0.064758,3.411131,[17 22] ; [18  9],[20.68181818 18.31818182] ; [14.31818182 12.68181818],0
s7,1,0.095668,2.776312,[ 5 32] ; [ 8 18],[ 7.63492063 29.36507937] ; [ 5.36507937 20.63492063],0
s1,1,0.129706,2.29602,[ 6 33] ; [ 1 26],[ 4.13636364 34.86363636] ; [ 2.86363636 24.13636364],0
r3,1,0.144487,2.129508,[29 10] ; [24  3],[31.31818182  7.68181818] ; [21.68181818  5.31818182],0
a7,1,0.148596,2.086601,[19 20] ; [18  9],[21.86363636 17.13636364] ; [15.13636364 11.86363636],0
v2,1,0.203147,1.619605,[12 25] ; [13 14],[14.453125 22.546875] ; [10.546875 16.453125],0
v1,1,0.265558,1.239551,[ 7 32] ; [ 8 19],[ 8.86363636 30.13636364] ; [ 6.13636364 20.86363636],0
a3,1,0.281191,1.161326,[24 15] ; [13 14],[21.86363636 17.13636364] ; [15.13636364 11.86363636],0
a5,1,0.281191,1.161326,[15 24] ; [14 13],[17.13636364 21.86363636] ; [11.86363636 15.13636364],0
d1,1,0.281191,1.161326,[15 24] ; [14 13],[17.13636364 21.86363636] ; [11.86363636 15.13636364],0
d2,1,0.294904,1.097097,[21 18] ; [11 16],[18.90909091 20.09090909] ; [13.09090909 13.90909091],0
r4,1,0.297623,1.084813,[21 18] ; [18  9],[23.04545455 15.95454545] ; [15.95454545 11.04545455],0
a4,1,0.326984,0.960806,[13 26] ; [ 6 21],[11.22727273 27.77272727] ; [ 7.77272727 19.22727273],0
