Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.622027,[ 9 19] ; [42 10],[17.85 10.15] ; [33.15 18.85],1
n6,1,0.006336,7.452208,[15 13] ; [42  9],[20.20253165  7.79746835] ; [36.79746835 14.20253165],0
v3,1,0.007776,7.084353,[ 5 21] ; [24 23],[10.32876712 15.67123288] ; [18.67123288 28.32876712],0
s7,1,0.010627,6.526711,[10 15] ; [34 14],[15.06849315  9.93150685] ; [28.93150685 19.06849315],0
a7,1,0.021637,5.274725,[12 16] ; [36 16],[16.8 11.2] ; [31.2 20.8],0
p9,1,0.030308,4.691729,[15 11] ; [42 10],[19.  7.] ; [38. 14.],0
r1,1,0.030363,4.688645,[17 11] ; [43  9],[21.  7.] ; [39. 13.],0
d1,1,0.038159,4.297924,[11 17] ; [33 19],[15.4 12.6] ; [28.6 23.4],0
u1,1,0.050962,3.809524,[ 2 26] ; [13 39],[ 5.25 22.75] ; [ 9.75 42.25],0
p11,1,0.060479,3.524211,[14 14] ; [37 15],[17.85 10.15] ; [33.15 18.85],0
v2,1,0.09877,2.725291,[11 14] ; [32 18],[14.33333333 10.66666667] ; [28.66666667 21.33333333],0
u2,1,0.115184,2.481618,[3 5] ; [12  5],[4.8 3.2] ; [10.2  6.8],0
n3,1,0.139445,2.184076,[7 6] ; [12  3],[8.82142857 4.17857143] ; [10.17857143  4.82142857],0
s8,1,0.173711,1.850621,[12 16] ; [30 21],[14.88607595 13.11392405] ; [27.11392405 23.88607595],0
u3,1,0.185659,1.75173,[4 4] ; [13  4],[5.44 2.56] ; [11.56  5.44],0
p10,1,0.210401,1.568663,[16 11] ; [38 14],[18.4556962  8.5443038] ; [35.5443038 16.4556962],0
d3,1,0.227884,1.454022,[14 14] ; [32 18],[16.51282051 11.48717949] ; [29.48717949 20.51282051],0
b4,1,0.24338,1.360909,[14 14] ; [33 19],[16.45 11.55] ; [30.55 21.45],0
p12,1,0.245125,1.350874,[ 1 26] ; [ 6 46],[ 2.39240506 24.60759494] ; [ 4.60759494 47.39240506],0
p3,1,0.266212,1.236163,[ 8 20] ; [21 30],[10.27848101 17.72151899] ; [18.72151899 32.27848101],0
