Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,1e-06,24.0779,[ 28 126] ; [37 38],[ 43.71179039 110.28820961] ; [21.28820961 53.71179039],1
a3,1,0.009297,6.764851,[90 64] ; [57 18],[98.8558952 55.1441048] ; [48.1441048 26.8558952],0
v3,1,0.01798,5.598109,[ 46 102] ; [35 39],[54. 94.] ; [27. 47.],0
s6,1,0.031009,4.652468,[70 80] ; [47 29],[77.65486726 72.34513274] ; [39.34513274 36.65486726],0
u2,1,0.045816,3.988344,[30 33] ; [14  5],[33.80487805 29.19512195] ; [10.19512195  8.80487805],0
p2,1,0.051367,3.796256,[131  21] ; [72  4],[135.33333333  16.66666667] ; [67.66666667  8.33333333],0
p6,1,0.066242,3.373769,[59 94] ; [39 37],[65.47598253 87.52401747] ; [32.52401747 43.47598253],0
p5,1,0.076263,3.142795,[ 17 136] ; [15 61],[ 21.37991266 131.62008734] ; [10.62008734 65.37991266],0
a8,1,0.07691,3.129019,[ 13 122] ; [12 53],[ 16.875 118.125] ; [ 8.125 56.875],0
u1,1,0.093488,2.813264,[ 21 133] ; [17 59],[ 25.44347826 128.55652174] ; [12.55652174 63.44347826],0
p9,1,0.095766,2.774669,[122  32] ; [67  9],[126.54782609  27.45217391] ; [62.45217391 13.54782609],0
a2,1,0.111864,2.527683,[ 25 129] ; [19 57],[ 29.46086957 124.53913043] ; [14.53913043 61.46086957],0
n3,1,0.125998,2.341126,[21  6] ; [12  9],[18.5625  8.4375] ; [14.4375  6.5625],0
p12,1,0.199599,1.645309,[  6 148] ; [ 6 70],[  8.03478261 145.96521739] ; [ 3.96521739 72.03478261],0
s1,1,0.2059,1.600024,[  7 146] ; [ 1 75],[  5.34497817 147.65502183] ; [ 2.65502183 73.34497817],0
b3,1,0.211636,1.560197,[31 62] ; [26 34],[34.64705882 58.35294118] ; [22.35294118 37.64705882],0
b2,1,0.211636,1.560197,[31 62] ; [26 34],[34.64705882 58.35294118] ; [22.35294118 37.64705882],0
p7,1,0.240483,1.377758,[107  46] ; [58 17],[110.72368421  42.27631579] ; [54.27631579 20.72368421],0
v4,1,0.266645,1.233925,[142  12] ; [73  3],[143.95652174  10.04347826] ; [71.04347826  4.95652174],0
p3,1,0.317282,1.000116,[95 59] ; [52 24],[98.42608696 55.57391304] ; [48.57391304 27.42608696],0
s5,1,0.337633,0.919397,[ 29 120] ; [19 57],[ 31.78666667 117.21333333] ; [16.21333333 59.78666667],0
d3,1,0.340226,0.909579,[104  50] ; [56 20],[107.13043478  46.86956522] ; [52.86956522 23.13043478],0
p10,1,0.342464,0.901186,[120  32] ; [64 12],[122.66666667  29.33333333] ; [61.33333333 14.66666667],0
n5,1,0.343761,0.896355,[112  41] ; [60 16],[114.91703057  38.08296943] ; [57.08296943 18.91703057],0
p11,1,0.369101,0.806689,[129  25] ; [60 16],[126.54782609  27.45217391] ; [62.45217391 13.54782609],0
a1,1,0.387488,0.746812,[  5 149] ; [ 1 75],[  4.0173913 149.9826087] ; [ 1.9826087 74.0173913],0
s3,1,0.398393,0.713172,[ 31 121] ; [19 56],[ 33.48017621 118.51982379] ; [16.51982379 58.48017621],0
d2,1,0.401498,0.703834,[72 82] ; [40 36],[74.99130435 79.00869565] ; [37.00869565 38.99130435],0
p8,1,0.409631,0.679872,[101  50] ; [46 29],[98.21681416 52.78318584] ; [48.78318584 26.21681416],0
n2,1,0.498962,0.457143,[18  9] ; [12  9],[16.875 10.125] ; [13.125  7.875],0
b1,1,0.548886,0.359317,[61 93] ; [27 49],[58.92173913 95.07826087] ; [29.07826087 46.92173913],0
p1,1,0.55947,0.340622,[ 18 135] ; [ 7 69],[ 16.70305677 136.29694323] ; [ 8.29694323 67.70305677],0
a5,1,0.559914,0.339854,[112  42] ; [58 18],[113.82608696  40.17391304] ; [56.17391304 19.82608696],0
d1,1,0.579575,0.306923,[87 67] ; [40 36],[85.03478261 68.96521739] ; [41.96521739 34.03478261],0
r2,1,0.582418,0.302342,[141  11] ; [68  7],[139.94713656  12.05286344] ; [69.05286344  5.94713656],0
