Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.000473,12.219912,[ 1 11] ; [21 10],[6.13953488 5.86046512] ; [15.86046512 15.13953488],1
a3,1,0.002372,9.236508,[4 8] ; [26  6],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
a6,1,0.004855,7.932692,[3 9] ; [23  9],[7.09090909 4.90909091] ; [18.90909091 13.09090909],0
d3,1,0.005246,7.79272,[4 8] ; [25  7],[7.90909091 4.09090909] ; [21.09090909 10.90909091],0
u2,1,0.008041,7.024306,[7 1] ; [1 5],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
n4,1,0.020755,5.347222,[5 7] ; [25  7],[8.18181818 3.81818182] ; [21.81818182 10.18181818],0
n5,1,0.038182,4.296875,[6 6] ; [26  6],[8.72727273 3.27272727] ; [23.27272727  8.72727273],0
d2,1,0.040221,4.208554,[4 8] ; [21 10],[6.97674419 5.02325581] ; [18.02325581 12.97674419],0
p9,1,0.064765,3.41096,[4 8] ; [20 11],[6.69767442 5.30232558] ; [17.30232558 13.69767442],0
b4,1,0.066834,3.359114,[10  2] ; [17 15],[7.36363636 4.63636364] ; [19.63636364 12.36363636],0
s3,1,0.076756,3.132284,[ 1 10] ; [12 20],[3.3255814 7.6744186] ; [ 9.6744186 22.3255814],0
v4,1,0.084094,2.983941,[11  1] ; [21 11],[8.72727273 3.27272727] ; [23.27272727  8.72727273],0
p11,1,0.096264,2.766369,[ 2 10] ; [14 18],[4.36363636 7.63636364] ; [11.63636364 20.36363636],0
d1,1,0.100344,2.700073,[5 7] ; [22 10],[7.36363636 4.63636364] ; [19.63636364 12.36363636],0
r2,1,0.103126,2.656529,[6 5] ; [24  6],[8.04878049 2.95121951] ; [21.95121951  8.04878049],0
v2,1,0.112819,2.514286,[6 6] ; [ 8 24],[3.81818182 8.18181818] ; [10.18181818 21.81818182],0
p3,1,0.118895,2.431823,[ 2 10] ; [13 18],[4.18604651 7.81395349] ; [10.81395349 20.18604651],0
u3,1,0.118991,2.430556,[6 2] ; [2 4],[4.57142857 3.42857143] ; [3.42857143 2.57142857],0
p4,1,0.130169,2.290483,[2 9] ; [14 18],[4.09302326 6.90697674] ; [11.90697674 20.09302326],0
v1,1,0.135397,2.229502,[ 2 10] ; [13 19],[4.09090909 7.90909091] ; [10.90909091 21.09090909],0
n3,1,0.143235,2.142857,[5 3] ; [ 5 11],[3.33333333 4.66666667] ; [6.66666667 9.33333333],0
s2,1,0.162957,1.946569,[ 1 11] ; [ 9 23],[2.72727273 9.27272727] ; [ 7.27272727 24.72727273],0
p5,1,0.379887,0.771068,[ 1 11] ; [ 6 25],[ 1.95348837 10.04651163] ; [ 5.04651163 25.95348837],0
b5,1,0.419298,0.652281,[8 4] ; [17 15],[6.81818182 5.18181818] ; [18.18181818 13.81818182],0
s7,1,0.425556,0.634921,[2 8] ; [10 20],[3. 7.] ; [ 9. 21.],0
d4,1,0.472714,0.515625,[9 3] ; [27  5],[9.81818182 2.18181818] ; [26.18181818  5.81818182],0
n6,1,0.500858,0.453118,[6 6] ; [19 12],[6.97674419 5.02325581] ; [18.02325581 12.97674419],0
s5,1,0.524559,0.40492,[ 2 10] ; [ 8 23],[2.79069767 9.20930233] ; [ 7.20930233 23.79069767],0
a1,1,0.530201,0.394006,[ 1 11] ; [ 5 27],[ 1.63636364 10.36363636] ; [ 4.36363636 27.63636364],0
s8,1,0.556901,0.345098,[ 2 10] ; [ 8 24],[2.72727273 9.27272727] ; [ 7.27272727 24.72727273],0
n1,1,0.562343,0.335664,[3 5] ; [8 8],[3.66666667 4.33333333] ; [7.33333333 8.66666667],0
a7,1,0.57607,0.312632,[6 6] ; [19 13],[6.81818182 5.18181818] ; [18.18181818 13.81818182],0
b2,1,0.643094,0.214719,[3 4] ; [ 8 16],[2.48387097 4.51612903] ; [ 8.51612903 15.48387097],0
b3,1,0.643094,0.214719,[3 4] ; [ 8 16],[2.48387097 4.51612903] ; [ 8.51612903 15.48387097],0
r4,1,0.647141,0.209524,[3 9] ; [ 6 26],[2.45454545 9.54545455] ; [ 6.54545455 25.45454545],0
p7,1,0.698035,0.150524,[4 7] ; [ 9 21],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
p1,1,0.698127,0.150427,[ 1 11] ; [ 4 28],[ 1.36363636 10.63636364] ; [ 3.63636364 28.36363636],0
s4,1,0.702871,0.145503,[ 2 10] ; [ 7 25],[2.45454545 9.54545455] ; [ 6.54545455 25.45454545],0
p10,1,0.710779,0.1375,[6 6] ; [18 14],[6.54545455 5.45454545] ; [17.45454545 14.54545455],0
r1,1,0.710779,0.1375,[6 6] ; [14 18],[5.45454545 6.54545455] ; [14.54545455 17.45454545],0
b1,1,0.798041,0.065476,[8 4] ; [20 12],[7.63636364 4.36363636] ; [20.36363636 11.63636364],0
s6,1,0.798041,0.065476,[4 8] ; [12 20],[4.36363636 7.63636364] ; [11.63636364 20.36363636],0
p6,1,0.825642,0.048529,[3 9] ; [ 7 25],[2.72727273 9.27272727] ; [ 7.27272727 24.72727273],0
v3,1,0.835784,0.042969,[3 9] ; [ 9 23],[3.27272727 8.72727273] ; [ 8.72727273 23.27272727],0
p2,1,0.836027,0.04284,[5 7] ; [14 17],[5.30232558 6.69767442] ; [13.69767442 17.30232558],0
p8,1,0.894876,0.01746,[4 8] ; [10 22],[3.81818182 8.18181818] ; [10.18181818 21.81818182],0
s1,1,0.914754,0.011458,[ 1 11] ; [ 3 29],[ 1.09090909 10.90909091] ; [ 2.90909091 29.09090909],0
