Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.016139,5.787692,[ 2 11] ; [14 11],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
b2,1,0.016139,5.787692,[ 2 11] ; [14 11],[5.47368421 7.52631579] ; [10.52631579 14.47368421],0
b4,1,0.01835,5.562463,[15  4] ; [16 19],[10.90740741  8.09259259] ; [20.09259259 14.90740741],0
n2,1,0.02565,4.979471,[12  3] ; [ 7 10],[8.90625 6.09375] ; [10.09375  6.90625],0
d2,1,0.038807,4.269306,[ 4 15] ; [17 17],[ 7.52830189 11.47169811] ; [13.47169811 20.52830189],0
a3,1,0.056107,3.648872,[13  4] ; [17 18],[9.80769231 7.19230769] ; [20.19230769 14.80769231],0
p5,1,0.089483,2.883656,[ 3 16] ; [ 1 33],[ 1.43396226 17.56603774] ; [ 2.56603774 31.43396226],0
u2,1,0.151494,2.057143,[1 5] ; [9 9],[2.5 3.5] ; [ 7.5 10.5],0
n1,1,0.162241,1.953218,[9 6] ; [ 6 11],[7.03125 7.96875] ; [7.96875 9.03125],0
r4,1,0.192245,1.700327,[ 4 15] ; [ 3 32],[ 2.46296296 16.53703704] ; [ 4.53703704 30.46296296],0
n6,1,0.207886,1.586091,[11  8] ; [14 21],[ 8.7962963 10.2037037] ; [16.2037037 18.7962963],0
s2,1,0.265292,1.24093,[ 2 17] ; [ 8 27],[ 3.51851852 15.48148148] ; [ 6.48148148 28.51851852],0
a7,1,0.271679,1.208251,[10  9] ; [13 22],[ 8.09259259 10.90740741] ; [14.90740741 20.09259259],0
p10,1,0.27948,1.169615,[ 9 10] ; [11 23],[ 7.16981132 11.83018868] ; [12.83018868 21.16981132],0
d4,1,0.290906,1.115426,[11  8] ; [15 20],[9.14814815 9.85185185] ; [16.85185185 18.14814815],0
p11,1,0.309158,1.03427,[ 4 15] ; [12 23],[ 5.62962963 13.37037037] ; [10.37037037 24.62962963],0
b1,1,0.312711,1.01919,[13  6] ; [19 16],[11.25925926  7.74074074] ; [20.74074074 14.25925926],0
p2,1,0.314618,1.011191,[ 5 14] ; [14 21],[ 6.68518519 12.31481481] ; [12.31481481 22.68518519],0
d3,1,0.346317,0.886906,[ 9 10] ; [12 23],[ 7.38888889 11.61111111] ; [13.61111111 21.38888889],0
v2,1,0.349482,0.875336,[ 2 17] ; [ 7 27],[ 3.22641509 15.77358491] ; [ 5.77358491 28.22641509],0
p6,1,0.349482,0.875336,[ 2 17] ; [ 7 27],[ 3.22641509 15.77358491] ; [ 5.77358491 28.22641509],0
s5,1,0.349482,0.875336,[ 2 17] ; [ 7 27],[ 3.22641509 15.77358491] ; [ 5.77358491 28.22641509],0
b5,1,0.372355,0.795789,[10  9] ; [14 21],[ 8.44444444 10.55555556] ; [15.55555556 19.44444444],0
a1,1,0.372355,0.795789,[ 2 17] ; [ 7 28],[ 3.16666667 15.83333333] ; [ 5.83333333 29.16666667],0
p8,1,0.372488,0.795347,[ 6 13] ; [ 7 27],[ 4.66037736 14.33962264] ; [ 8.33962264 25.66037736],0
