Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,28.030143,[ 9 17] ; [68 10],[19.25  6.75] ; [57.75 20.25],1
p9,1,0.001044,10.747931,[15 11] ; [69 10],[20.8  5.2] ; [63.2 15.8],0
n5,1,0.003688,8.431571,[13 13] ; [62 16],[18.75  7.25] ; [56.25 21.75],0
p8,1,0.004237,8.179298,[ 7 18] ; [48 31],[13.22115385 11.77884615] ; [41.77884615 37.22115385],0
n4,1,0.004529,8.058334,[12 14] ; [60 19],[17.82857143  8.17142857] ; [54.17142857 24.82857143],0
p6,1,0.008887,6.84534,[ 6 20] ; [41 37],[11.75 14.25] ; [35.25 42.75],0
d4,1,0.009584,6.710631,[14 12] ; [63 16],[19.06666667  6.93333333] ; [57.93333333 21.06666667],0
b4,1,0.014767,5.944014,[ 9 17] ; [49 30],[14.36190476 11.63809524] ; [43.63809524 35.36190476],0
v4,1,0.020222,5.392593,[19  7] ; [71  7],[22.5  3.5] ; [67.5 10.5],0
p2,1,0.036165,4.38932,[18  8] ; [68 10],[21.5  4.5] ; [64.5 13.5],0
d5,1,0.073864,3.194985,[15 11] ; [60 19],[18.57142857  7.42857143] ; [56.42857143 22.57142857],0
b1,1,0.100696,2.694479,[17  9] ; [37 42],[13.37142857 12.62857143] ; [40.62857143 38.37142857],0
p7,1,0.119341,2.425949,[14 12] ; [55 23],[17.25  8.75] ; [51.75 26.25],0
s4,1,0.127137,2.327125,[ 7 19] ; [11 68],[ 4.45714286 21.54285714] ; [13.54285714 65.45714286],0
r3,1,0.139714,2.18111,[20  6] ; [70  9],[22.28571429  3.71428571] ; [67.71428571 11.28571429],0
a6,1,0.154816,2.024145,[12 14] ; [49 30],[15.1047619 10.8952381] ; [45.8952381 33.1047619],0
s6,1,0.175022,1.839391,[12 12] ; [51 27],[14.82352941  9.17647059] ; [48.17647059 29.82352941],0
u2,1,0.183633,1.767975,[5 8] ; [17 11],[6.97560976 6.02439024] ; [15.02439024 12.97560976],0
a3,1,0.186927,1.741676,[13 13] ; [51 28],[15.84761905 10.15238095] ; [48.15238095 30.84761905],0
p5,1,0.188056,1.73278,[ 2 23] ; [15 63],[ 4.12621359 20.87378641] ; [12.87378641 65.12621359],0
d1,1,0.19029,1.715371,[ 9 17] ; [39 40],[11.88571429 14.11428571] ; [36.11428571 42.88571429],0
b2,1,0.246709,1.341845,[ 3 12] ; [19 34],[ 4.85294118 10.14705882] ; [17.14705882 35.85294118],0
b3,1,0.246709,1.341845,[ 3 12] ; [19 34],[ 4.85294118 10.14705882] ; [17.14705882 35.85294118],0
n6,1,0.250478,1.320635,[19  7] ; [65 13],[21.  5.] ; [63. 15.],0
u3,1,0.311185,1.025641,[8 5] ; [12 15],[6.5 6.5] ; [13.5 13.5],0
a7,1,0.334803,0.930231,[13 13] ; [48 31],[15.1047619 10.8952381] ; [45.8952381 33.1047619],0
a2,1,0.346095,0.887724,[ 4 22] ; [ 7 72],[ 2.72380952 23.27619048] ; [ 8.27619048 70.72380952],0
