Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,77.758366,[89  7] ; [ 3 26],[70.656 25.344] ; [21.344  7.656],1
s6,1,1e-05,19.528771,[92  6] ; [18 11],[84.88188976 13.11811024] ; [25.11811024  3.88188976],1
s7,1,1.7e-05,18.460421,[81 16] ; [11 15],[72.55284553 24.44715447] ; [19.44715447  6.55284553],1
v1,1,0.003583,8.483865,[78 22] ; [14 14],[71.875 28.125] ; [20.125  7.875],0
r2,1,0.010585,6.533717,[99  1] ; [26  3],[96.89922481  3.10077519] ; [28.10077519  0.89922481],0
s8,1,0.010805,6.497157,[72 26] ; [14 15],[66.36220472 31.63779528] ; [19.63779528  9.36220472],0
n6,1,0.027299,4.871793,[94  3] ; [25  4],[91.61111111  5.38888889] ; [27.38888889  1.61111111],0
d4,1,0.043272,4.084727,[88 10] ; [21  7],[84.77777778 13.22222222] ; [24.22222222  3.77777778],0
d1,1,0.086622,2.936059,[72 28] ; [16 13],[68.21705426 31.78294574] ; [19.78294574  9.21705426],0
u2,1,0.086673,2.935101,[10  9] ; [7 1],[11.96296296  7.03703704] ; [5.03703704 2.96296296],0
a4,1,0.105438,2.621305,[55 45] ; [11 18],[51.1627907 48.8372093] ; [14.8372093 14.1627907],0
a2,1,0.121816,2.39381,[32 68] ; [ 5 24],[28.68217054 71.31782946] ; [ 8.31782946 20.68217054],0
p3,1,0.147709,2.095752,[60 38] ; [22  7],[63.27559055 34.72440945] ; [18.72440945 10.27559055],0
n5,1,0.151102,2.061091,[86 13] ; [22  7],[83.53125 15.46875] ; [24.46875  4.53125],0
r3,1,0.166835,1.911152,[98  2] ; [26  2],[96.875  3.125] ; [27.125  0.875],0
r4,1,0.180452,1.793901,[98  2] ; [27  2],[96.89922481  3.10077519] ; [28.10077519  0.89922481],0
d5,1,0.25205,1.311907,[86 12] ; [23  6],[84.11023622 13.88976378] ; [24.88976378  4.11023622],0
n1,1,0.257757,1.280763,[ 8 11] ; [1 5],[ 6.84 12.16] ; [2.16 3.84],0
n2,1,0.25798,1.279563,[17  2] ; [5 2],[16.07692308  2.92307692] ; [5.92307692 1.07692308],0
p5,1,0.263897,1.248197,[30 69] ; [12 17],[32.484375 66.515625] ; [ 9.515625 19.484375],0
a3,1,0.268274,1.225549,[81 18] ; [21  8],[78.890625 20.109375] ; [23.109375  5.890625],0
a6,1,0.285522,1.140617,[64 34] ; [22  7],[66.36220472 31.63779528] ; [19.63779528  9.36220472],0
p1,1,0.325149,0.968123,[16 83] ; [ 7 22],[17.7890625 81.2109375] ; [ 5.2109375 23.7890625],0
n4,1,0.380849,0.76796,[86 14] ; [23  6],[84.49612403 15.50387597] ; [24.50387597  4.49612403],0
p9,1,0.381765,0.765012,[88  8] ; [25  4],[86.784  9.216] ; [26.216  2.784],0
b5,1,0.384054,0.757685,[54 46] ; [13 16],[51.9379845 48.0620155] ; [15.0620155 13.9379845],0
b2,1,0.404778,0.694086,[26 25] ; [ 8 12],[24.42253521 26.57746479] ; [ 9.57746479 10.42253521],0
b3,1,0.404778,0.694086,[26 25] ; [ 8 12],[24.42253521 26.57746479] ; [ 9.57746479 10.42253521],0
p8,1,0.421904,0.645005,[71 26] ; [19 10],[69.28571429 27.71428571] ; [20.71428571  8.28571429],0
a5,1,0.464943,0.53397,[85 15] ; [23  6],[83.72093023 16.27906977] ; [24.27906977  4.72093023],0
v2,1,0.505424,0.44353,[80 19] ; [25  4],[81.2109375 17.7890625] ; [23.7890625  5.2109375],0
u3,1,0.551149,0.355263,[12  7] ; [6 2],[12.66666667  6.33333333] ; [5.33333333 2.66666667],0
u1,1,0.559905,0.339869,[26 74] ; [ 6 23],[24.80620155 75.19379845] ; [ 7.19379845 21.80620155],0
a8,1,0.571038,0.320949,[ 8 84] ; [ 3 21],[ 8.72413793 83.27586207] ; [ 2.27586207 21.72413793],0
p2,1,0.575524,0.313527,[86 13] ; [24  5],[85.078125 13.921875] ; [24.921875  4.078125],0
a7,1,0.605952,0.266112,[70 30] ; [21  7],[71.09375 28.90625] ; [19.90625  8.09375],0
d2,1,0.632866,0.228195,[54 44] ; [14 14],[52.88888889 45.11111111] ; [15.11111111 12.88888889],0
d3,1,0.800527,0.063839,[74 25] ; [21  8],[73.4765625 25.5234375] ; [21.5234375  7.4765625],0
p7,1,0.800975,0.063547,[74 22] ; [23  6],[74.496 21.504] ; [22.504  6.496],0
p12,1,0.812908,0.056016,[19 80] ; [ 5 24],[18.5625 80.4375] ; [ 5.4375 23.5625],0
b1,1,0.817521,0.053238,[39 61] ; [12 17],[39.53488372 60.46511628] ; [11.46511628 17.53488372],0
p4,1,0.821004,0.051191,[75 23] ; [22  6],[75.44444444 22.55555556] ; [21.55555556  6.44444444],0
a1,1,0.826244,0.04819,[ 9 91] ; [ 3 26],[ 9.30232558 90.69767442] ; [ 2.69767442 26.30232558],0
r1,1,0.838559,0.041509,[90  9] ; [26  3],[89.71875  9.28125] ; [26.28125  2.71875],0
p6,1,0.846371,0.037539,[45 51] ; [13 16],[44.544 51.456] ; [13.456 15.544],0
n3,1,0.852777,0.034439,[15  5] ; [5 2],[14.81481481  5.18518519] ; [5.18518519 1.81481481],0
s4,1,0.868099,0.02758,[20 80] ; [ 6 22],[20.3125 79.6875] ; [ 5.6875 22.3125],0
p11,1,0.935035,0.006644,[80 20] ; [23  6],[79.84496124 20.15503876] ; [23.15503876  5.84496124],0
p10,1,0.952796,0.003504,[88 11] ; [25  3],[88.08661417 10.91338583] ; [24.91338583  3.08661417],0
