Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.00065,11.625881,[28  9] ; [68 85],[18.69473684 18.30526316] ; [77.30526316 75.69473684],1
s2,1,0.001176,10.527467,[23 15] ; [ 49 104],[14.32460733 23.67539267] ; [57.67539267 95.32460733],0
s7,1,0.001566,9.999704,[17 18] ; [ 33 116],[ 9.51086957 25.48913043] ; [ 40.48913043 108.51086957],0
s4,1,0.013109,6.154316,[12 26] ; [ 22 131],[ 6.76439791 31.23560209] ; [ 27.23560209 125.76439791],0
p5,1,0.052599,3.756601,[ 4 33] ; [  5 148],[ 1.75263158 35.24736842] ; [  7.24736842 145.75263158],0
u1,1,0.059176,3.560338,[ 3 35] ; [  3 151],[ 1.1875 36.8125] ; [  4.8125 149.1875],0
s3,1,0.075005,3.169946,[24 14] ; [70 79],[19.10160428 18.89839572] ; [74.89839572 74.10160428],0
p2,1,0.10582,2.615567,[30  7] ; [104  50],[25.95811518 11.04188482] ; [108.04188482  45.95811518],0
b5,1,0.125805,2.343521,[18 20] ; [94 60],[22.16666667 15.83333333] ; [89.83333333 64.16666667],0
v3,1,0.153753,2.034618,[14 22] ; [ 40 109],[10.50810811 25.49189189] ; [ 43.49189189 105.50810811],0
d3,1,0.166405,1.915034,[24 14] ; [78 76],[20.1875 17.8125] ; [81.8125 72.1875],0
d4,1,0.167821,1.902301,[27 10] ; [93 60],[23.36842105 13.63157895] ; [96.63157895 56.36842105],0
p9,1,0.172692,1.859421,[28  8] ; [99 51],[24.58064516 11.41935484] ; [102.41935484  47.58064516],0
r3,1,0.181688,1.783766,[34  3] ; [128  26],[31.38219895  5.61780105] ; [130.61780105  23.38219895],0
d5,1,0.204878,1.607257,[26 12] ; [88 66],[22.5625 15.4375] ; [91.4375 62.5625],0
n6,1,0.262336,1.25639,[31  7] ; [112  42],[28.30208333  9.69791667] ; [114.69791667  39.30208333],0
p4,1,0.262741,1.254255,[16 22] ; [ 49 102],[13.06878307 24.93121693] ; [51.93121693 99.06878307],0
v4,1,0.266006,1.237228,[34  3] ; [129  23],[31.91005291  5.08994709] ; [131.08994709  20.91005291],0
b2,1,0.269035,1.221659,[ 2 18] ; [17 65],[ 3.7254902 16.2745098] ; [15.2745098 66.7254902],0
b3,1,0.269035,1.221659,[ 2 18] ; [17 65],[ 3.7254902 16.2745098] ; [15.2745098 66.7254902],0
v1,1,0.270396,1.214737,[16 21] ; [50 99],[13.12903226 23.87096774] ; [52.87096774 96.12903226],0
u3,1,0.283314,1.151124,[14  9] ; [44 47],[11.70175439 11.29824561] ; [46.29824561 44.70175439],0
p11,1,0.315983,1.005502,[27 11] ; [96 58],[24.34375 13.65625] ; [98.65625 55.34375],0
s1,1,0.387795,0.745844,[ 3 34] ; [  7 146],[ 1.94736842 35.05263158] ; [  8.05263158 144.94736842],0
b4,1,0.399882,0.708681,[26 12] ; [94 60],[23.75 14.25] ; [96.25 57.75],0
r4,1,0.406412,0.689271,[29  9] ; [107  47],[26.91666667 11.08333333] ; [109.08333333  44.91666667],0
p10,1,0.473173,0.514558,[26 11] ; [96 54],[24.13903743 12.86096257] ; [97.86096257 52.13903743],0
r1,1,0.521611,0.410707,[25 13] ; [92 61],[23.27748691 14.72251309] ; [93.72251309 59.27748691],0
