Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.430064,[35  4] ; [10 17],[26.59090909 12.40909091] ; [18.40909091  8.59090909],1
r2,1,0.00046,12.27089,[36  3] ; [15 12],[30.13636364  8.86363636] ; [20.86363636  6.13636364],1
v4,1,0.000575,11.856261,[34  5] ; [13 14],[27.77272727 11.22727273] ; [19.22727273  7.77272727],1
s2,1,0.015386,5.871763,[16 21] ; [ 4 23],[11.5625 25.4375] ; [ 8.4375 18.5625],0
r3,1,0.020556,5.364053,[33  6] ; [16 11],[28.95454545 10.04545455] ; [20.04545455  6.95454545],0
v2,1,0.024382,5.067243,[16 21] ; [ 4 21],[11.93548387 25.06451613] ; [ 8.06451613 16.93548387],0
s3,1,0.024653,5.048077,[18 18] ; [ 6 21],[13.71428571 22.28571429] ; [10.28571429 16.71428571],0
s6,1,0.031313,4.635747,[20 18] ; [ 7 20],[15.78461538 22.21538462] ; [11.21538462 15.78461538],0
a7,1,0.03169,4.615195,[22 17] ; [ 8 19],[17.72727273 21.27272727] ; [12.27272727 14.72727273],0
a5,1,0.039404,4.243358,[20 19] ; [ 7 20],[15.95454545 23.04545455] ; [11.04545455 15.95454545],0
p11,1,0.08481,2.970217,[27 12] ; [13 14],[23.63636364 15.36363636] ; [16.36363636 10.63636364],0
u2,1,0.088432,2.902684,[12 10] ; [ 5 13],[ 9.35 12.65] ; [ 7.65 10.35],0
u3,1,0.088432,2.902684,[12 10] ; [ 5 13],[ 9.35 12.65] ; [ 7.65 10.35],0
n4,1,0.111103,2.538462,[29 10] ; [15 12],[26. 13.] ; [18.  9.],0
s5,1,0.164742,1.930147,[ 9 27] ; [ 3 24],[ 6.85714286 29.14285714] ; [ 5.14285714 21.85714286],0
p3,1,0.183948,1.765432,[13 26] ; [ 5 22],[10.63636364 28.36363636] ; [ 7.36363636 19.63636364],0
p9,1,0.279522,1.169411,[18 21] ; [15 10],[20.109375 18.890625] ; [12.890625 12.109375],0
a6,1,0.294904,1.097097,[21 18] ; [11 16],[18.90909091 20.09090909] ; [13.09090909 13.90909091],0
a3,1,0.310292,1.029434,[17 20] ; [ 9 18],[15.03125 21.96875] ; [10.96875 16.03125],0
s4,1,0.313616,1.015385,[ 8 31] ; [ 3 24],[ 6.5 32.5] ; [ 4.5 22.5],0
