Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.000332,12.878049,[ 7 34] ; [15 10],[13.66666667 27.33333333] ; [ 8.33333333 16.66666667],1
v2,1,0.00745,7.161109,[17 21] ; [19  5],[22.06451613 15.93548387] ; [13.93548387 10.06451613],0
s2,1,0.012093,6.297158,[22 19] ; [21  4],[26.71212121 14.28787879] ; [16.28787879  8.71212121],0
a2,1,0.018666,5.532586,[16 25] ; [ 3 22],[11.8030303 29.1969697] ; [ 7.1969697 17.8030303],0
p9,1,0.034696,4.460057,[25 14] ; [22  3],[28.640625 10.359375] ; [18.359375  6.640625],0
p8,1,0.049711,3.851172,[ 5 36] ; [ 8 17],[ 8.07575758 32.92424242] ; [ 4.92424242 20.07575758],0
s3,1,0.063721,3.437786,[25 15] ; [21  4],[28.30769231 11.69230769] ; [17.69230769  7.30769231],0
p10,1,0.07318,3.210211,[26 15] ; [21  4],[29.1969697 11.8030303] ; [17.8030303  7.1969697],0
a3,1,0.094124,2.802391,[35  6] ; [17  8],[32.3030303  8.6969697] ; [19.6969697  5.3030303],0
n5,1,0.107476,2.590941,[25 16] ; [20  5],[27.95454545 13.04545455] ; [17.04545455  7.95454545],0
n1,1,0.107936,2.584189,[12  5] ; [2 4],[10.34782609  6.65217391] ; [3.65217391 2.34782609],0
a8,1,0.110985,2.540134,[ 3 36] ; [ 5 18],[ 5.03225806 33.96774194] ; [ 2.96774194 20.03225806],0
s4,1,0.160412,1.970341,[ 7 34] ; [ 8 17],[ 9.31818182 31.68181818] ; [ 5.68181818 19.31818182],0
s5,1,0.189152,1.724211,[13 26] ; [12 12],[15.47619048 23.52380952] ; [ 9.52380952 14.47619048],0
v1,1,0.1955,1.675676,[16 21] ; [15 10],[18.5 18.5] ; [12.5 12.5],0
u1,1,0.222418,1.488702,[12 29] ; [ 4 21],[ 9.93939394 31.06060606] ; [ 6.06060606 18.93939394],0
a4,1,0.251035,1.317537,[24 17] ; [11 14],[21.74242424 19.25757576] ; [13.25757576 11.74242424],0
v4,1,0.297449,1.085597,[34  7] ; [23  2],[35.40909091  5.59090909] ; [21.59090909  3.40909091],0
p4,1,0.307981,1.039314,[12 29] ; [10 14],[13.87692308 27.12307692] ; [ 8.12307692 15.87692308],0
b5,1,0.337075,0.921523,[23 18] ; [17  8],[24.84848485 16.15151515] ; [15.15151515  9.84848485],0
u3,1,0.347153,0.883838,[4 2] ; [7 1],[4.71428571 1.28571429] ; [6.28571429 1.71428571],0
n4,1,0.403583,0.697625,[29 12] ; [20  5],[30.43939394 10.56060606] ; [18.56060606  6.43939394],0
b2,1,0.415641,0.662606,[16 17] ; [ 7 12],[14.59615385 18.40384615] ; [ 8.40384615 10.59615385],0
b3,1,0.415641,0.662606,[16 17] ; [ 7 12],[14.59615385 18.40384615] ; [ 8.40384615 10.59615385],0
p3,1,0.417713,0.65674,[13 28] ; [10 14],[14.50769231 26.49230769] ; [ 8.49230769 15.50769231],0
s6,1,0.418628,0.654162,[31 10] ; [21  4],[32.3030303  8.6969697] ; [19.6969697  5.3030303],0
a5,1,0.424768,0.637085,[33  8] ; [18  7],[31.68181818  9.31818182] ; [19.31818182  5.68181818],0
r4,1,0.42698,0.631024,[33  8] ; [22  3],[34.16666667  6.83333333] ; [20.83333333  4.16666667],0
n6,1,0.44068,0.594512,[34  7] ; [18  6],[32.8  8.2] ; [19.2  4.8],0
d2,1,0.459352,0.547473,[27 14] ; [13 10],[25.625 15.375] ; [14.375  8.625],0
