Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,4e-06,21.45494,[108  24] ; [29 30],[94.68062827 37.31937173] ; [42.31937173 16.68062827],1
a2,1,8e-06,19.923532,[51 82] ; [ 4 55],[38.09895833 94.90104167] ; [16.90104167 42.09895833],1
b5,1,5e-05,16.452925,[87 46] ; [20 39],[74.11979167 58.88020833] ; [32.88020833 26.11979167],1
a6,1,6.3e-05,16.014097,[97 34] ; [26 33],[84.80526316 46.19473684] ; [38.19473684 20.80526316],1
u1,1,0.000428,12.40525,[43 90] ; [ 5 54],[33.25 99.75] ; [14.75 44.25],1
d1,1,0.000875,11.074631,[100  33] ; [30 29],[90.05208333 42.94791667] ; [39.94791667 19.05208333],1
r2,1,0.004547,8.051534,[132   1] ; [54  5],[128.84375   4.15625] ; [57.15625  1.84375],0
s8,1,0.00765,7.113597,[81 50] ; [48 11],[88.94210526 42.05789474] ; [40.05789474 18.94210526],0
p12,1,0.010297,6.582728,[ 29 103] ; [ 4 55],[ 22.80628272 109.19371728] ; [10.19371728 48.80628272],0
p1,1,0.014036,6.033642,[ 21 111] ; [ 2 57],[ 15.89528796 116.10471204] ; [ 7.10471204 51.89528796],0
v4,1,0.018026,5.593584,[130   2] ; [54  5],[127.16230366   4.83769634] ; [56.83769634  2.16230366],0
r4,1,0.032309,4.582031,[128   5] ; [52  7],[124.6875   8.3125] ; [55.3125  3.6875],0
b1,1,0.033523,4.518844,[46 87] ; [30 29],[52.64583333 80.35416667] ; [23.35416667 35.64583333],0
a1,1,0.0376,4.323014,[  8 125] ; [ 9 50],[ 11.77604167 121.22395833] ; [ 5.22395833 53.77604167],0
s7,1,0.040253,4.207187,[91 36] ; [48  8],[96.46448087 30.53551913] ; [42.53551913 13.46448087],0
b4,1,0.043074,4.092514,[86 47] ; [29 30],[79.66145833 53.33854167] ; [35.33854167 23.66145833],0
r1,1,0.047022,3.944604,[119  13] ; [47 12],[114.72251309  17.27748691] ; [51.27748691  7.72251309],0
u3,1,0.066217,3.374383,[23  7] ; [4 5],[20.76923077  9.23076923] ; [6.23076923 2.76923077],0
b2,1,0.080307,3.058673,[29 45] ; [22 17],[33.39823009 40.60176991] ; [17.60176991 21.39823009],0
b3,1,0.080307,3.058673,[29 45] ; [22 17],[33.39823009 40.60176991] ; [17.60176991 21.39823009],0
n4,1,0.086979,2.929408,[112  21] ; [55  4],[115.68229167  17.31770833] ; [51.31770833  7.68229167],0
d2,1,0.098516,2.729398,[79 52] ; [28 31],[73.77368421 57.22631579] ; [33.22631579 25.77368421],0
p7,1,0.13277,2.259814,[84 42] ; [45 13],[88.33695652 37.66304348] ; [40.66304348 17.33695652],0
p9,1,0.182105,1.78036,[116  13] ; [49 10],[113.21808511  15.78191489] ; [51.78191489  7.21808511],0
n1,1,0.195644,1.674594,[ 9 19] ; [6 5],[10.76923077 17.23076923] ; [4.23076923 6.76923077],0
v1,1,0.223629,1.480932,[91 41] ; [45 13],[94.48421053 37.51578947] ; [41.51578947 16.48421053],0
a3,1,0.236498,1.401345,[102  30] ; [50  9],[105.04712042  26.95287958] ; [46.95287958 12.04712042],0
d4,1,0.260757,1.264734,[119  13] ; [49  9],[116.71578947  15.28421053] ; [51.28421053  6.71578947],0
p3,1,0.261237,1.262192,[73 58] ; [38 21],[76.53157895 54.46842105] ; [34.46842105 24.53157895],0
v2,1,0.292744,1.106957,[106  25] ; [43 15],[103.27513228  27.72486772] ; [45.72486772 12.27513228],0
r3,1,0.298578,1.080536,[130   3] ; [56  3],[128.84375   4.15625] ; [57.15625  1.84375],0
a4,1,0.329762,0.94983,[71 62] ; [27 32],[67.88541667 65.11458333] ; [30.11458333 28.88541667],0
p8,1,0.336047,0.925454,[82 49] ; [32 26],[79.01587302 51.98412698] ; [34.98412698 23.01587302],0
n2,1,0.341591,0.904453,[24  4] ; [8 3],[22.97435897  5.02564103] ; [9.02564103 1.97435897],0
p10,1,0.36177,0.83174,[118  14] ; [50  9],[116.10471204  15.89528796] ; [51.89528796  7.10471204],0
s4,1,0.363137,0.827017,[ 20 113] ; [12 47],[ 22.16666667 110.83333333] ; [ 9.83333333 49.16666667],0
n5,1,0.392821,0.730193,[110  22] ; [52  7],[111.95811518  20.04188482] ; [50.04188482  8.95811518],0
u4,1,0.478623,0.501999,[  4 129] ; [ 3 56],[  4.84895833 128.15104167] ; [ 2.15104167 56.84895833],0
u2,1,0.499822,0.455315,[21 10] ; [5 4],[20.15 10.85] ; [5.85 3.15],0
n6,1,0.576889,0.311291,[118  12] ; [52  7],[116.93121693  13.06878307] ; [53.06878307  5.93121693],0
s3,1,0.597553,0.278702,[110  19] ; [52  7],[111.15957447  17.84042553] ; [50.84042553  8.15957447],0
p11,1,0.618832,0.247513,[104  29] ; [48 11],[105.29166667  27.70833333] ; [46.70833333 12.29166667],0
p5,1,0.630447,0.231455,[ 23 109] ; [12 47],[ 24.18848168 107.81151832] ; [10.81151832 48.18848168],0
p4,1,0.632276,0.228987,[89 42] ; [38 21],[87.56315789 43.43684211] ; [39.43684211 19.56315789],0
p2,1,0.649344,0.206729,[113  19] ; [49 10],[111.95811518  20.04188482] ; [50.04188482  8.95811518],0
p6,1,0.689399,0.159737,[52 78] ; [25 33],[53.24468085 76.75531915] ; [23.75531915 34.24468085],0
d5,1,0.716,0.132358,[112  20] ; [48 10],[111.15789474  20.84210526] ; [48.84210526  9.15789474],0
n3,1,0.763285,0.090703,[20  8] ; [8 4],[19.6  8.4] ; [8.4 3.6],0
s5,1,0.795577,0.06712,[70 58] ; [30 27],[69.18918919 58.81081081] ; [30.81081081 26.18918919],0
a5,1,0.821028,0.051177,[110  23] ; [48 11],[109.44791667  23.55208333] ; [48.55208333 10.44791667],0
s6,1,0.86631,0.028341,[112  17] ; [50  7],[112.35483871  16.64516129] ; [49.64516129  7.35483871],0
s1,1,0.87958,0.022953,[  6 125] ; [ 3 56],[  6.20526316 124.79473684] ; [ 2.79473684 56.20526316],0
a8,1,0.913977,0.011669,[ 17 105] ; [ 8 47],[ 17.23163842 104.76836158] ; [ 7.76836158 47.23163842],0
