Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.001077,10.690909,[ 5 39] ; [3 1],[ 7.33333333 36.66666667] ; [0.66666667 3.33333333],0
p3,1,0.002998,8.808905,[ 6 37] ; [3 1],[ 8.23404255 34.76595745] ; [0.76595745 3.23404255],0
d1,1,0.035169,4.436975,[11 33] ; [3 1],[12.83333333 31.16666667] ; [1.16666667 2.83333333],0
s5,1,0.036065,4.394045,[ 5 39] ; [2 2],[ 6.41666667 37.58333333] ; [0.58333333 3.41666667],0
v3,1,0.061707,3.490909,[ 6 38] ; [2 2],[ 7.33333333 36.66666667] ; [0.66666667 3.33333333],0
a6,1,0.157839,1.994805,[17 27] ; [3 1],[18.33333333 25.66666667] ; [1.66666667 2.33333333],0
p10,1,0.202254,1.626022,[18 25] ; [3 1],[19.21276596 23.78723404] ; [1.78723404 2.21276596],0
d3,1,0.221406,1.495232,[19 25] ; [3 1],[20.16666667 23.83333333] ; [1.83333333 2.16666667],0
a8,1,0.291509,1.112637,[ 5 37] ; [1 2],[ 5.6 36.4] ; [0.4 2.6],0
p11,1,0.29627,1.090909,[21 23] ; [3 1],[22. 22.] ; [2. 2.],0
a3,1,0.316723,1.002433,[21 22] ; [3 1],[21.95744681 21.04255319] ; [2.04255319 1.95744681],0
p1,1,0.318644,0.994503,[ 4 40] ; [1 3],[ 4.58333333 39.41666667] ; [0.41666667 3.58333333],0
v4,1,0.337932,0.918261,[22 22] ; [3 1],[22.91666667 21.08333333] ; [2.08333333 1.91666667],0
b1,1,0.337932,0.918261,[22 22] ; [3 1],[22.91666667 21.08333333] ; [2.08333333 1.91666667],0
a7,1,0.337932,0.918261,[22 22] ; [1 3],[21.08333333 22.91666667] ; [1.91666667 2.08333333],0
v1,1,0.338335,0.91673,[12 32] ; [2 2],[12.83333333 31.16666667] ; [1.16666667 2.83333333],0
d2,1,0.338335,0.91673,[12 32] ; [2 2],[12.83333333 31.16666667] ; [1.16666667 2.83333333],0
p9,1,0.338851,0.914773,[21 21] ; [3 1],[21.91304348 20.08695652] ; [2.08695652 1.91304348],0
p2,1,0.382431,0.762873,[23 21] ; [3 1],[23.83333333 20.16666667] ; [2.16666667 1.83333333],0
p7,1,0.398103,0.71405,[13 31] ; [2 2],[13.75 30.25] ; [1.25 2.75],0
r1,1,0.398103,0.71405,[13 31] ; [2 2],[13.75 30.25] ; [1.25 2.75],0
v2,1,0.417235,0.658091,[13 30] ; [2 2],[13.72340426 29.27659574] ; [1.27659574 2.72340426],0
d5,1,0.429795,0.623377,[24 20] ; [3 1],[24.75 19.25] ; [2.25 1.75],0
a5,1,0.480071,0.498701,[19 25] ; [1 3],[18.33333333 25.66666667] ; [1.66666667 2.33333333],0
r3,1,0.511024,0.43197,[25 18] ; [3 1],[25.61702128 17.38297872] ; [2.38297872 1.61702128],0
b4,1,0.524146,0.405727,[29 15] ; [2 2],[28.41666667 15.58333333] ; [2.58333333 1.41666667],0
d4,1,0.711923,0.136364,[29 15] ; [3 1],[29.33333333 14.66666667] ; [2.66666667 1.33333333],0
b5,1,0.861327,0.030515,[24 20] ; [2 2],[23.83333333 20.16666667] ; [2.16666667 1.83333333],0
s2,1,0.917531,0.010721,[10 34] ; [1 3],[10.08333333 33.91666667] ; [0.91666667 3.08333333],0
s3,1,0.979651,0.000651,[11 32] ; [1 3],[10.9787234 32.0212766] ; [1.0212766 2.9787234],0
a4,1,1.0,0.0,[11 33] ; [1 3],[11. 33.] ; [1. 3.],0
