Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,5e-06,20.756422,[ 1 21] ; [41 27],[10.26666667 11.73333333] ; [31.73333333 36.26666667],1
d3,1,0.00086,11.107028,[ 6 16] ; [46 22],[12.71111111  9.28888889] ; [39.28888889 28.71111111],1
a3,1,0.001908,9.635695,[ 7 15] ; [47 21],[13.2  8.8] ; [40.8 27.2],0
s5,1,0.002986,8.81571,[ 1 20] ; [24 37],[ 6.40243902 14.59756098] ; [18.59756098 42.40243902],0
d5,1,0.004769,7.965091,[12 10] ; [57 11],[16.86666667  5.13333333] ; [52.13333333 15.86666667],0
v3,1,0.008224,6.984127,[ 2 20] ; [26 40],[ 7. 15.] ; [21. 45.],0
b3,1,0.019045,5.49738,[ 1 13] ; [18 26],[4.5862069 9.4137931] ; [14.4137931 29.5862069],0
b2,1,0.019045,5.49738,[ 1 13] ; [18 26],[4.5862069 9.4137931] ; [14.4137931 29.5862069],0
s6,1,0.033098,4.540725,[ 9 12] ; [46 21],[13.125  7.875] ; [41.875 25.125],0
s7,1,0.047077,3.942627,[ 6 14] ; [36 29],[ 9.88235294 10.11764706] ; [32.11764706 32.88235294],0
s2,1,0.049738,3.850267,[ 7 15] ; [38 30],[11. 11.] ; [34. 34.],0
v2,1,0.054806,3.687981,[ 6 16] ; [34 33],[ 9.88764045 12.11235955] ; [30.11235955 36.88764045],0
n2,1,0.074791,3.174603,[1 2] ; [17  4],[2.25 0.75] ; [15.75  5.25],0
b4,1,0.08618,2.944322,[ 9 13] ; [42 26],[12.46666667  9.53333333] ; [38.53333333 29.46666667],0
p5,1,0.09677,2.757982,[ 1 21] ; [13 54],[ 3.46067416 18.53932584] ; [10.53932584 56.46067416],0
a5,1,0.135433,2.229102,[11 11] ; [46 22],[13.93333333  8.06666667] ; [43.06666667 24.93333333],0
d2,1,0.136182,2.220584,[ 5 17] ; [27 40],[ 7.91011236 14.08988764] ; [24.08988764 42.91011236],0
v1,1,0.157817,1.995022,[ 9 13] ; [39 28],[11.86516854 10.13483146] ; [36.13483146 30.86516854],0
v4,1,0.203586,1.616458,[17  5] ; [60  8],[18.82222222  3.17777778] ; [58.17777778  9.82222222],0
p6,1,0.214044,1.54386,[ 7 15] ; [31 35],[ 9.5 12.5] ; [28.5 37.5],0
a4,1,0.224727,1.47393,[ 5 17] ; [25 43],[ 7.33333333 14.66666667] ; [22.66666667 45.33333333],0
a8,1,0.236098,1.40374,[ 3 18] ; [ 4 61],[ 1.70930233 19.29069767] ; [ 5.29069767 59.70930233],0
p11,1,0.236707,1.400097,[14  8] ; [52 16],[16.13333333  5.86666667] ; [49.86666667 18.13333333],0
b5,1,0.242327,1.367007,[16  6] ; [40 28],[13.68888889  8.31111111] ; [42.31111111 25.68888889],0
n6,1,0.324224,0.971829,[20  2] ; [55 12],[18.53932584  3.46067416] ; [56.46067416 10.53932584],0
r2,1,0.413152,0.669711,[17  5] ; [56 10],[18.25  3.75] ; [54.75 11.25],0
r4,1,0.415417,0.663245,[16  6] ; [43 25],[14.42222222  7.57777778] ; [44.57777778 23.42222222],0
p8,1,0.464718,0.534508,[10 12] ; [37 31],[11.48888889 10.51111111] ; [35.51111111 32.48888889],0
u3,1,0.556732,0.345395,[6 9] ; [10 10],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
u2,1,0.556732,0.345395,[6 9] ; [10 10],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
a7,1,0.587188,0.294757,[15  7] ; [42 26],[13.93333333  8.06666667] ; [43.06666667 24.93333333],0
a6,1,0.602612,0.271075,[14  8] ; [39 29],[12.95555556  9.04444444] ; [40.04444444 27.95555556],0
b1,1,0.61465,0.253458,[ 9 13] ; [32 36],[10.02222222 11.97777778] ; [30.97777778 37.02222222],0
n5,1,0.718588,0.129849,[16  6] ; [46 21],[15.3258427  6.6741573] ; [46.6741573 20.3258427],0
r3,1,0.728687,0.120321,[20  2] ; [60  8],[19.55555556  2.44444444] ; [60.44444444  7.55555556],0
