Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,25.178363,[ 26 211] ; [30 56],[ 41.08978328 195.91021672] ; [14.91021672 71.08978328],1
p7,1,3.6e-05,17.055539,[ 63 169] ; [45 42],[ 78.54545455 153.45454545] ; [29.45454545 57.54545455],1
p2,1,0.000115,14.86833,[137 101] ; [71 17],[151.85276074  86.14723926] ; [56.14723926 31.85276074],1
s7,1,0.000257,13.357112,[ 67 160] ; [44 41],[ 80.75961538 146.24038462] ; [30.24038462 54.75961538],1
s6,1,0.000603,11.765367,[111 124] ; [61 28],[124.75308642 110.24691358] ; [47.24691358 41.75308642],1
s8,1,0.000664,11.587913,[ 58 179] ; [39 50],[ 70.51840491 166.48159509] ; [26.48159509 62.51840491],1
s2,1,0.002062,9.493425,[ 85 150] ; [49 40],[ 97.19135802 137.80864198] ; [36.80864198 52.19135802],0
a2,1,0.00366,8.445309,[ 40 198] ; [28 61],[ 49.49235474 188.50764526] ; [18.50764526 70.49235474],0
a4,1,0.005169,7.819214,[ 91 146] ; [49 39],[102.09230769 134.90769231] ; [37.90769231 50.09230769],0
a5,1,0.012539,6.233037,[138 100] ; [65 24],[147.74923547  90.25076453] ; [55.25076453 33.74923547],0
d3,1,0.014899,5.928401,[140  95] ; [66 23],[149.41358025  85.58641975] ; [56.58641975 32.41358025],0
u1,1,0.020573,5.362639,[ 27 211] ; [19 70],[ 33.48012232 204.51987768] ; [12.51987768 76.48012232],0
p5,1,0.022429,5.212215,[  3 234] ; [ 5 83],[  5.83384615 231.16615385] ; [ 2.16615385 85.83384615],0
r3,1,0.022808,5.183098,[199  35] ; [84  5],[205.02167183  28.97832817] ; [77.97832817 11.02167183],0
r4,1,0.029447,4.741296,[173  65] ; [75 14],[180.50152905  57.49847095] ; [67.49847095 21.50152905],0
p10,1,0.034515,4.469029,[143  92] ; [64 23],[151.07142857  83.92857143] ; [55.92857143 31.07142857],0
p9,1,0.034617,4.463975,[153  78] ; [69 19],[160.75862069  70.24137931] ; [61.24137931 26.75862069],0
v1,1,0.042341,4.121504,[ 82 150] ; [42 46],[ 89.9 142.1] ; [34.1 53.9],0
s5,1,0.048759,3.883637,[ 47 182] ; [27 60],[ 53.62658228 175.37341772] ; [20.37341772 66.62658228],0
d2,1,0.059655,3.546938,[ 98 137] ; [47 41],[105.49535604 129.50464396] ; [39.50464396 48.49535604],0
v4,1,0.061128,3.506505,[196  37] ; [82  7],[201.16149068  31.83850932] ; [76.83850932 12.16149068],0
d1,1,0.063973,3.431274,[109 129] ; [51 38],[116.45259939 121.54740061] ; [43.54740061 45.45259939],0
d5,1,0.075479,3.159654,[165  71] ; [71 18],[171.37230769  64.62769231] ; [64.62769231 24.37230769],0
s3,1,0.077189,3.123108,[109 126] ; [50 37],[116.04037267 118.95962733] ; [42.95962733 44.04037267],0
