Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,28.600902,[ 6 35] ; [19  4],[16.015625 24.984375] ; [ 8.984375 14.015625],1
a8,1,0.002694,9.004155,[ 1 34] ; [ 6 13],[ 4.53703704 30.46296296] ; [ 2.46296296 16.53703704],0
n5,1,0.004547,8.051211,[17 24] ; [18  5],[22.421875 18.578125] ; [12.578125 10.421875],0
s2,1,0.005203,7.807324,[12 29] ; [15  8],[17.296875 23.703125] ; [ 9.703125 13.296875],0
p6,1,0.006908,7.296782,[13 27] ; [15  7],[18.06451613 21.93548387] ; [ 9.93548387 12.06451613],0
p9,1,0.02033,5.383329,[12 27] ; [14  9],[16.35483871 22.64516129] ; [ 9.64516129 13.35483871],0
s6,1,0.021217,5.308856,[20 21] ; [18  5],[24.34375 16.65625] ; [13.65625  9.34375],0
p4,1,0.021217,5.308856,[20 21] ; [18  5],[24.34375 16.65625] ; [13.65625  9.34375],0
p11,1,0.03289,4.551499,[19 22] ; [17  6],[23.0625 17.9375] ; [12.9375 10.0625],0
d4,1,0.03705,4.348109,[28 13] ; [21  2],[31.390625  9.609375] ; [17.609375  5.390625],0
r4,1,0.041429,4.158372,[31 10] ; [22  1],[33.953125  7.046875] ; [19.046875  3.953125],0
u3,1,0.043742,4.066506,[ 7 14] ; [6 2],[ 9.4137931 11.5862069] ; [3.5862069 4.4137931],0
d1,1,0.048381,3.896717,[18 23] ; [16  7],[21.78125 19.21875] ; [12.21875 10.78125],0
b3,1,0.050802,3.81478,[ 3 19] ; [ 7 10],[ 5.64102564 16.35897436] ; [ 4.35897436 12.64102564],0
b2,1,0.050802,3.81478,[ 3 19] ; [ 7 10],[ 5.64102564 16.35897436] ; [ 4.35897436 12.64102564],0
b5,1,0.055372,3.670837,[31 10] ; [12 11],[27.546875 13.453125] ; [15.453125  7.546875],0
n6,1,0.058722,3.573129,[26 14] ; [20  3],[29.20634921 10.79365079] ; [16.79365079  6.20634921],0
d3,1,0.066645,3.363781,[27 14] ; [20  3],[30.109375 10.890625] ; [16.890625  6.109375],0
u1,1,0.084264,2.980684,[ 4 37] ; [ 6 17],[ 6.40625 34.59375] ; [ 3.59375 19.40625],0
r1,1,0.087613,2.917702,[27 13] ; [20  3],[29.84126984 10.15873016] ; [17.15873016  5.84126984],0
s3,1,0.089713,2.879511,[19 21] ; [16  7],[22.22222222 17.77777778] ; [12.77777778 10.22222222],0
u2,1,0.092373,2.832522,[ 6 15] ; [5 3],[ 7.96551724 13.03448276] ; [3.03448276 4.96551724],0
d5,1,0.098026,2.737363,[28 13] ; [20  3],[30.75 10.25] ; [17.25  5.75],0
p5,1,0.099377,2.71552,[ 2 39] ; [ 4 19],[ 3.84375 37.15625] ; [ 2.15625 20.84375],0
n4,1,0.111037,2.539396,[22 19] ; [17  6],[24.984375 16.015625] ; [14.015625  8.984375],0
p3,1,0.122921,2.379707,[15 26] ; [13 10],[17.9375 23.0625] ; [10.0625 12.9375],0
a4,1,0.129275,2.301188,[10 30] ; [10 13],[12.6984127 27.3015873] ; [ 7.3015873 15.6984127],0
n2,1,0.168843,1.893182,[9 2] ; [3 3],[7.76470588 3.23529412] ; [4.23529412 1.76470588],0
v4,1,0.205841,1.600438,[35  6] ; [22  1],[36.515625  4.484375] ; [20.484375  2.515625],0
n3,1,0.231605,1.430976,[7 4] ; [2 4],[5.82352941 5.17647059] ; [3.17647059 2.82352941],0
a3,1,0.241887,1.369565,[20 20] ; [15  8],[22.22222222 17.77777778] ; [12.77777778 10.22222222],0
u4,1,0.255866,1.290985,[ 1 40] ; [ 2 21],[ 1.921875 39.078125] ; [ 1.078125 21.921875],0
d2,1,0.308926,1.035264,[16 25] ; [12 11],[17.9375 23.0625] ; [10.0625 12.9375],0
s5,1,0.419861,0.650704,[ 6 35] ; [ 5 17],[ 7.15873016 33.84126984] ; [ 3.84126984 18.15873016],0
v2,1,0.434481,0.610817,[19 22] ; [13 10],[20.5 20.5] ; [11.5 11.5],0
v3,1,0.468862,0.524658,[11 29] ; [ 8 14],[12.25806452 27.74193548] ; [ 6.74193548 15.25806452],0
n1,1,0.515305,0.42328,[5 5] ; [4 2],[5.625 4.375] ; [3.375 2.625],0
p2,1,0.515774,0.422336,[31 10] ; [19  4],[32.03125  8.96875] ; [17.96875  5.03125],0
b4,1,0.599152,0.276277,[24 17] ; [15  8],[24.984375 16.015625] ; [14.015625  8.984375],0
