Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.0,34.20971,[ 62 254] ; [22 12],[ 75.84 240.16] ; [ 8.16 25.84],1
p12,1,1.2e-05,19.190162,[ 10 313] ; [ 7 29],[ 15.29526462 307.70473538] ; [ 1.70473538 34.29526462],1
r2,1,3.1e-05,17.331726,[314   8] ; [30  6],[309.40782123  12.59217877] ; [34.59217877  1.40782123],1
p3,1,0.000496,12.130326,[144 180] ; [27  9],[153.9 170.1] ; [17.1 18.9],1
v3,1,0.001471,10.114558,[107 207] ; [21 13],[115.49425287 198.50574713] ; [12.50574713 21.49425287],0
p10,1,0.003491,8.531423,[243  79] ; [34  1],[249.84313725  72.15686275] ; [27.15686275  7.84313725],0
p4,1,0.006525,7.39941,[172 152] ; [27  8],[179.59888579 144.40111421] ; [19.40111421 15.59888579],0
s6,1,0.007576,7.130951,[141 179] ; [22 10],[148.18181818 171.81818182] ; [14.81818182 17.18181818],0
p7,1,0.009823,6.666718,[188 134] ; [29  7],[195.17877095 126.82122905] ; [21.82122905 14.17877095],0
p9,1,0.013,6.169082,[257  64] ; [34  1],[262.39044944  58.60955056] ; [28.60955056  6.39044944],0
p8,1,0.016011,5.801653,[159 159] ; [25 10],[165.75637394 152.24362606] ; [18.24362606 16.75637394],0
a1,1,0.018144,5.582164,[ 10 314] ; [ 4 32],[ 12.6 311.4] ; [ 1.4 34.6],0
p1,1,0.021447,5.290131,[ 20 303] ; [ 6 30],[ 23.39275766 299.60724234] ; [ 2.60724234 33.39275766],0
d5,1,0.030545,4.678349,[271  52] ; [25 11],[266.31754875  56.68245125] ; [29.68245125  6.31754875],0
b3,1,0.031987,4.599215,[ 65 126] ; [14 11],[ 69.85648148 121.14351852] ; [ 9.14351852 15.85648148],0
b2,1,0.031987,4.599215,[ 65 126] ; [14 11],[ 69.85648148 121.14351852] ; [ 9.14351852 15.85648148],0
u2,1,0.041328,4.162514,[57 49] ; [8 1],[59.91304348 46.08695652] ; [5.08695652 3.91304348],0
a5,1,0.072856,3.217478,[234  90] ; [31  5],[238.5  85.5] ; [26.5  9.5],0
s8,1,0.074336,3.184588,[ 83 238] ; [14 21],[ 87.46348315 233.53651685] ; [ 9.53651685 25.46348315],0
s7,1,0.085109,2.964533,[ 84 224] ; [13 18],[ 88.12979351 219.87020649] ; [ 8.87020649 22.12979351],0
p11,1,0.130009,2.292398,[253  71] ; [32  4],[256.5  67.5] ; [28.5  7.5],0
v2,1,0.149902,2.07325,[173 143] ; [23 11],[176.96 139.04] ; [19.04 14.96],0
p6,1,0.154473,2.027514,[104 215] ; [16 20],[107.83098592 211.16901408] ; [12.16901408 23.83098592],0
b4,1,0.157299,2.0,[176 148] ; [24 12],[180. 144.] ; [20. 16.],0
n4,1,0.162978,1.946375,[235  89] ; [30  6],[238.5  85.5] ; [26.5  9.5],0
d1,1,0.168197,1.898936,[183 141] ; [16 20],[179.1 144.9] ; [19.9 16.1],0
v1,1,0.179832,1.799011,[164 158] ; [22 13],[167.76470588 154.23529412] ; [18.23529412 16.76470588],0
n6,1,0.193815,1.688379,[270  54] ; [33  3],[272.7  51.3] ; [30.3  5.7],0
r1,1,0.195818,1.673294,[270  53] ; [27  9],[267.21727019  55.78272981] ; [29.78272981  6.21727019],0
d3,1,0.205769,1.60095,[222 101] ; [21 15],[218.63231198 104.36768802] ; [24.36768802 11.63231198],0
n5,1,0.243558,1.359883,[220 102] ; [28  8],[223.06145251  98.93854749] ; [24.93854749 11.06145251],0
a2,1,0.247357,1.338167,[ 72 252] ; [ 5 31],[ 69.3 254.7] ; [ 7.7 28.3],0
a4,1,0.297647,1.084707,[146 177] ; [13 23],[143.05571031 179.94428969] ; [15.94428969 20.05571031],0
b5,1,0.325717,0.965851,[207 117] ; [20 16],[204.3 119.7] ; [22.7 13.3],0
p2,1,0.333918,0.933642,[257  67] ; [31  5],[259.2  64.8] ; [28.8  7.2],0
a3,1,0.340343,0.909137,[217 106] ; [27  9],[219.53203343 103.46796657] ; [24.46796657 11.53203343],0
b1,1,0.397762,0.715082,[112 212] ; [15 21],[114.3 209.7] ; [12.7 23.3],0
n3,1,0.505173,0.444052,[56 20] ; [3 2],[55.35802469 20.64197531] ; [3.64197531 1.35802469],0
d2,1,0.660187,0.193296,[147 176] ; [15 21],[145.75487465 177.24512535] ; [16.24512535 19.75487465],0
n2,1,0.666174,0.18611,[54 24] ; [3 2],[53.56626506 24.43373494] ; [3.43373494 1.56626506],0
r3,1,0.702689,0.14569,[318   6] ; [35  1],[317.7   6.3] ; [35.3  0.7],0
n1,1,0.729424,0.119641,[26 52] ; [1 3],[25.68292683 52.31707317] ; [1.31707317 2.68292683],0
s4,1,0.744086,0.106568,[ 34 286] ; [ 3 31],[ 33.44632768 286.55367232] ; [ 3.55367232 30.44632768],0
u1,1,0.807109,0.059613,[ 49 275] ; [ 6 30],[ 49.5 274.5] ; [ 5.5 30.5],0
a7,1,0.896007,0.017084,[239  84] ; [27  9],[239.32590529  83.67409471] ; [26.67409471  9.32590529],0
a6,1,0.907163,0.0136,[231  93] ; [26 10],[231.3  92.7] ; [25.7 10.3],0
d4,1,0.928473,0.008058,[263  61] ; [29  7],[262.8  61.2] ; [29.2  6.8],0
s2,1,0.937087,0.00623,[ 46 274] ; [ 5 31],[ 45.84269663 274.15730337] ; [ 5.15730337 30.84269663],0
a8,1,0.94864,0.004149,[ 36 252] ; [ 4 27],[ 36.11285266 251.88714734] ; [ 3.88714734 27.11285266],0
u3,1,0.975955,0.000908,[60 47] ; [5 4],[59.95689655 47.04310345] ; [5.04310345 3.95689655],0
v4,1,1.0,0.0,[315   9] ; [35  1],[315.   9.] ; [35.  1.],0
