Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,4e-06,21.172536,[ 2 12] ; [38  9],[9.18032787 4.81967213] ; [30.81967213 16.18032787],1
a1,1,0.000212,13.720646,[5 9] ; [ 1 46],[ 1.37704918 12.62295082] ; [ 4.62295082 42.37704918],1
n2,1,0.000706,11.473578,[2 8] ; [16  3],[6.20689655 3.79310345] ; [11.79310345  7.20689655],1
n3,1,0.001944,9.602017,[4 6] ; [16  1],[7.40740741 2.59259259] ; [12.59259259  4.40740741],0
p2,1,0.001944,9.601505,[ 3 11] ; [32 15],[8.03278689 5.96721311] ; [26.96721311 20.03278689],0
r1,1,0.008082,7.015324,[ 3 11] ; [29 18],[7.3442623 6.6557377] ; [24.6557377 22.3442623],0
n6,1,0.00832,6.963188,[ 4 10] ; [32 15],[8.26229508 5.73770492] ; [27.73770492 19.26229508],0
p11,1,0.010094,6.61822,[ 2 12] ; [25 22],[6.19672131 7.80327869] ; [20.80327869 26.19672131],0
r2,1,0.011894,6.326657,[7 7] ; [39  8],[10.55737705  3.44262295] ; [35.44262295 11.55737705],0
p3,1,0.027136,4.882124,[ 1 13] ; [18 29],[4.36065574 9.63934426] ; [14.63934426 32.36065574],0
p7,1,0.036309,4.382526,[ 3 11] ; [25 22],[6.42622951 7.57377049] ; [21.57377049 25.42622951],0
n5,1,0.053187,3.738028,[12  2] ; [27 20],[8.95081967 5.04918033] ; [30.04918033 16.95081967],0
p4,1,0.070774,3.264988,[ 2 12] ; [19 28],[4.81967213 9.18032787] ; [16.18032787 30.81967213],0
d5,1,0.092963,2.822307,[ 2 12] ; [18 29],[4.59016393 9.40983607] ; [15.40983607 31.59016393],0
p8,1,0.096351,2.764934,[ 1 12] ; [14 32],[3.30508475 9.69491525] ; [11.69491525 34.30508475],0
p1,1,0.097051,2.753343,[ 3 11] ; [ 3 44],[ 1.37704918 12.62295082] ; [ 4.62295082 42.37704918],0
s6,1,0.110338,2.549374,[ 2 12] ; [17 29],[4.43333333 9.56666667] ; [14.56666667 31.43333333],0
u3,1,0.116248,2.467156,[1 8] ; [11 17],[2.91891892 6.08108108] ; [ 9.08108108 18.91891892],0
b3,1,0.140758,2.169655,[4 5] ; [ 6 24],[2.30769231 6.69230769] ; [ 7.69230769 22.30769231],0
b2,1,0.140758,2.169655,[4 5] ; [ 6 24],[2.30769231 6.69230769] ; [ 7.69230769 22.30769231],0
s3,1,0.159984,1.974375,[ 3 11] ; [19 26],[5.22033898 8.77966102] ; [16.77966102 28.22033898],0
p6,1,0.167018,1.90951,[ 1 12] ; [12 35],[ 2.81666667 10.18333333] ; [10.18333333 36.81666667],0
p9,1,0.182808,1.774647,[ 2 12] ; [15 31],[ 3.96666667 10.03333333] ; [13.03333333 32.96666667],0
v1,1,0.196567,1.667702,[ 2 12] ; [15 32],[ 3.90163934 10.09836066] ; [13.09836066 33.90163934],0
d3,1,0.247106,1.33959,[ 2 12] ; [14 33],[ 3.67213115 10.32786885] ; [12.32786885 34.67213115],0
a8,1,0.307009,1.043501,[ 1 13] ; [ 8 35],[ 2.21052632 11.78947368] ; [ 6.78947368 36.21052632],0
b4,1,0.336259,0.924644,[6 8] ; [27 20],[7.57377049 6.42622951] ; [25.42622951 21.57377049],0
a2,1,0.344054,0.895267,[ 2 12] ; [ 3 44],[ 1.14754098 12.85245902] ; [ 3.85245902 43.14754098],0
b5,1,0.352478,0.864517,[7 7] ; [30 17],[8.49180328 5.50819672] ; [28.50819672 18.49180328],0
p12,1,0.354985,0.855559,[ 1 13] ; [ 1 46],[ 0.45901639 13.54098361] ; [ 1.54098361 45.45901639],0
d1,1,0.354985,0.855559,[ 1 13] ; [ 1 46],[ 0.45901639 13.54098361] ; [ 1.54098361 45.45901639],0
v3,1,0.360654,0.835616,[ 2 12] ; [12 34],[ 3.26666667 10.73333333] ; [10.73333333 35.26666667],0
a5,1,0.421787,0.64533,[ 4 10] ; [19 28],[5.27868852 8.72131148] ; [17.72131148 29.27868852],0
s2,1,0.541552,0.372671,[ 2 12] ; [10 36],[ 2.8 11.2] ; [ 9.2 36.8],0
s1,1,0.541552,0.372671,[ 2 12] ; [ 4 42],[ 1.4 12.6] ; [ 4.6 41.4],0
s4,1,0.562088,0.336102,[ 3 11] ; [ 7 40],[ 2.29508197 11.70491803] ; [ 7.70491803 39.29508197],0
n4,1,0.701884,0.146519,[10  4] ; [31 16],[9.40983607 4.59016393] ; [31.59016393 15.40983607],0
a4,1,0.724498,0.124224,[ 4 10] ; [11 35],[ 3.5 10.5] ; [11.5 34.5],0
a6,1,0.725905,0.122905,[7 7] ; [21 26],[6.42622951 7.57377049] ; [21.57377049 25.42622951],0
a7,1,0.751439,0.100326,[5 9] ; [19 28],[5.50819672 8.49180328] ; [18.49180328 28.50819672],0
a3,1,0.853825,0.033944,[5 8] ; [19 27],[5.28813559 7.71186441] ; [18.71186441 27.28813559],0
n1,1,0.867695,0.027751,[4 6] ; [ 7 12],[3.79310345 6.20689655] ; [ 7.20689655 11.79310345],0
d2,1,0.930232,0.007666,[ 4 10] ; [14 33],[4.13114754 9.86885246] ; [13.86885246 33.13114754],0
b1,1,0.944282,0.004884,[7 7] ; [24 23],[7.1147541 6.8852459] ; [23.8852459 23.1147541],0
s7,1,0.951065,0.003766,[ 2 12] ; [ 6 38],[ 1.93103448 12.06896552] ; [ 6.06896552 37.93103448],0
