Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,30.105436,[76 17] ; [20 34],[60.73469388 32.26530612] ; [35.26530612 18.73469388],1
s7,1,0.000931,10.960746,[25 62] ; [ 3 50],[17.4 69.6] ; [10.6 42.4],1
n6,1,0.00807,7.01796,[71 21] ; [31 24],[63.83673469 28.16326531] ; [38.16326531 16.83673469],0
n1,1,0.023614,5.122727,[12 12] ; [ 4 18],[ 8.34782609 15.65217391] ; [ 7.65217391 14.34782609],0
a5,1,0.040961,4.177646,[46 46] ; [18 37],[40.05442177 51.94557823] ; [23.94557823 31.05442177],0
p1,1,0.041954,4.137049,[13 79] ; [ 2 53],[ 9.3877551 82.6122449] ; [ 5.6122449 49.3877551],0
a6,1,0.042346,4.121307,[56 36] ; [24 31],[50.06802721 41.93197279] ; [29.93197279 25.06802721],0
r2,1,0.052502,3.759698,[81 12] ; [41 14],[76.66216216 16.33783784] ; [45.33783784  9.66216216],0
p10,1,0.056638,3.633192,[58 31] ; [27 28],[52.53472222 36.46527778] ; [32.46527778 22.53472222],0
b3,1,0.065631,3.389045,[21 37] ; [ 4 21],[17.46987952 40.53012048] ; [ 7.53012048 17.46987952],0
b2,1,0.065631,3.389045,[21 37] ; [ 4 21],[17.46987952 40.53012048] ; [ 7.53012048 17.46987952],0
v3,1,0.068865,3.309874,[31 60] ; [11 44],[26.17808219 64.82191781] ; [15.82191781 39.17808219],0
p3,1,0.073657,3.199583,[33 59] ; [12 43],[28.16326531 63.83673469] ; [16.83673469 38.16326531],0
r1,1,0.092184,2.835821,[62 31] ; [29 26],[57.18243243 35.81756757] ; [33.81756757 21.18243243],0
s6,1,0.102661,2.663706,[44 47] ; [19 36],[39.26712329 51.73287671] ; [23.73287671 31.26712329],0
a2,1,0.137765,2.202743,[ 7 86] ; [ 1 54],[ 5.02702703 87.97297297] ; [ 2.97297297 52.02702703],0
a7,1,0.140048,2.177435,[55 37] ; [26 29],[50.69387755 41.30612245] ; [30.30612245 24.69387755],0
s3,1,0.142969,2.145709,[43 45] ; [20 35],[38.76923077 49.23076923] ; [24.23076923 30.76923077],0
p8,1,0.144159,2.132997,[38 53] ; [16 38],[33.88965517 57.11034483] ; [20.11034483 33.88965517],0
p7,1,0.169176,1.890231,[39 52] ; [29 24],[42.97222222 48.02777778] ; [25.02777778 27.97222222],0
r4,1,0.174504,1.843816,[69 24] ; [35 20],[65.35135135 27.64864865] ; [38.64864865 16.35135135],0
v2,1,0.183433,1.769585,[35 54] ; [15 38],[31.33802817 57.66197183] ; [18.66197183 34.33802817],0
p4,1,0.190698,1.712213,[35 56] ; [15 39],[31.37931034 59.62068966] ; [18.62068966 35.37931034],0
s2,1,0.204761,1.608088,[32 58] ; [14 41],[28.55172414 61.44827586] ; [17.44827586 37.55172414],0
d4,1,0.232182,1.427443,[40 52] ; [29 25],[43.47945205 48.52054795] ; [25.52054795 28.47945205],0
p6,1,0.245651,1.347867,[25 66] ; [10 43],[22.11805556 68.88194444] ; [12.88194444 40.11805556],0
v4,1,0.272159,1.205832,[79 14] ; [42 12],[76.55102041 16.44897959] ; [44.44897959  9.55102041],0
a4,1,0.314758,1.010606,[21 69] ; [ 9 46],[18.62068966 71.37931034] ; [11.37931034 43.62068966],0
p5,1,0.369312,0.805979,[ 9 83] ; [ 3 51],[ 7.56164384 84.43835616] ; [ 4.43835616 49.56164384],0
s4,1,0.437702,0.602299,[14 79] ; [11 44],[15.70945946 77.29054054] ; [ 9.29054054 45.70945946],0
p11,1,0.463686,0.536982,[63 30] ; [34 21],[60.9527027 32.0472973] ; [36.0472973 18.9527027],0
a8,1,0.537858,0.379523,[ 9 75] ; [ 4 49],[ 7.97080292 76.02919708] ; [ 5.02919708 47.97080292],0
a3,1,0.545467,0.365501,[43 47] ; [23 31],[41.25 48.75] ; [24.75 29.25],0
