Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,40.021656,[ 1 28] ; [76 34],[16.0647482 12.9352518] ; [60.9352518 49.0647482],1
d3,1,1e-06,24.947947,[ 8 19] ; [87 23],[18.72262774  8.27737226] ; [76.27737226 33.72262774],1
d5,1,2.5e-05,17.780334,[14 14] ; [95 15],[22.11594203  5.88405797] ; [86.88405797 23.11594203],1
d2,1,0.000233,13.543441,[ 6 23] ; [65 45],[14.81294964 14.18705036] ; [56.18705036 53.81294964],1
r1,1,0.000343,12.81877,[13 15] ; [88 22],[20.49275362  7.50724638] ; [80.50724638 29.49275362],1
a4,1,0.001736,9.809622,[ 6 22] ; [60 50],[13.39130435 14.60869565] ; [52.60869565 57.39130435],0
v4,1,0.009358,6.753232,[23  6] ; [104   6],[26.49640288  2.50359712] ; [100.50359712   9.49640288],0
a3,1,0.018901,5.510637,[14 14] ; [79 29],[19.14705882  8.85294118] ; [73.85294118 34.14705882],0
b1,1,0.022881,5.17753,[19 10] ; [46 64],[13.56115108 15.43884892] ; [51.43884892 58.56115108],0
p3,1,0.034641,4.462808,[ 7 22] ; [50 59],[11.97826087 17.02173913] ; [45.02173913 63.97826087],0
a5,1,0.068849,3.310248,[16 13] ; [80 30],[20.02877698  8.97122302] ; [75.97122302 34.02877698],0
b5,1,0.068849,3.310248,[16 13] ; [80 30],[20.02877698  8.97122302] ; [75.97122302 34.02877698],0
v2,1,0.087792,2.914393,[10 19] ; [55 50],[14.06716418 14.93283582] ; [50.93283582 54.06716418],0
r4,1,0.098348,2.732132,[21  8] ; [94 16],[23.99280576  5.00719424] ; [91.00719424 18.99280576],0
u2,1,0.111699,2.530013,[ 4 11] ; [15 14],[6.47727273 8.52272727] ; [12.52272727 16.47727273],0
a2,1,0.112267,2.522018,[ 4 25] ; [31 79],[ 7.30215827 21.69784173] ; [27.69784173 82.30215827],0
b4,1,0.142249,2.153458,[13 16] ; [66 44],[16.48201439 12.51798561] ; [62.51798561 47.48201439],0
p1,1,0.154389,2.028344,[ 5 24] ; [  9 100],[ 2.94202899 26.05797101] ; [11.05797101 97.94202899],0
a6,1,0.174042,1.847778,[15 14] ; [72 38],[18.15107914 10.84892086] ; [68.84892086 41.15107914],0
s5,1,0.179931,1.798191,[ 8 20] ; [43 58],[11.06976744 16.93023256] ; [39.93023256 61.06976744],0
n1,1,0.235605,1.406699,[3 8] ; [18 20],[4.71428571 6.28571429] ; [16.28571429 21.71428571],0
p6,1,0.23948,1.383655,[ 8 21] ; [43 66],[10.7173913 18.2826087] ; [40.2826087 68.7173913],0
u3,1,0.241126,1.373999,[6 9] ; [17 12],[7.84090909 7.15909091] ; [15.15909091 13.84090909],0
n4,1,0.243701,1.359054,[16 12] ; [75 34],[18.59854015  9.40145985] ; [72.40145985 36.59854015],0
a8,1,0.244312,1.35554,[ 5 20] ; [11 87],[ 3.25203252 21.74796748] ; [12.74796748 85.25203252],0
s6,1,0.254791,1.296841,[16 11] ; [77 32],[18.46323529  8.53676471] ; [74.53676471 34.46323529],0
p5,1,0.259143,1.273331,[ 1 28] ; [11 98],[ 2.52173913 26.47826087] ; [ 9.47826087 99.52173913],0
n5,1,0.281316,1.160723,[21  7] ; [70 39],[18.59854015  9.40145985] ; [72.40145985 36.59854015],0
r3,1,0.36411,0.823669,[24  5] ; [97 12],[25.42753623  3.57246377] ; [95.57246377 13.42753623],0
a7,1,0.475663,0.508791,[19  9] ; [82 28],[20.49275362  7.50724638] ; [80.50724638 29.49275362],0
s4,1,0.522942,0.408087,[ 5 24] ; [25 85],[ 6.25899281 22.74100719] ; [23.74100719 86.25899281],0
b2,1,0.552173,0.353439,[ 3 10] ; [17 37],[3.88059701 9.11940299] ; [16.11940299 37.88059701],0
b3,1,0.552173,0.353439,[ 3 10] ; [17 37],[3.88059701 9.11940299] ; [16.11940299 37.88059701],0
u4,1,0.591002,0.288782,[ 1 28] ; [  2 108],[ 0.62589928 28.37410072] ; [  2.37410072 107.62589928],0
p7,1,0.603254,0.270116,[14 15] ; [58 50],[15.24087591 13.75912409] ; [56.75912409 51.24087591],0
a1,1,0.606528,0.265262,[ 2 27] ; [  5 105],[ 1.46043165 27.53956835] ; [  5.53956835 104.46043165],0
s8,1,0.694505,0.154251,[12 17] ; [50 60],[12.9352518 16.0647482] ; [49.0647482 60.9352518],0
p8,1,0.699065,0.149447,[ 9 20] ; [38 71],[ 9.87681159 19.12318841] ; [37.12318841 71.87681159],0
v1,1,0.700432,0.148023,[15 14] ; [52 57],[14.07971014 14.92028986] ; [52.92028986 56.07971014],0
s2,1,0.703437,0.144921,[16 13] ; [65 45],[16.89928058 12.10071942] ; [64.10071942 45.89928058],0
p10,1,0.718714,0.129728,[21  7] ; [86 24],[21.71014493  6.28985507] ; [85.28985507 24.71014493],0
s1,1,0.741581,0.108742,[ 2 26] ; [  6 103],[ 1.6350365 26.3649635] ; [  6.3649635 102.6350365],0
r2,1,0.784517,0.074768,[27  2] ; [102   6],[27.30656934  1.69343066] ; [101.69343066   6.30656934],0
n6,1,0.824445,0.049209,[22  7] ; [79 28],[21.53676471  7.46323529] ; [79.46323529 27.53676471],0
s3,1,0.880291,0.022681,[16 12] ; [64 45],[16.35036496 11.64963504] ; [63.64963504 45.35036496],0
v3,1,0.882198,0.021958,[10 19] ; [35 71],[ 9.66666667 19.33333333] ; [35.33333333 70.66666667],0
p2,1,0.891563,0.018585,[22  7] ; [84 25],[22.27536232  6.72463768] ; [83.72463768 25.27536232],0
n3,1,0.913231,0.011873,[8 3] ; [29 10],[8.14 2.86] ; [28.86 10.14],0
s7,1,0.944518,0.004843,[15 12] ; [57 47],[14.83969466 12.16030534] ; [57.16030534 46.83969466],0
