Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,84.639808,[ 33 105] ; [212  87],[77.36842105 60.63157895] ; [167.63157895 131.36842105],1
p6,1,0.0,44.604994,[ 27 110] ; [159 136],[58.98611111 78.01388889] ; [127.01388889 167.98611111],1
p8,1,0.0,43.183296,[44 91] ; [198 100],[75.45034642 59.54965358] ; [166.54965358 131.45034642],1
p2,1,0.0,40.901487,[94 44] ; [275  24],[116.52631579  21.47368421] ; [252.47368421  46.52631579],1
s6,1,2e-06,22.435028,[74 63] ; [223  68],[95.06775701 41.93224299] ; [201.93224299  89.06775701],1
p7,1,5e-06,21.011255,[67 65] ; [218  79],[87.69230769 44.30769231] ; [197.30769231  99.69230769],1
v1,1,1.2e-05,19.137284,[58 77] ; [191 101],[78.7236534 56.2763466] ; [170.2763466 121.7236534],1
p9,1,3.6e-05,17.086559,[105  30] ; [274  24],[118.16397229  16.83602771] ; [260.83602771  37.16397229],1
p10,1,4.7e-05,16.556691,[103  35] ; [268  31],[117.15789474  20.84210526] ; [253.84210526  45.15789474],1
p5,1,7.5e-05,15.692983,[  6 132] ; [ 55 242],[ 19.35172414 118.64827586] ; [ 41.64827586 255.35172414],1
r4,1,0.000146,14.428334,[117  22] ; [285  15],[127.28473804  11.71526196] ; [274.71526196  25.28473804],1
s2,1,0.000247,13.434326,[61 78] ; [184 110],[78.64896074 60.35103926] ; [166.35103926 127.64896074],1
p11,1,0.000523,12.030979,[101  38] ; [259  41],[113.98633257  25.01366743] ; [246.01366743  53.98633257],1
s5,1,0.002628,9.049205,[35 98] ; [118 166],[48.79856115 84.20143885] ; [104.20143885 179.79856115],0
v4,1,0.004946,7.89902,[126  13] ; [288   9],[131.98623853   7.01376147] ; [282.01376147  14.98623853],0
n6,1,0.007752,7.089846,[118  21] ; [277  21],[125.64073227  13.35926773] ; [269.35926773  28.64073227],0
s8,1,0.008286,6.97067,[61 78] ; [170 126],[73.8137931 65.1862069] ; [157.1862069 138.8137931],0
n5,1,0.00919,6.785456,[113  25] ; [271  28],[121.26315789  16.73684211] ; [262.73684211  36.26315789],0
s4,1,0.013226,6.138632,[ 12 124] ; [ 53 241],[ 20.55813953 115.44186047] ; [ 44.44186047 249.55813953],0
s7,1,0.015321,5.879178,[65 70] ; [173 112],[76.5 58.5] ; [161.5 123.5],0
r1,1,0.02966,4.728898,[111  27] ; [263  35],[118.37614679  19.62385321] ; [255.62385321  42.37614679],0
u3,1,0.030603,4.675079,[11 15] ; [34 16],[15.39473684 10.60526316] ; [29.60526316 20.39473684],0
u1,1,0.033549,4.517539,[ 32 107] ; [ 99 201],[41.47835991 97.52164009] ; [ 89.52164009 210.47835991],0
r3,1,0.037077,4.346882,[127  11] ; [287  10],[131.33793103   6.66206897] ; [282.66206897  14.33793103],0
s3,1,0.038593,4.278672,[72 66] ; [183 109],[81.8372093 56.1627907] ; [173.1627907 118.8372093],0
p12,1,0.047093,3.942047,[  8 129] ; [ 36 264],[ 13.79405034 123.20594966] ; [ 30.20594966 269.79405034],0
a7,1,0.067877,3.333637,[97 41] ; [235  65],[104.60273973  33.39726027] ; [227.39726027  72.60273973],0
d3,1,0.094528,2.795514,[116  22] ; [269  31],[121.30136986  16.69863014] ; [263.69863014  36.30136986],0
b5,1,0.230554,1.437443,[89 50] ; [174 126],[83.27334852 55.72665148] ; [179.72665148 120.27334852],0
u2,1,0.266886,1.232681,[13 13] ; [31 18],[15.25333333 10.74666667] ; [28.74666667 20.25333333],0
a5,1,0.270639,1.213504,[117  22] ; [264  36],[120.63553531  18.36446469] ; [260.36446469  39.63553531],0
v3,1,0.275288,1.190208,[57 77] ; [137 147],[62.19138756 71.80861244] ; [131.80861244 152.19138756],0
a8,1,0.301688,1.066716,[ 23 101] ; [ 38 225],[ 19.54521964 104.45478036] ; [ 41.45478036 221.54521964],0
p1,1,0.316511,1.003311,[ 11 128] ; [ 33 267],[ 13.93166287 125.06833713] ; [ 30.06833713 269.93166287],0
u4,1,0.458433,0.549717,[  4 135] ; [ 13 286],[  5.39497717 133.60502283] ; [ 11.60502283 287.39497717],0
v2,1,0.516953,0.419969,[80 55] ; [182 109],[83.02816901 51.97183099] ; [178.97183099 112.02816901],0
