Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1.5e-05,18.767684,[  9 156] ; [4 5],[ 12.32758621 152.67241379] ; [0.67241379 8.32758621],1
p4,1,0.016679,5.729802,[ 55 109] ; [6 2],[ 58.1627907 105.8372093] ; [2.8372093 5.1627907],0
s6,1,0.026319,4.934945,[83 80] ; [8 1],[86.23837209 76.76162791] ; [4.76162791 4.23837209],0
p12,1,0.026874,4.898863,[  2 162] ; [1 8],[  2.84393064 161.15606936] ; [0.15606936 8.84393064],0
s8,1,0.041932,4.137945,[ 41 124] ; [5 4],[ 43.62068966 121.37931034] ; [2.37931034 6.62068966],0
n5,1,0.043456,4.077569,[89 74] ; [8 1],[91.9244186 71.0755814] ; [5.0755814 3.9244186],0
s3,1,0.053388,3.731739,[73 90] ; [7 2],[75.81395349 87.18604651] ; [4.18604651 4.81395349],0
p3,1,0.05387,3.716715,[ 43 122] ; [5 4],[ 45.51724138 119.48275862] ; [2.48275862 6.51724138],0
s2,1,0.081551,3.03372,[ 62 103] ; [6 3],[ 64.48275862 100.51724138] ; [3.51724138 5.48275862],0
n6,1,0.081828,3.028211,[97 65] ; [8 1],[99.47368421 62.52631579] ; [5.52631579 3.47368421],0
s5,1,0.081846,3.027858,[ 37 124] ; [4 4],[ 39.0591716 121.9408284] ; [1.9408284 6.0591716],0
a3,1,0.082666,3.011696,[101  61] ; [3 6],[98.52631579 63.47368421] ; [5.47368421 3.52631579],0
v2,1,0.112609,2.51722,[58 98] ; [1 8],[ 55.78181818 100.21818182] ; [3.21818182 5.78181818],0
s7,1,0.11302,2.511476,[ 46 106] ; [5 4],[ 48.14906832 103.85093168] ; [2.85093168 6.14906832],0
p9,1,0.117132,2.455263,[80 77] ; [7 2],[82.28313253 74.71686747] ; [4.71686747 4.28313253],0
p8,1,0.14376,2.137243,[ 38 127] ; [4 5],[ 39.82758621 125.17241379] ; [2.17241379 6.82758621],0
r4,1,0.146426,2.109091,[108  57] ; [8 1],[110.  55.] ; [6. 3.],0
a8,1,0.146793,2.105263,[ 14 138] ; [2 6],[ 15.2 136.8] ; [0.8 7.2],0
a6,1,0.193902,1.68772,[91 73] ; [3 6],[89.10982659 74.89017341] ; [4.89017341 4.10982659],0
d3,1,0.238501,1.389429,[95 69] ; [7 2],[96.69364162 67.30635838] ; [5.30635838 3.69364162],0
v1,1,0.258855,1.274872,[ 60 103] ; [5 4],[ 61.59883721 101.40116279] ; [3.40116279 5.59883721],0
b5,1,0.272257,1.20534,[98 67] ; [7 2],[99.56896552 65.43103448] ; [5.43103448 3.56896552],0
p10,1,0.297833,1.083871,[70 90] ; [5 3],[71.42857143 88.57142857] ; [3.57142857 4.42857143],0
v3,1,0.319344,0.991633,[ 45 111] ; [4 5],[ 46.32727273 109.67272727] ; [2.67272727 6.32727273],0
a5,1,0.375217,0.786314,[98 67] ; [4 5],[96.72413793 68.27586207] ; [5.27586207 3.72413793],0
b1,1,0.375507,0.785359,[85 80] ; [6 3],[86.29310345 78.70689655] ; [4.70689655 4.29310345],0
p7,1,0.432924,0.614966,[ 57 106] ; [2 7],[ 55.9127907 107.0872093] ; [3.0872093 5.9127907],0
p2,1,0.476443,0.506993,[90 75] ; [6 3],[91.03448276 73.96551724] ; [4.96551724 4.03448276],0
b3,1,0.480467,0.497803,[26 60] ; [1 5],[25.23913043 60.76086957] ; [1.76086957 4.23913043],0
b2,1,0.480467,0.497803,[26 60] ; [1 5],[25.23913043 60.76086957] ; [1.76086957 4.23913043],0
u2,1,0.500694,0.453466,[22 39] ; [3 3],[22.76119403 38.23880597] ; [2.23880597 3.76119403],0
s4,1,0.53708,0.380978,[ 32 133] ; [1 8],[ 31.29310345 133.70689655] ; [1.70689655 7.29310345],0
s1,1,0.556698,0.345455,[ 10 152] ; [1 8],[ 10.42105263 151.57894737] ; [0.57894737 8.42105263],0
a2,1,0.562662,0.335115,[ 31 134] ; [1 8],[ 30.34482759 134.65517241] ; [1.65517241 7.34482759],0
n2,1,0.637593,0.221904,[45 26] ; [3 1],[45.44 25.56] ; [2.56 1.44],0
d5,1,0.669316,0.182404,[120  44] ; [6 3],[119.44508671  44.55491329] ; [6.55491329 2.44508671],0
a4,1,0.776945,0.08026,[ 62 101] ; [3 6],[ 61.59883721 101.40116279] ; [3.40116279 5.59883721],0
d4,1,0.782323,0.076338,[120  43] ; [7 2],[120.35465116  42.64534884] ; [6.64534884 2.35465116],0
r2,1,0.790105,0.070849,[138  23] ; [8 1],[138.27058824  22.72941176] ; [7.72941176 1.27058824],0
n3,1,0.818022,0.052941,[38 30] ; [2 2],[37.77777778 30.22222222] ; [2.22222222 1.77777778],0
u3,1,0.820242,0.051635,[28 34] ; [3 3],[28.26470588 33.73529412] ; [2.73529412 3.26470588],0
d2,1,0.871767,0.026055,[68 95] ; [4 5],[68.23255814 94.76744186] ; [3.76744186 5.23255814],0
r3,1,0.882582,0.021814,[124  40] ; [7 2],[124.1849711  39.8150289] ; [6.8150289 2.1849711],0
a7,1,0.90111,0.01544,[106  58] ; [6 3],[106.1734104  57.8265896] ; [5.8265896 3.1734104],0
u1,1,0.938213,0.006009,[ 17 148] ; [1 8],[ 17.06896552 147.93103448] ; [0.93103448 8.06896552],0
r1,1,0.939552,0.005751,[106  56] ; [6 3],[106.10526316  55.89473684] ; [5.89473684 3.10526316],0
b4,1,0.981064,0.000563,[91 74] ; [5 4],[91.03448276 73.96551724] ; [4.96551724 4.03448276],0
d1,1,0.990519,0.000141,[73 92] ; [4 5],[73.01724138 91.98275862] ; [3.98275862 5.01724138],0
