Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,133.762522,[ 57 166] ; [328 125],[127.00443787  95.99556213] ; [257.99556213 195.00443787],1
p6,1,0.0,69.909506,[ 35 188] ; [221 231],[ 84.57481481 138.42518519] ; [171.42518519 280.57481481],1
p4,1,0.0,49.451502,[ 99 125] ; [328 128],[140.65882353  83.34117647] ; [286.34117647 169.65882353],1
p3,1,0.0,46.305627,[ 76 147] ; [282 174],[117.57584683 105.42415317] ; [240.42415317 215.57584683],1
p2,1,0.0,40.548973,[167  57] ; [421  35],[193.69411765  30.30588235] ; [394.30588235  61.69411765],1
s7,1,1e-06,23.222539,[ 76 141] ; [242 198],[105.03196347 111.96803653] ; [212.96803653 227.03196347],1
s5,1,8.2e-05,15.520976,[ 48 163] ; [171 276],[ 70.22644377 140.77355623] ; [148.77355623 298.22644377],1
s8,1,0.000127,14.679578,[ 77 146] ; [228 227],[100.31710914 122.68289086] ; [204.68289086 250.31710914],1
p5,1,0.000428,12.406402,[ 13 208] ; [ 70 386],[ 27.09453471 193.90546529] ; [ 55.90546529 400.09453471],1
p10,1,0.000704,11.477789,[179  45] ; [406  48],[193.27433628  30.72566372] ; [391.72566372  62.27433628],1
v2,1,0.00588,7.586843,[105 105] ; [272 171],[121.24042879  88.75957121] ; [255.75957121 187.24042879],0
r1,1,0.006499,7.406517,[168  55] ; [384  73],[181.02352941  41.97647059] ; [370.97647059  86.02352941],0
d3,1,0.007331,7.189955,[138  86] ; [328 129],[153.2804699  70.7195301] ; [312.7195301 144.2804699],0
v3,1,0.008025,7.027784,[ 71 141] ; [197 247],[ 86.6097561 125.3902439] ; [181.3902439 262.6097561],0
b5,1,0.008145,7.00137,[148  76] ; [254 204],[132.03519062  91.96480938] ; [269.96480938 188.03519062],0
d5,1,0.010382,6.568179,[167  57] ; [378  78],[179.52941176  44.47058824] ; [365.47058824  90.52941176],0
v1,1,0.011291,6.418881,[104 110] ; [264 183],[119.14069592  94.85930408] ; [248.85930408 198.14069592],0
r4,1,0.017728,5.622831,[202  22] ; [435  23],[209.21994135  14.78005865] ; [427.78005865  30.21994135],0
s3,1,0.018322,5.565058,[107 113] ; [264 189],[121.27786033  98.72213967] ; [249.72213967 203.27786033],0
d1,1,0.026763,4.906054,[118 106] ; [282 176],[131.37829912  92.62170088] ; [268.62170088 189.37829912],0
s2,1,0.028299,4.809752,[ 96 123] ; [241 215],[109.33777778 109.66222222] ; [227.66222222 228.33777778],0
s6,1,0.038503,4.282674,[135  86] ; [311 139],[146.89418778  74.10581222] ; [299.10581222 150.89418778],0
p9,1,0.041117,4.171177,[189  34] ; [410  45],[197.01622419  25.98377581] ; [401.98377581  53.01622419],0
a3,1,0.043204,4.087409,[149  75] ; [338 119],[160.18795888  63.81204112] ; [326.81204112 130.18795888],0
b1,1,0.049415,3.861206,[ 67 157] ; [172 286],[ 78.49853372 145.50146628] ; [160.50146628 297.49853372],0
d4,1,0.080074,3.063398,[174  49] ; [381  75],[182.27540501  40.72459499] ; [372.72459499  83.27540501],0
u3,1,0.084266,2.980639,[50 25] ; [65 55],[44.23076923 30.76923077] ; [70.76923077 49.23076923],0
a8,1,0.086575,2.936928,[ 22 184] ; [ 66 353],[ 29.0048 176.9952] ; [ 58.9952 360.0048],0
b4,1,0.088178,2.907331,[142  82] ; [259 199],[131.70674487  92.29325513] ; [269.29325513 188.70674487],0
a2,1,0.094277,2.799786,[ 42 182] ; [112 346],[ 50.58064516 173.41935484] ; [103.41935484 354.58064516],0
n5,1,0.108391,2.577532,[164  59] ; [362  96],[172.24375918  50.75624082] ; [353.75624082 104.24375918],0
a1,1,0.118499,2.437054,[  7 217] ; [ 27 431],[ 11.16715543 212.83284457] ; [ 22.83284457 435.16715543],0
u1,1,0.24041,1.378191,[ 33 191] ; [ 84 374],[ 38.42815249 185.57184751] ; [ 78.57184751 379.42815249],0
p1,1,0.286055,1.138097,[ 16 207] ; [ 44 412],[ 19.70544919 203.29455081] ; [ 40.29455081 415.70544919],0
n4,1,0.342789,0.899973,[174  50] ; [370  88],[178.6744868  45.3255132] ; [365.3255132  92.6744868],0
n1,1,0.357825,0.845512,[23 35] ; [26 55],[20.44604317 37.55395683] ; [28.55395683 52.44604317],0
s4,1,0.390828,0.736364,[ 31 190] ; [ 75 377],[ 34.80832095 186.19167905] ; [ 71.19167905 380.80832095],0
a6,1,0.460771,0.544021,[159  65] ; [311 145],[154.82352941  69.17647059] ; [315.17647059 140.82352941],0
n6,1,0.464102,0.535984,[192  32] ; [400  56],[195.01176471  28.98823529] ; [396.98823529  59.01176471],0
r3,1,0.482888,0.492333,[215   8] ; [446  12],[216.45080764   6.54919236] ; [444.54919236  13.45080764],0
s1,1,0.576323,0.312217,[  7 214] ; [ 11 442],[  5.90207715 215.09792285] ; [ 12.09792285 440.90207715],0
a7,1,0.667541,0.184492,[158  65] ; [331 126],[160.36323529  62.63676471] ; [328.63676471 128.36323529],0
n3,1,0.713973,0.134341,[43 16] ; [62 20],[43.93617021 15.06382979] ; [61.06382979 20.93617021],0
u2,1,0.728448,0.120542,[46 29] ; [70 49],[44.84536082 30.15463918] ; [71.15463918 47.84536082],0
d2,1,0.785853,0.073821,[102 119] ; [216 241],[103.65486726 117.34513274] ; [214.34513274 242.65486726],0
u4,1,0.817306,0.053366,[  5 219] ; [  9 449],[  4.59824047 219.40175953] ; [  9.40175953 448.59824047],0
a5,1,0.824005,0.04946,[165  59] ; [341 117],[166.19354839  57.80645161] ; [339.80645161 118.19354839],0
b2,1,0.886567,0.020349,[50 78] ; [119 180],[50.66042155 77.33957845] ; [118.33957845 180.66042155],0
b3,1,0.886567,0.020349,[50 78] ; [119 180],[50.66042155 77.33957845] ; [118.33957845 180.66042155],0
r2,1,0.920001,0.010087,[214  10] ; [432  21],[213.74298375  10.25701625] ; [432.25701625  20.74298375],0
a4,1,0.935263,0.006597,[ 98 126] ; [201 255],[ 98.49411765 125.50588235] ; [200.50588235 255.49411765],0
n2,1,0.948227,0.004216,[45 13] ; [64 18],[45.15714286 12.84285714] ; [63.84285714 18.15714286],0
