Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4.9e-05,16.499401,[20  9] ; [24 65],[10.81355932 18.18644068] ; [33.18644068 55.81355932],1
s6,1,0.000278,13.212708,[23  6] ; [36 53],[14.5 14.5] ; [44.5 44.5],1
s8,1,0.010092,6.618618,[12 17] ; [16 73],[ 6.88135593 22.11864407] ; [21.11864407 67.88135593],0
p5,1,0.017945,5.601476,[ 3 26] ; [ 1 87],[ 0.99145299 28.00854701] ; [ 3.00854701 84.99145299],0
p10,1,0.024337,5.070473,[20  9] ; [39 48],[14.75 14.25] ; [44.25 42.75],0
d4,1,0.02566,4.978768,[28  1] ; [70 19],[24.08474576  4.91525424] ; [73.91525424 15.08474576],0
n4,1,0.042416,4.118526,[ 6 23] ; [37 52],[10.56779661 18.43220339] ; [32.43220339 56.56779661],0
p9,1,0.044592,4.033994,[21  7] ; [46 40],[16.45614035 11.54385965] ; [50.54385965 35.45614035],0
s7,1,0.045588,3.996768,[12 16] ; [19 63],[ 7.89090909 20.10909091] ; [23.10909091 58.89090909],0
s4,1,0.048527,3.891632,[ 9 20] ; [13 76],[ 5.40677966 23.59322034] ; [16.59322034 72.40677966],0
s3,1,0.057422,3.610313,[16 13] ; [31 57],[11.64957265 17.35042735] ; [35.35042735 52.64957265],0
p12,1,0.088757,2.896768,[ 2 27] ; [ 1 87],[ 0.74358974 28.25641026] ; [ 2.25641026 85.74358974],0
v1,1,0.136145,2.220997,[15 14] ; [31 55],[11.6 17.4] ; [34.4 51.6],0
p4,1,0.168609,1.895265,[11 18] ; [22 67],[ 8.11016949 20.88983051] ; [24.88983051 64.11016949],0
a6,1,0.199365,1.647023,[14 15] ; [55 34],[16.95762712 12.04237288] ; [52.04237288 36.95762712],0
n1,1,0.262193,1.257143,[5 6] ; [ 9 24],[3.5 7.5] ; [10.5 22.5],0
r1,1,0.262921,1.253311,[17 11] ; [64 25],[19.38461538  8.61538462] ; [61.61538462 27.38461538],0
r2,1,0.263437,1.250605,[27  2] ; [74 13],[25.25  3.75] ; [75.75 11.25],0
u2,1,0.270063,1.216427,[8 3] ; [20 17],[6.41666667 4.58333333] ; [21.58333333 15.41666667],0
b5,1,0.274089,1.196166,[19 10] ; [48 41],[16.46610169 12.53389831] ; [50.53389831 38.46610169],0
d2,1,0.279876,1.167691,[13 16] ; [30 59],[10.56779661 18.43220339] ; [32.43220339 56.56779661],0
d1,1,0.285026,1.142968,[17 12] ; [42 47],[14.5 14.5] ; [44.5 44.5],0
u3,1,0.299358,1.077054,[8 3] ; [21 17],[6.51020408 4.48979592] ; [22.48979592 15.51020408],0
p1,1,0.322679,0.978056,[ 1 28] ; [ 8 80],[ 2.23076923 26.76923077] ; [ 6.76923077 81.23076923],0
b2,1,0.324811,0.969476,[7 8] ; [15 31],[5.40983607 9.59016393] ; [16.59016393 29.40983607],0
b3,1,0.324811,0.969476,[7 8] ; [15 31],[5.40983607 9.59016393] ; [16.59016393 29.40983607],0
u1,1,0.340304,0.909286,[ 4 25] ; [ 7 82],[ 2.70338983 26.29661017] ; [ 8.29661017 80.70338983],0
p3,1,0.34617,0.887447,[ 8 21] ; [17 71],[ 6.1965812 22.8034188] ; [18.8034188 69.1965812],0
d5,1,0.372403,0.795631,[25  4] ; [70 19],[23.34745763  5.65254237] ; [71.65254237 17.34745763],0
n6,1,0.383938,0.758055,[18 11] ; [47 42],[15.97457627 13.02542373] ; [49.02542373 39.97457627],0
v4,1,0.38575,0.752298,[26  3] ; [73 15],[24.53846154  4.46153846] ; [74.46153846 13.53846154],0
p8,1,0.412119,0.672678,[ 4 24] ; [19 70],[ 5.5042735 22.4957265] ; [17.4957265 71.5042735],0
b4,1,0.45365,0.561515,[17 12] ; [59 30],[18.6779661 10.3220339] ; [57.3220339 31.6779661],0
p6,1,0.469158,0.523959,[ 4 25] ; [ 8 80],[ 2.97435897 26.02564103] ; [ 9.02564103 78.97435897],0
n3,1,0.482096,0.494118,[5 5] ; [20 12],[5.95238095 4.04761905] ; [19.04761905 12.95238095],0
r3,1,0.501926,0.450861,[27  2] ; [79 10],[26.05084746  2.94915254] ; [79.94915254  9.05084746],0
a7,1,0.596893,0.279707,[22  7] ; [63 26],[20.88983051  8.11016949] ; [64.11016949 24.88983051],0
b1,1,0.628885,0.233575,[ 9 20] ; [32 57],[10.07627119 18.92372881] ; [30.92372881 58.07627119],0
a3,1,0.651051,0.204578,[18 11] ; [51 38],[16.95762712 12.04237288] ; [52.04237288 36.95762712],0
n2,1,0.668374,0.18351,[7 4] ; [18 14],[6.39534884 4.60465116] ; [18.60465116 13.39534884],0
p11,1,0.675261,0.175509,[15 14] ; [50 39],[15.97457627 13.02542373] ; [49.02542373 39.97457627],0
r4,1,0.677599,0.172841,[22  7] ; [64 25],[21.13559322  7.86440678] ; [64.86440678 24.13559322],0
v3,1,0.690685,0.158345,[ 9 20] ; [22 59],[ 8.17272727 20.82727273] ; [22.82727273 58.17272727],0
a4,1,0.762069,0.091667,[11 18] ; [31 58],[10.3220339 18.6779661] ; [31.6779661 57.3220339],0
a2,1,0.770756,0.084906,[ 3 26] ; [11 78],[ 3.44067797 25.55932203] ; [10.55932203 78.44067797],0
v2,1,0.786651,0.073258,[15 14] ; [41 43],[14.37168142 14.62831858] ; [41.62831858 42.37168142],0
d3,1,0.800836,0.063638,[19 10] ; [56 33],[18.43220339 10.56779661] ; [56.56779661 32.43220339],0
s1,1,0.808101,0.058989,[ 1 28] ; [ 4 85],[ 1.22881356 27.77118644] ; [ 3.77118644 85.22881356],0
a8,1,0.808987,0.058435,[ 1 26] ; [ 4 79],[ 1.22727273 25.77272727] ; [ 3.77272727 79.22727273],0
a5,1,0.900779,0.015544,[17 12] ; [51 38],[16.71186441 12.28813559] ; [51.28813559 37.71186441],0
p2,1,0.985331,0.000338,[17 12] ; [52 37],[16.95762712 12.04237288] ; [52.04237288 36.95762712],0
