Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1e-05,19.519588,[ 9 33] ; [28 12],[18.95121951 23.04878049] ; [18.04878049 21.95121951],1
a5,1,3.7e-05,16.994296,[20 22] ; [36  4],[28.68292683 13.31707317] ; [27.31707317 12.68292683],1
d3,1,3.8e-05,16.969251,[21 20] ; [37  3],[29.35802469 11.64197531] ; [28.64197531 11.35802469],1
a2,1,6e-05,16.089579,[ 1 41] ; [15 25],[ 8.19512195 33.80487805] ; [ 7.80487805 32.19512195],1
a3,1,0.000789,11.267013,[24 18] ; [36  4],[30.73170732 11.26829268] ; [29.26829268 10.73170732],1
u1,1,0.001164,10.546548,[ 2 40] ; [13 27],[ 7.68292683 34.31707317] ; [ 7.31707317 32.68292683],0
s8,1,0.003802,8.376202,[10 32] ; [22 18],[16.3902439 25.6097561] ; [15.6097561 24.3902439],0
p4,1,0.003802,8.376202,[10 32] ; [22 18],[16.3902439 25.6097561] ; [15.6097561 24.3902439],0
a4,1,0.015463,5.86292,[13 29] ; [23 17],[18.43902439 23.56097561] ; [17.56097561 22.43902439],0
p6,1,0.01935,5.469625,[ 4 38] ; [12 28],[ 8.19512195 33.80487805] ; [ 7.80487805 32.19512195],0
a6,1,0.036818,4.358812,[21 21] ; [29 11],[25.6097561 16.3902439] ; [24.3902439 15.6097561],0
s6,1,0.061238,3.503531,[28 14] ; [33  6],[31.62962963 10.37037037] ; [29.37037037  9.62962963],0
p3,1,0.07183,3.240689,[10 32] ; [17 23],[13.82926829 28.17073171] ; [13.17073171 26.82926829],0
n5,1,0.079389,3.077375,[27 15] ; [18 22],[23.04878049 18.95121951] ; [21.95121951 18.04878049],0
n1,1,0.080438,3.05602,[ 2 13] ; [ 7 10],[ 4.21875 10.78125] ; [ 4.78125 12.21875],0
p10,1,0.093747,2.808826,[25 17] ; [30  9],[28.51851852 13.48148148] ; [26.48148148 12.51851852],0
s7,1,0.11733,2.452607,[16 25] ; [21 16],[19.44871795 21.55128205] ; [17.55128205 19.44871795],0
r1,1,0.125185,2.351215,[26 16] ; [31  9],[29.19512195 12.80487805] ; [27.80487805 12.19512195],0
v2,1,0.148405,2.088573,[16 25] ; [21 17],[19.20253165 21.79746835] ; [17.79746835 20.20253165],0
s3,1,0.152078,2.051282,[24 16] ; [30 10],[27. 13.] ; [27. 13.],0
n2,1,0.197156,1.663316,[12  3] ; [10  7],[10.3125  4.6875] ; [11.6875  5.3125],0
p9,1,0.234358,1.414214,[29 12] ; [32  7],[31.2625  9.7375] ; [29.7375  9.2625],0
s2,1,0.237122,1.397624,[24 16] ; [29 11],[26.5 13.5] ; [26.5 13.5],0
v3,1,0.245131,1.350844,[ 8 33] ; [12 27],[10.25 30.75] ; [ 9.75 29.25],0
s5,1,0.264474,1.245188,[16 24] ; [19 17],[18.42105263 21.57894737] ; [16.57894737 19.42105263],0
s1,1,0.293236,1.104706,[ 1 40] ; [ 3 37],[ 2.02469136 38.97530864] ; [ 1.97530864 38.02469136],0
p7,1,0.439316,0.598068,[14 27] ; [17 23],[15.69135802 25.30864198] ; [15.30864198 24.69135802],0
b2,1,0.471847,0.517647,[ 4 18] ; [ 6 16],[ 5. 17.] ; [ 5. 17.],0
b3,1,0.471847,0.517647,[ 4 18] ; [ 6 16],[ 5. 17.] ; [ 5. 17.],0
n6,1,0.506621,0.441039,[31 11] ; [32  8],[32.26829268  9.73170732] ; [30.73170732  9.26829268],0
a7,1,0.517363,0.419147,[27 14] ; [29 11],[28.34567901 12.65432099] ; [27.65432099 12.34567901],0
p11,1,0.521766,0.410401,[25 17] ; [21 19],[23.56097561 18.43902439] ; [22.43902439 17.56097561],0
p2,1,0.528926,0.396455,[27 15] ; [23 17],[25.6097561 16.3902439] ; [24.3902439 15.6097561],0
r3,1,0.553306,0.351429,[36  6] ; [36  4],[36.87804878  5.12195122] ; [35.12195122  4.87804878],0
a1,1,0.585525,0.297388,[ 2 40] ; [ 1 39],[ 1.53658537 40.46341463] ; [ 1.46341463 38.53658537],0
v1,1,0.609225,0.261305,[17 25] ; [14 26],[15.87804878 26.12195122] ; [15.12195122 24.87804878],0
b4,1,0.620974,0.2445,[24 18] ; [25 15],[25.09756098 16.90243902] ; [23.90243902 16.09756098],0
r4,1,0.626327,0.237075,[34  8] ; [34  6],[34.82926829  7.17073171] ; [33.17073171  6.82926829],0
p1,1,0.643492,0.214204,[ 3 39] ; [ 4 36],[ 3.58536585 38.41463415] ; [ 3.41463415 36.58536585],0
b1,1,0.696647,0.151983,[13 29] ; [14 26],[13.82926829 28.17073171] ; [13.17073171 26.82926829],0
v4,1,0.717882,0.130531,[37  4] ; [37  3],[37.45679012  3.54320988] ; [36.54320988  3.45679012],0
b5,1,0.74576,0.105128,[28 14] ; [28 12],[28.68292683 13.31707317] ; [27.31707317 12.68292683],0
u2,1,0.840039,0.040741,[ 8 10] ; [2 2],[8.18181818 9.81818182] ; [1.81818182 2.18181818],0
n3,1,0.86316,0.029705,[11  4] ; [12  5],[10.78125  4.21875] ; [12.21875  4.78125],0
n4,1,0.973927,0.001068,[24 18] ; [23 17],[24.07317073 17.92682927] ; [22.92682927 17.07317073],0
