Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.027683,4.847695,[ 5 10] ; [70 41],[8.92857143 6.07142857] ; [66.07142857 44.92857143],0
v2,1,0.046015,3.981049,[ 2 13] ; [43 65],[5.48780488 9.51219512] ; [39.51219512 68.48780488],0
n4,1,0.056228,3.645291,[6 9] ; [72 38],[9.36 5.64] ; [68.64 41.36],0
r1,1,0.084555,2.975104,[7 8] ; [76 34],[9.96 5.04] ; [73.04 36.96],0
s6,1,0.086084,2.946128,[7 8] ; [28 82],[ 4.2 10.8] ; [30.8 79.2],0
p2,1,0.149545,2.076885,[10  5] ; [52 59],[7.38095238 7.61904762] ; [54.61904762 56.38095238],0
r3,1,0.152436,2.047706,[9 6] ; [84 25],[11.25  3.75] ; [81.75 27.25],0
a4,1,0.161661,1.958617,[ 3 12] ; [42 67],[5.44354839 9.55645161] ; [39.55645161 69.44354839],0
p11,1,0.177013,1.822523,[ 4 11] ; [50 61],[6.42857143 8.57142857] ; [47.57142857 63.42857143],0
a5,1,0.19644,1.668649,[6 9] ; [64 47],[8.33333333 6.66666667] ; [61.66666667 49.33333333],0
d1,1,0.198101,1.656317,[ 4 11] ; [49 62],[6.30952381 8.69047619] ; [46.69047619 64.30952381],0
d4,1,0.202926,1.621191,[8 7] ; [76 33],[10.16129032  4.83870968] ; [73.83870968 35.16129032],0
b1,1,0.221017,1.497755,[6 9] ; [63 48],[8.21428571 6.78571429] ; [60.78571429 50.21428571],0
u3,1,0.278076,1.176471,[6 3] ; [24 27],[4.5 4.5] ; [25.5 25.5],0
a3,1,0.289788,1.120605,[6 9] ; [60 50],[7.92 7.08] ; [58.08 51.92],0
p3,1,0.366922,0.814062,[ 5 10] ; [25 85],[ 3.6 11.4] ; [26.4 83.6],0
r4,1,0.383932,0.758073,[8 7] ; [72 39],[9.52380952 5.47619048] ; [70.47619048 40.52380952],0
a7,1,0.455557,0.556789,[8 7] ; [69 40],[9.31451613 5.68548387] ; [67.68548387 41.31451613],0
b3,1,0.518454,0.416968,[2 7] ; [23 47],[2.84810127 6.15189873] ; [22.15189873 47.84810127],0
b2,1,0.518454,0.416968,[2 7] ; [23 47],[2.84810127 6.15189873] ; [22.15189873 47.84810127],0
d2,1,0.53064,0.393167,[6 9] ; [53 56],[7.13709677 7.86290323] ; [51.86290323 57.13709677],0
n2,1,0.530703,0.393046,[3 4] ; [25 20],[3.76923077 3.23076923] ; [24.23076923 20.76923077],0
n1,1,0.534594,0.385651,[2 5] ; [18 26],[2.74509804 4.25490196] ; [17.25490196 26.74509804],0
p7,1,0.545716,0.365048,[7 8] ; [42 67],[5.92741935 9.07258065] ; [43.07258065 65.92741935],0
p10,1,0.563057,0.334438,[ 4 11] ; [22 87],[ 3.14516129 11.85483871] ; [22.85483871 86.14516129],0
s3,1,0.569322,0.323818,[ 5 10] ; [29 81],[ 4.08 10.92] ; [29.92 80.08],0
d3,1,0.572467,0.318573,[9 6] ; [58 53],[7.97619048 7.02380952] ; [59.02380952 51.97619048],0
s5,1,0.591673,0.28774,[ 3 12] ; [16 93],[ 2.2983871 12.7016129] ; [16.7016129 92.2983871],0
b5,1,0.617525,0.249361,[9 6] ; [59 52],[8.0952381 6.9047619] ; [59.9047619 51.0952381],0
r2,1,0.645464,0.211667,[11  3] ; [91 18],[11.6097561  2.3902439] ; [90.3902439 18.6097561],0
v3,1,0.659339,0.194328,[ 3 12] ; [27 80],[ 3.68852459 11.31147541] ; [26.31147541 80.68852459],0
p6,1,0.743036,0.107476,[ 2 13] ; [18 90],[ 2.43902439 12.56097561] ; [17.56097561 90.43902439],0
n3,1,0.810799,0.05731,[4 3] ; [26 16],[4.28571429 2.71428571] ; [25.71428571 16.28571429],0
b4,1,0.817903,0.053012,[9 6] ; [70 41],[9.4047619 5.5952381] ; [69.5952381 41.4047619],0
p8,1,0.858363,0.031847,[ 4 11] ; [27 83],[ 3.72 11.28] ; [27.28 82.72],0
v1,1,0.861878,0.03027,[ 4 11] ; [32 79],[ 4.28571429 10.71428571] ; [31.71428571 79.28571429],0
s7,1,0.871757,0.026059,[ 3 12] ; [19 85],[ 2.77310924 12.22689076] ; [19.22689076 84.77310924],0
v4,1,0.89925,0.01603,[11  3] ; [84 25],[10.81300813  3.18699187] ; [84.18699187 24.81300813],0
d5,1,0.944274,0.004886,[10  5] ; [75 36],[10.11904762  4.88095238] ; [74.88095238 36.11904762],0
a1,1,0.957158,0.002886,[ 1 14] ; [  7 104],[ 0.95238095 14.04761905] ; [  7.04761905 103.95238095],0
n5,1,0.964819,0.001945,[8 7] ; [58 52],[7.92 7.08] ; [58.08 51.92],0
n6,1,0.978328,0.000738,[9 6] ; [65 44],[8.9516129 6.0483871] ; [65.0483871 43.9516129],0
u2,1,0.979939,0.000632,[4 5] ; [22 27],[4.03448276 4.96551724] ; [21.96551724 27.03448276],0
p4,1,0.981168,0.000557,[ 5 10] ; [36 73],[ 4.95967742 10.04032258] ; [36.04032258 72.95967742],0
