Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001486,10.096154,[2 3] ; [63  7],[4.33333333 0.66666667] ; [60.66666667  9.33333333],0
n5,1,0.003018,8.796672,[2 3] ; [62  8],[4.26666667 0.73333333] ; [59.73333333 10.26666667],0
p6,1,0.031766,4.611081,[1 4] ; [46 22],[3.21917808 1.78082192] ; [43.78082192 24.21917808],0
p4,1,0.101809,2.676981,[3 2] ; [60  9],[4.25675676 0.74324324] ; [58.74324324 10.25675676],0
b5,1,0.15569,2.015596,[4 1] ; [33 37],[2.46666667 2.53333333] ; [34.53333333 35.46666667],0
s5,1,0.159336,1.980515,[2 3] ; [43 18],[3.40909091 1.59090909] ; [41.59090909 19.40909091],0
p8,1,0.172238,1.863355,[3 2] ; [58 11],[4.12162162 0.87837838] ; [56.87837838 12.12162162],0
b4,1,0.288811,1.125156,[4 1] ; [39 31],[2.86666667 2.13333333] ; [40.13333333 29.86666667],0
r3,1,0.320344,0.98754,[4 1] ; [63  5],[4.5890411 0.4109589] ; [62.4109589  5.5890411],0
p3,1,0.337945,0.918212,[3 2] ; [55 15],[3.86666667 1.13333333] ; [54.13333333 15.86666667],0
b1,1,0.344704,0.892857,[3 2] ; [27 43],[2. 3.] ; [28. 42.],0
s3,1,0.351278,0.868836,[2 3] ; [41 26],[2.98611111 2.01388889] ; [40.01388889 26.98611111],0
d1,1,0.374977,0.787106,[4 1] ; [42 28],[3.06666667 1.93333333] ; [42.93333333 27.06666667],0
v2,1,0.389084,0.741802,[4 1] ; [40 26],[3.09859155 1.90140845] ; [40.90140845 25.09859155],0
a2,1,0.43508,0.609224,[2 3] ; [17 53],[1.26666667 3.73333333] ; [17.73333333 52.26666667],0
p2,1,0.484044,0.489739,[4 1] ; [63  7],[4.46666667 0.53333333] ; [62.53333333  7.46666667],0
r4,1,0.484044,0.489739,[4 1] ; [63  7],[4.46666667 0.53333333] ; [62.53333333  7.46666667],0
u1,1,0.485263,0.487013,[2 3] ; [18 52],[1.33333333 3.66666667] ; [18.66666667 51.33333333],0
a4,1,0.495295,0.465003,[3 2] ; [31 39],[2.26666667 2.73333333] ; [31.73333333 38.26666667],0
s7,1,0.532417,0.389777,[3 2] ; [46 17],[3.60294118 1.39705882] ; [45.39705882 17.60294118],0
s4,1,0.599115,0.276333,[1 4] ; [ 8 59],[0.625 4.375] ; [ 8.375 58.625],0
d2,1,0.621437,0.243853,[3 2] ; [34 36],[2.46666667 2.53333333] ; [34.53333333 35.46666667],0
v1,1,0.634605,0.225867,[3 2] ; [47 20],[3.47222222 1.52777778] ; [46.52777778 20.47222222],0
n3,1,0.64315,0.214646,[1 1] ; [10  5],[1.29411765 0.70588235] ; [9.70588235 5.29411765],0
p11,1,0.727141,0.121753,[4 1] ; [60 10],[4.26666667 0.73333333] ; [59.73333333 10.26666667],0
a6,1,0.743421,0.107143,[3 2] ; [47 23],[3.33333333 1.66666667] ; [46.66666667 23.33333333],0
b2,1,0.766917,0.087859,[2 3] ; [23 26],[2.31481481 2.68518519] ; [22.68518519 26.31481481],0
b3,1,0.766917,0.087859,[2 3] ; [23 26],[2.31481481 2.68518519] ; [22.68518519 26.31481481],0
s6,1,0.796889,0.066242,[4 1] ; [54 10],[4.20289855 0.79710145] ; [53.79710145 10.20289855],0
v3,1,0.864035,0.029323,[3 2] ; [37 29],[2.81690141 2.18309859] ; [37.18309859 28.81690141],0
p7,1,0.890632,0.018908,[3 1] ; [53 15],[3.11111111 0.88888889] ; [52.88888889 15.11111111],0
a3,1,0.93995,0.005675,[4 1] ; [55 15],[3.93333333 1.06666667] ; [55.06666667 14.93333333],0
n1,1,1.0,0.0,[1 1] ; [7 7],[1. 1.] ; [7. 7.],0
