Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,9.2e-05,15.285187,[42 10] ; [105 102],[29.51351351 22.48648649] ; [117.48648649  89.51351351],1
p4,1,0.00011,14.95563,[46  5] ; [130  80],[34.3908046 16.6091954] ; [141.6091954  68.3908046],1
v3,1,0.000157,14.288275,[34 18] ; [ 75 131],[21.96899225 30.03100775] ; [ 87.03100775 118.96899225],1
a1,1,0.000189,13.940323,[10 42] ; [  9 202],[ 3.75665399 48.24334601] ; [ 15.24334601 195.75665399],1
p12,1,0.000297,13.091707,[14 38] ; [ 18 192],[ 6.35114504 45.64885496] ; [ 25.64885496 184.35114504],1
p1,1,0.000644,11.643474,[13 39] ; [ 17 192],[ 5.97701149 46.02298851] ; [ 24.02298851 184.97701149],1
p3,1,0.001371,10.244938,[41 11] ; [115  96],[30.84410646 21.15589354] ; [125.15589354  85.84410646],0
n4,1,0.002966,8.827989,[48  4] ; [153  57],[39.89312977 12.10687023] ; [161.10687023  48.89312977],0
r2,1,0.00781,7.076613,[46  6] ; [202   6],[49.6  2.4] ; [198.4   9.6],0
p11,1,0.015728,5.833064,[47  5] ; [158  53],[40.53231939 11.46768061] ; [164.46768061  46.53231939],0
n5,1,0.019885,5.421962,[46  6] ; [152  56],[39.6 12.4] ; [158.4  49.6],0
b5,1,0.023762,5.111903,[21 31] ; [122  89],[28.27376426 23.72623574] ; [114.72623574  96.27376426],0
p6,1,0.033808,4.504363,[30 21] ; [ 88 120],[23.23552124 27.76447876] ; [ 94.76447876 113.23552124],0
s4,1,0.03519,4.435954,[ 7 44] ; [ 58 149],[12.84883721 38.15116279] ; [ 52.15116279 154.84883721],0
p10,1,0.037495,4.327789,[49  2] ; [180  31],[44.57633588  6.42366412] ; [184.42366412  26.57633588],0
a2,1,0.039549,4.237145,[ 9 43] ; [ 67 144],[15.02661597 36.97338403] ; [ 60.97338403 150.02661597],0
p7,1,0.072942,3.215539,[41  9] ; [142  63],[35.88235294 14.11764706] ; [147.11764706  57.88235294],0
p9,1,0.096487,2.762669,[50  2] ; [183  24],[46.77992278  5.22007722] ; [186.22007722  20.77992278],0
u2,1,0.099977,2.705908,[7 2] ; [20 22],[4.76470588 4.23529412] ; [22.23529412 19.76470588],0
v1,1,0.115981,2.470774,[38 14] ; [127  80],[33.12741313 18.87258687] ; [131.87258687  75.12741313],0
