Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,27.290448,[134  34] ; [56 56],[114.  54.] ; [76. 36.],1
r3,1,9e-06,19.813317,[157  11] ; [89 30],[144.  24.] ; [102.  17.],1
v4,1,9e-06,19.742501,[157  12] ; [88 31],[143.76736111  25.23263889] ; [101.23263889  17.76736111],1
p10,1,1.5e-05,18.767434,[121  48] ; [53 62],[103.54225352  65.45774648] ; [70.45774648 44.54225352],1
p4,1,2.9e-05,17.458275,[75 95] ; [24 94],[ 58.4375 111.5625] ; [40.5625 77.4375],1
p11,1,0.00014,14.498526,[123  47] ; [60 59],[107.64705882  62.35294118] ; [75.35294118 43.64705882],1
a1,1,0.000377,12.64375,[  3 167] ; [ 14 105],[ 10. 160.] ; [  7. 112.],1
r4,1,0.001021,10.789847,[139  31] ; [77 42],[127.05882353  42.94117647] ; [88.94117647 30.05882353],0
v1,1,0.002541,9.110699,[78 86] ; [34 81],[65.83512545 98.16487455] ; [46.16487455 68.83512545],0
d5,1,0.003189,8.695981,[141  29] ; [81 38],[130.58823529  39.41176471] ; [91.41176471 27.58823529],0
a7,1,0.005692,7.645309,[123  46] ; [68 51],[112.07986111  56.92013889] ; [78.92013889 40.07986111],0
b1,1,0.008402,6.945782,[ 58 112] ; [59 60],[ 68.82352941 101.17647059] ; [48.17647059 70.82352941],0
s2,1,0.009273,6.769403,[78 89] ; [37 81],[67.38596491 99.61403509] ; [47.61403509 70.38596491],0
b5,1,0.010239,6.592774,[118  52] ; [65 54],[107.64705882  62.35294118] ; [75.35294118 43.64705882],0
p6,1,0.010246,6.591555,[ 27 142] ; [  7 110],[ 20.09090909 148.90909091] ; [ 13.90909091 103.09090909],0
s3,1,0.012188,6.283327,[87 81] ; [43 74],[76.63157895 91.36842105] ; [53.36842105 63.63157895],0
p3,1,0.012973,6.172824,[ 54 116] ; [22 96],[ 44.86111111 125.13888889] ; [31.13888889 86.86111111],0
n6,1,0.01958,5.448923,[133  36] ; [79 40],[124.40277778  44.59722222] ; [87.59722222 31.40277778],0
s6,1,0.027723,4.845224,[101  68] ; [55 63],[91.86062718 77.13937282] ; [64.13937282 53.86062718],0
v2,1,0.037866,4.311013,[80 83] ; [40 70],[71.64835165 91.35164835] ; [48.35164835 61.64835165],0
r2,1,0.038413,4.286634,[155  14] ; [98 19],[149.5  19.5] ; [103.5  13.5],0
a6,1,0.041734,4.145953,[117  53] ; [68 51],[108.82352941  61.17647059] ; [76.17647059 42.82352941],0
r1,1,0.056829,3.627589,[123  46] ; [74 45],[115.60069444  53.39930556] ; [81.39930556 37.60069444],0
s1,1,0.074657,3.177537,[  5 162] ; [  9 109],[  8.20350877 158.79649123] ; [  5.79649123 112.20350877],0
u4,1,0.075177,3.166207,[  1 169] ; [  4 115],[  2.94117647 167.05882353] ; [  2.05882353 116.94117647],0
n4,1,0.107537,2.590048,[125  45] ; [77 42],[118.82352941  51.17647059] ; [83.17647059 35.82352941],0
