Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.023342,5.142857,[10  6] ; [ 5 15],[6.66666667 9.33333333] ; [ 8.33333333 11.66666667],0
p4,1,0.027737,4.844349,[ 5 10] ; [ 1 19],[ 2.57142857 12.42857143] ; [ 3.42857143 16.57142857],0
s2,1,0.035729,4.41,[ 5 11] ; [ 1 19],[ 2.66666667 13.33333333] ; [ 3.33333333 16.66666667],0
a4,1,0.03647,4.375,[ 3 12] ; [11  9],[6. 9.] ; [ 8. 12.],0
v4,1,0.051176,3.8025,[10  6] ; [ 6 14],[7.11111111 8.88888889] ; [ 8.88888889 11.11111111],0
n2,1,0.096401,2.764103,[6 3] ; [4 9],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
b3,1,0.098168,2.735065,[3 9] ; [8 6],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
b2,1,0.098168,2.735065,[3 9] ; [8 6],[5.07692308 6.92307692] ; [5.92307692 8.07692308],0
s6,1,0.109421,2.562562,[ 5 11] ; [ 2 18],[ 3.11111111 12.88888889] ; [ 3.88888889 16.11111111],0
v2,1,0.109421,2.562562,[ 5 11] ; [ 2 18],[ 3.11111111 12.88888889] ; [ 3.88888889 16.11111111],0
a1,1,0.133614,2.25,[ 1 15] ; [ 5 15],[ 2.66666667 13.33333333] ; [ 3.33333333 16.66666667],0
u3,1,0.145729,2.116402,[3 4] ; [1 8],[1.75 5.25] ; [2.25 6.75],0
a6,1,0.154157,2.030625,[ 5 11] ; [11  9],[7.11111111 8.88888889] ; [ 8.88888889 11.11111111],0
d2,1,0.202892,1.621436,[ 5 10] ; [11  9],[6.85714286 8.14285714] ; [ 9.14285714 10.85714286],0
p11,1,0.230139,1.44,[ 4 12] ; [ 2 18],[ 2.66666667 13.33333333] ; [ 3.33333333 16.66666667],0
v3,1,0.243878,1.358036,[ 5 11] ; [ 3 17],[ 3.55555556 12.44444444] ; [ 4.44444444 15.55555556],0
s7,1,0.288986,1.124339,[ 4 12] ; [ 2 16],[ 2.82352941 13.17647059] ; [ 3.17647059 14.82352941],0
p7,1,0.371776,0.797721,[ 5 10] ; [ 4 16],[ 3.85714286 11.14285714] ; [ 5.14285714 14.85714286],0
p6,1,0.38347,0.759549,[ 2 13] ; [ 1 19],[ 1.28571429 13.71428571] ; [ 1.71428571 18.28571429],0
a2,1,0.406483,0.689062,[ 1 15] ; [ 3 17],[ 1.77777778 14.22222222] ; [ 2.22222222 17.77777778],0
p2,1,0.438578,0.6,[ 5 11] ; [ 4 16],[ 4. 12.] ; [ 5. 15.],0
s4,1,0.438578,0.6,[ 5 11] ; [ 4 16],[ 4. 12.] ; [ 5. 15.],0
p3,1,0.450644,0.569032,[ 3 13] ; [ 2 18],[ 2.22222222 13.77777778] ; [ 2.77777778 17.22222222],0
b4,1,0.453255,0.5625,[10  6] ; [10 10],[8.88888889 7.11111111] ; [11.11111111  8.88888889],0
d5,1,0.502335,0.45,[7 9] ; [11  9],[8. 8.] ; [10. 10.],0
u2,1,0.515305,0.42328,[2 5] ; [4 5],[2.625 4.375] ; [3.375 5.625],0
d1,1,0.517482,0.418909,[ 4 12] ; [ 7 13],[ 4.88888889 11.11111111] ; [ 6.11111111 13.88888889],0
n5,1,0.517482,0.418909,[12  4] ; [13  7],[11.11111111  4.88888889] ; [13.88888889  6.11111111],0
v1,1,0.548506,0.36,[ 2 14] ; [ 4 16],[ 2.66666667 13.33333333] ; [ 3.33333333 16.66666667],0
a7,1,0.587045,0.294983,[ 5 11] ; [ 8 12],[ 5.77777778 10.22222222] ; [ 7.22222222 12.77777778],0
r1,1,0.59256,0.286364,[7 9] ; [ 7 13],[6.22222222 9.77777778] ; [ 7.77777778 12.22222222],0
r2,1,0.667451,0.184598,[9 6] ; [10  9],[8.38235294 6.61764706] ; [10.61764706  8.38235294],0
a5,1,0.708959,0.139319,[7 9] ; [10 10],[7.55555556 8.44444444] ; [ 9.44444444 10.55555556],0
p10,1,0.764177,0.09,[ 3 13] ; [ 3 17],[ 2.66666667 13.33333333] ; [ 3.33333333 16.66666667],0
p1,1,0.812524,0.05625,[ 2 14] ; [ 2 18],[ 1.77777778 14.22222222] ; [ 2.22222222 17.77777778],0
s5,1,0.812524,0.05625,[ 2 14] ; [ 2 18],[ 1.77777778 14.22222222] ; [ 2.22222222 17.77777778],0
s1,1,0.812524,0.05625,[ 2 14] ; [ 2 18],[ 1.77777778 14.22222222] ; [ 2.22222222 17.77777778],0
b1,1,0.820596,0.051429,[9 7] ; [12  8],[9.33333333 6.66666667] ; [11.66666667  8.33333333],0
n3,1,0.863926,0.029371,[4 4] ; [6 7],[3.80952381 4.19047619] ; [6.19047619 6.80952381],0
n4,1,0.876681,0.02408,[10  6] ; [13  7],[10.22222222  5.77777778] ; [12.77777778  7.22222222],0
d3,1,0.878482,0.023377,[ 6 10] ; [ 8 12],[6.22222222 9.77777778] ; [ 7.77777778 12.22222222],0
a3,1,0.921972,0.009594,[9 7] ; [11  8],[9.14285714 6.85714286] ; [10.85714286  8.14285714],0
s3,1,0.9293,0.007872,[ 4 12] ; [ 5 14],[ 4.11428571 11.88571429] ; [ 4.88571429 14.11428571],0
n1,1,0.936898,0.006268,[4 5] ; [6 7],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
d4,1,1.0,0.0,[8 8] ; [10 10],[8. 8.] ; [10. 10.],0
