Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1e-05,19.502052,[39  2] ; [7 9],[33.0877193  7.9122807] ; [12.9122807  3.0877193],1
p8,1,0.001231,10.443452,[40  2] ; [10  6],[36.20689655  5.79310345] ; [13.79310345  2.20689655],0
p11,1,0.004318,8.144801,[39  3] ; [10  6],[35.48275862  6.51724138] ; [13.51724138  2.48275862],0
n5,1,0.027889,4.834932,[41  1] ; [13  3],[39.10344828  2.89655172] ; [14.89655172  1.10344828],0
p12,1,0.029708,4.726128,[18 24] ; [ 2 14],[14.48275862 27.51724138] ; [ 5.51724138 10.48275862],0
r1,1,0.041102,4.171823,[38  4] ; [11  5],[35.48275862  6.51724138] ; [13.51724138  2.48275862],0
s7,1,0.045534,3.998761,[37  4] ; [11  5],[34.52631579  6.47368421] ; [13.47368421  2.52631579],0
a5,1,0.054826,3.687357,[34  8] ; [9 7],[31.13793103 10.86206897] ; [11.86206897  4.13793103],0
p3,1,0.057074,3.620427,[35  6] ; [10  6],[32.36842105  8.63157895] ; [12.63157895  3.36842105],0
a3,1,0.140764,2.169591,[36  6] ; [11  5],[34.03448276  7.96551724] ; [12.96551724  3.03448276],0
a4,1,0.149312,2.079266,[22 20] ; [ 5 11],[19.55172414 22.44827586] ; [7.44827586 8.55172414],0
p10,1,0.194522,1.683036,[39  3] ; [13  3],[37.65517241  4.34482759] ; [14.34482759  1.65517241],0
n3,1,0.196706,1.666667,[4 2] ; [1 3],[3. 3.] ; [2. 2.],0
b3,1,0.200679,1.637427,[16 14] ; [3 7],[14.25 15.75] ; [4.75 5.25],0
b2,1,0.200679,1.637427,[16 14] ; [3 7],[14.25 15.75] ; [4.75 5.25],0
b1,1,0.212086,1.557128,[16 26] ; [9 7],[18.10344828 23.89655172] ; [6.89655172 9.10344828],0
n1,1,0.259796,1.269841,[5 1] ; [2 2],[4.2 1.8] ; [2.8 1.2],0
b4,1,0.280309,1.165594,[25 17] ; [7 9],[23.17241379 18.82758621] ; [8.82758621 7.17241379],0
a7,1,0.297117,1.087089,[32 10] ; [10  6],[30.4137931 11.5862069] ; [11.5862069  4.4137931],0
n4,1,0.298593,1.080467,[40  2] ; [14  2],[39.10344828  2.89655172] ; [14.89655172  1.10344828],0
p4,1,0.311419,1.024649,[39  2] ; [14  2],[38.12280702  2.87719298] ; [14.87719298  1.12280702],0
v1,1,0.322455,0.978963,[31 10] ; [14  2],[32.36842105  8.63157895] ; [12.63157895  3.36842105],0
a2,1,0.341946,0.903123,[10 32] ; [ 2 14],[ 8.68965517 33.31034483] ; [ 3.31034483 12.68965517],0
b5,1,0.360758,0.835253,[18 24] ; [9 7],[19.55172414 22.44827586] ; [7.44827586 8.55172414],0
v2,1,0.401506,0.703811,[23 18] ; [7 9],[21.57894737 19.42105263] ; [8.42105263 7.57894737],0
p1,1,0.437125,0.603817,[15 27] ; [ 4 12],[13.75862069 28.24137931] ; [ 5.24137931 10.75862069],0
u1,1,0.438199,0.600995,[ 9 33] ; [ 2 14],[ 7.96551724 34.03448276] ; [ 3.03448276 12.96551724],0
r3,1,0.470441,0.52094,[41  1] ; [15  1],[40.55172414  1.44827586] ; [15.44827586  0.55172414],0
r4,1,0.470441,0.52094,[41  1] ; [15  1],[40.55172414  1.44827586] ; [15.44827586  0.55172414],0
s3,1,0.534236,0.386327,[38  3] ; [14  2],[37.40350877  3.59649123] ; [14.59649123  1.40350877],0
a6,1,0.559477,0.34061,[24 17] ; [8 8],[23.01754386 17.98245614] ; [8.98245614 7.01754386],0
s8,1,0.597167,0.27929,[31 10] ; [11  5],[30.21052632 10.78947368] ; [11.78947368  4.21052632],0
u2,1,0.621014,0.244444,[4 2] ; [4 1],[4.36363636 1.63636364] ; [3.63636364 1.36363636],0
s5,1,0.626117,0.237363,[31  8] ; [11  4],[30.33333333  8.66666667] ; [11.66666667  3.33333333],0
d1,1,0.656236,0.198128,[29 13] ; [12  4],[29.68965517 12.31034483] ; [11.31034483  4.68965517],0
p2,1,0.691341,0.157637,[38  4] ; [15  1],[38.37931034  3.62068966] ; [14.62068966  1.37931034],0
s1,1,0.739402,0.110653,[ 4 38] ; [ 2 14],[ 4.34482759 37.65517241] ; [ 1.65517241 14.34482759],0
v3,1,0.743841,0.106779,[25 16] ; [9 7],[24.45614035 16.54385965] ; [9.54385965 6.45614035],0
u3,1,0.818971,0.052381,[4 2] ; [3 2],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
p9,1,0.819093,0.052309,[40  2] ; [15  1],[39.82758621  2.17241379] ; [15.17241379  0.82758621],0
r2,1,0.819093,0.052309,[40  2] ; [15  1],[39.82758621  2.17241379] ; [15.17241379  0.82758621],0
s4,1,0.851087,0.035243,[ 7 35] ; [ 3 13],[ 7.24137931 34.75862069] ; [ 2.75862069 13.24137931],0
d3,1,0.887927,0.019861,[30 11] ; [12  4],[30.21052632 10.78947368] ; [11.78947368  4.21052632],0
d5,1,0.947759,0.004293,[33  8] ; [13  3],[33.0877193  7.9122807] ; [12.9122807  3.0877193],0
d4,1,0.974861,0.000993,[36  5] ; [14  2],[35.96491228  5.03508772] ; [14.03508772  1.96491228],0
d2,1,0.991685,0.000109,[23 18] ; [9 7],[23.01754386 17.98245614] ; [8.98245614 7.01754386],0
