Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000318,12.959989,[ 5 11] ; [47 13],[10.94736842  5.05263158] ; [41.05263158 18.94736842],1
p11,1,0.012198,6.281875,[9 7] ; [51  9],[12.63157895  3.36842105] ; [47.36842105 12.63157895],0
a7,1,0.024078,5.08897,[ 6 10] ; [41 19],[9.89473684 6.10526316] ; [37.10526316 22.89473684],0
p10,1,0.024329,5.071053,[8 8] ; [47 13],[11.57894737  4.42105263] ; [43.42105263 16.57894737],0
p4,1,0.036637,4.367228,[8 8] ; [46 14],[11.36842105  4.63157895] ; [42.63157895 17.36842105],0
p8,1,0.040645,4.190772,[8 8] ; [45 14],[11.30666667  4.69333333] ; [41.69333333 17.30666667],0
v2,1,0.05941,3.553767,[ 5 11] ; [33 24],[8.32876712 7.67123288] ; [29.67123288 27.32876712],0
n4,1,0.074689,3.176845,[9 7] ; [47 13],[11.78947368  4.21052632] ; [44.21052632 15.78947368],0
p6,1,0.09335,2.81564,[ 4 11] ; [30 29],[6.89189189 8.10810811] ; [27.10810811 31.89189189],0
s3,1,0.107199,2.595031,[12  4] ; [31 28],[9.17333333 6.82666667] ; [33.82666667 25.17333333],0
a6,1,0.134054,2.244923,[8 8] ; [42 18],[10.52631579  5.47368421] ; [39.47368421 20.52631579],0
v4,1,0.137517,2.205521,[13  3] ; [56  4],[14.52631579  1.47368421] ; [54.47368421  5.52631579],0
p7,1,0.14348,2.14023,[10  6] ; [48 12],[12.21052632  3.78947368] ; [45.78947368 14.21052632],0
p5,1,0.157531,1.997773,[ 1 15] ; [13 47],[ 2.94736842 13.05263158] ; [11.05263158 48.94736842],0
s7,1,0.164847,1.929192,[ 5 10] ; [31 27],[7.39726027 7.60273973] ; [28.60273973 29.39726027],0
d4,1,0.172475,1.861296,[10  6] ; [26 34],[7.57894737 8.42105263] ; [28.42105263 31.57894737],0
u2,1,0.245224,1.350309,[6 2] ; [14 13],[4.57142857 3.42857143] ; [15.42857143 11.57142857],0
p9,1,0.274962,1.191821,[11  5] ; [48 11],[12.58666667  3.41333333] ; [46.41333333 12.58666667],0
a8,1,0.418485,0.654566,[ 2 13] ; [ 4 54],[ 1.23287671 13.76712329] ; [ 4.76712329 53.23287671],0
u3,1,0.422678,0.642857,[5 3] ; [13 15],[4. 4.] ; [14. 14.],0
p2,1,0.42305,0.641826,[11  5] ; [47 13],[12.21052632  3.78947368] ; [45.78947368 14.21052632],0
b1,1,0.423259,0.64125,[9 7] ; [27 33],[7.57894737 8.42105263] ; [28.42105263 31.57894737],0
d1,1,0.44199,0.591111,[ 2 14] ; [ 4 56],[ 1.26315789 14.73684211] ; [ 4.73684211 55.26315789],0
r4,1,0.456425,0.554646,[13  3] ; [53  7],[13.89473684  2.10526316] ; [52.10526316  7.89473684],0
s6,1,0.462466,0.539919,[11  5] ; [34 24],[9.72972973 6.27027027] ; [35.27027027 22.72972973],0
b5,1,0.512324,0.429318,[10  6] ; [32 28],[8.84210526 7.15789474] ; [33.15789474 26.84210526],0
v1,1,0.550144,0.357059,[8 8] ; [25 35],[6.94736842 9.05263158] ; [26.05263158 33.94736842],0
p1,1,0.551639,0.35439,[ 4 12] ; [11 49],[ 3.15789474 12.84210526] ; [11.84210526 48.15789474],0
s4,1,0.581924,0.303134,[ 2 14] ; [11 49],[ 2.73684211 13.26315789] ; [10.26315789 49.73684211],0
d2,1,0.601334,0.272989,[ 3 13] ; [15 45],[ 3.78947368 12.21052632] ; [14.21052632 45.78947368],0
n2,1,0.657619,0.196429,[1 1] ; [6 3],[1.27272727 0.72727273] ; [5.72727273 3.27272727],0
a4,1,0.662917,0.19,[ 4 12] ; [12 48],[ 3.36842105 12.63157895] ; [12.63157895 47.36842105],0
d3,1,0.687501,0.161804,[ 5 11] ; [22 38],[ 5.68421053 10.31578947] ; [21.31578947 38.68421053],0
r1,1,0.71565,0.132698,[11  5] ; [44 16],[11.57894737  4.42105263] ; [43.42105263 16.57894737],0
v3,1,0.767726,0.087232,[7 9] ; [23 35],[6.48648649 9.51351351] ; [23.51351351 34.48648649],0
r3,1,0.772181,0.083824,[14  2] ; [54  6],[14.31578947  1.68421053] ; [53.68421053  6.31578947],0
a2,1,0.783635,0.075397,[ 1 15] ; [ 5 55],[ 1.26315789 14.73684211] ; [ 4.73684211 55.26315789],0
r2,1,0.783635,0.075397,[15  1] ; [55  5],[14.73684211  1.26315789] ; [55.26315789  4.73684211],0
b2,1,0.802816,0.062353,[5 6] ; [14 20],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
b3,1,0.802816,0.062353,[5 6] ; [14 20],[4.64444444 6.35555556] ; [14.35555556 19.64444444],0
a3,1,0.812449,0.056296,[8 8] ; [32 28],[8.42105263 7.57894737] ; [31.57894737 28.42105263],0
s8,1,0.81798,0.052966,[ 6 10] ; [24 35],[6.4 9.6] ; [23.6 35.4],0
s5,1,0.833232,0.044335,[5 9] ; [19 39],[4.66666667 9.33333333] ; [19.33333333 38.66666667],0
s2,1,0.835251,0.043252,[7 9] ; [28 32],[7.36842105 8.63157895] ; [27.63157895 32.36842105],0
a1,1,0.842297,0.039583,[ 1 15] ; [ 3 57],[ 0.84210526 15.15789474] ; [ 3.15789474 56.84210526],0
a5,1,0.951041,0.00377,[10  6] ; [38 22],[10.10526316  5.89473684] ; [37.89473684 22.10526316],0
b4,1,0.951383,0.003717,[10  6] ; [37 23],[9.89473684 6.10526316] ; [37.10526316 22.89473684],0
