Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,22.152273,[66 24] ; [14 31],[53.33333333 36.66666667] ; [26.66666667 18.33333333],1
a6,1,8e-06,20.007571,[67 22] ; [16 29],[55.12686567 33.87313433] ; [27.87313433 17.12686567],1
b5,1,0.025347,5.0,[60 30] ; [21 24],[54. 36.] ; [27. 18.],0
s1,1,0.026151,4.94599,[ 1 87] ; [ 4 41],[ 3.30827068 84.69172932] ; [ 1.69172932 43.30827068],0
b1,1,0.03662,4.368003,[33 57] ; [25 20],[38.66666667 51.33333333] ; [19.33333333 25.66666667],0
a8,1,0.037456,4.329546,[18 64] ; [ 3 39],[13.88709677 68.11290323] ; [ 7.11290323 34.88709677],0
p3,1,0.037763,4.315684,[24 66] ; [20 25],[29.33333333 60.66666667] ; [14.66666667 30.33333333],0
n4,1,0.051804,3.782103,[64 26] ; [38  6],[68.50746269 21.49253731] ; [33.49253731 10.50746269],0
s2,1,0.056514,3.636853,[53 37] ; [34 11],[58. 32.] ; [29. 16.],0
p6,1,0.061904,3.485625,[17 71] ; [15 29],[21.33333333 66.66666667] ; [10.66666667 33.33333333],0
a2,1,0.067889,3.333333,[22 68] ; [ 5 40],[18. 72.] ; [ 9. 36.],0
d5,1,0.069899,3.285398,[79 11] ; [34 11],[75.33333333 14.66666667] ; [37.66666667  7.33333333],0
a5,1,0.076112,3.146029,[61 29] ; [37  8],[65.33333333 24.66666667] ; [32.66666667 12.33333333],0
v1,1,0.096397,2.764157,[41 44] ; [28 16],[45.46511628 39.53488372] ; [23.53488372 20.46511628],0
u1,1,0.099396,2.715205,[18 72] ; [ 4 41],[14.66666667 75.33333333] ; [ 7.33333333 37.66666667],0
p2,1,0.1334,2.252482,[69 21] ; [29 16],[65.33333333 24.66666667] ; [32.66666667 12.33333333],0
d1,1,0.176267,1.828818,[55 35] ; [22 23],[51.33333333 38.66666667] ; [25.66666667 19.33333333],0
s4,1,0.187526,1.736946,[14 76] ; [11 33],[16.79104478 73.20895522] ; [ 8.20895522 35.79104478],0
p9,1,0.237351,1.39626,[80 10] ; [35  8],[77.81954887 12.18045113] ; [37.18045113  5.81954887],0
p11,1,0.252272,1.31068,[66 24] ; [37  8],[68.66666667 21.33333333] ; [34.33333333 10.66666667],0
v2,1,0.287909,1.129376,[55 29] ; [24 19],[52.2519685 31.7480315] ; [26.7480315 16.2519685],0
b2,1,0.302463,1.063304,[20 35] ; [17 19],[22.36263736 32.63736264] ; [14.63736264 21.36263736],0
b3,1,0.302463,1.063304,[20 35] ; [17 19],[22.36263736 32.63736264] ; [14.63736264 21.36263736],0
n1,1,0.304976,1.052308,[11 14] ; [8 5],[12.5 12.5] ; [6.5 6.5],0
a3,1,0.309448,1.033031,[64 25] ; [36  9],[66.41791045 22.58208955] ; [33.58208955 11.41791045],0
p1,1,0.37356,0.791789,[ 6 84] ; [ 5 40],[ 7.33333333 82.66666667] ; [ 3.66666667 41.33333333],0
s5,1,0.375285,0.786091,[31 52] ; [20 24],[33.33070866 49.66929134] ; [17.66929134 26.33070866],0
a1,1,0.375652,0.784884,[ 3 87] ; [ 3 42],[ 4. 86.] ; [ 2. 43.],0
p5,1,0.388185,0.744621,[ 5 85] ; [ 1 43],[ 4.02985075 85.97014925] ; [ 1.97014925 42.02985075],0
p12,1,0.399521,0.709769,[ 5 85] ; [ 4 38],[ 6.13636364 83.86363636] ; [ 2.86363636 39.13636364],0
v3,1,0.420589,0.648668,[38 49] ; [22 21],[40.15384615 46.84615385] ; [19.84615385 23.15384615],0
n5,1,0.44126,0.593004,[61 28] ; [33 11],[62.90225564 26.09774436] ; [31.09774436 12.90225564],0
p8,1,0.461036,0.543378,[37 52] ; [15 28],[35.06060606 53.93939394] ; [16.93939394 26.06060606],0
s7,1,0.485713,0.486009,[63 25] ; [34 10],[64.66666667 23.33333333] ; [32.33333333 11.66666667],0
s3,1,0.498648,0.457813,[63 27] ; [34 11],[64.66666667 25.33333333] ; [32.33333333 12.66666667],0
p7,1,0.512214,0.429542,[44 39] ; [26 18],[45.7480315 37.2519685] ; [24.2519685 19.7480315],0
u3,1,0.543999,0.368179,[20  6] ; [6 3],[19.31428571  6.68571429] ; [6.68571429 2.31428571],0
v4,1,0.583044,0.301339,[86  4] ; [42  3],[85.33333333  4.66666667] ; [42.66666667  2.33333333],0
s6,1,0.607428,0.263938,[72 18] ; [36  7],[73.08270677 16.91729323] ; [34.91729323  8.08270677],0
d4,1,0.632981,0.228041,[75 15] ; [36  9],[74. 16.] ; [37.  8.],0
b4,1,0.713303,0.135,[51 39] ; [24 21],[50. 40.] ; [25. 20.],0
a4,1,0.713303,0.135,[39 51] ; [21 24],[40. 50.] ; [20. 25.],0
d2,1,0.714933,0.133399,[45 45] ; [24 21],[46. 44.] ; [23. 22.],0
u2,1,0.724159,0.124542,[15 10] ; [6 3],[15.44117647  9.55882353] ; [5.55882353 3.44117647],0
n2,1,0.779164,0.078629,[21  5] ; [10  3],[20.66666667  5.33333333] ; [10.33333333  2.66666667],0
r4,1,0.823959,0.049487,[83  7] ; [41  4],[82.66666667  7.33333333] ; [41.33333333  3.66666667],0
n6,1,0.827087,0.047716,[75 15] ; [36  8],[74.55223881 15.44776119] ; [36.44776119  7.55223881],0
n3,1,0.874408,0.024984,[18  8] ; [8 4],[17.78947368  8.21052632] ; [8.21052632 3.78947368],0
r1,1,0.893446,0.017941,[74 15] ; [37  8],[73.7238806 15.2761194] ; [37.2761194  7.7238806],0
p10,1,0.935617,0.006525,[75 14] ; [36  7],[74.84090909 14.15909091] ; [36.15909091  6.84090909],0
r2,1,0.978814,0.000705,[84  4] ; [43  2],[84.03007519  3.96992481] ; [42.96992481  2.03007519],0
r3,1,1.0,0.0,[86  4] ; [43  2],[86.  4.] ; [43.  2.],0
