Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.000894,11.034336,[13 16] ; [42 10],[19.69135802  9.30864198] ; [35.30864198 16.69135802],1
n4,1,0.005677,7.650046,[ 8 21] ; [31 21],[13.96296296 15.03703704] ; [25.03703704 26.96296296],0
v2,1,0.00904,6.814945,[ 9 17] ; [33 17],[14.36842105 11.63157895] ; [27.63157895 22.36842105],0
u3,1,0.033641,4.512857,[15  1] ; [6 4],[12.92307692  3.07692308] ; [8.07692308 1.92307692],0
u2,1,0.041227,4.166667,[14  1] ; [6 4],[12.  3.] ; [8. 2.],0
n3,1,0.062579,3.467692,[6 4] ; [12  1],[7.82608696 2.17391304] ; [10.17391304  2.82608696],0
a7,1,0.065589,3.390091,[18 11] ; [42 10],[21.48148148  7.51851852] ; [38.51851852 13.48148148],0
a4,1,0.071959,3.237766,[ 8 21] ; [25 27],[11.81481481 17.18518519] ; [21.18518519 30.81481481],0
b1,1,0.080347,3.05786,[14 15] ; [15 37],[10.38271605 18.61728395] ; [18.61728395 33.38271605],0
p7,1,0.11184,2.528026,[13 14] ; [34 17],[16.26923077 10.73076923] ; [30.73076923 20.26923077],0
a2,1,0.112231,2.522522,[ 3 26] ; [13 39],[ 5.72839506 23.27160494] ; [10.27160494 41.72839506],0
a5,1,0.126031,2.34072,[17 12] ; [39 13],[20.04938272  8.95061728] ; [35.95061728 16.04938272],0
a8,1,0.136867,2.212837,[ 2 25] ; [10 39],[ 4.26315789 22.73684211] ; [ 7.73684211 41.26315789],0
b3,1,0.149821,2.074074,[10 11] ; [10 25],[ 7.5 13.5] ; [12.5 22.5],0
b2,1,0.149821,2.074074,[10 11] ; [10 25],[ 7.5 13.5] ; [12.5 22.5],0
d2,1,0.214281,1.542266,[12 17] ; [29 23],[14.67901235 14.32098765] ; [26.32098765 25.67901235],0
r2,1,0.240044,1.380338,[25  4] ; [47  3],[26.43037975  2.56962025] ; [45.56962025  4.43037975],0
v1,1,0.279562,1.169218,[15 13] ; [20 29],[12.72727273 15.27272727] ; [22.27272727 26.72727273],0
p1,1,0.317187,1.000509,[ 5 24] ; [ 5 47],[ 3.58024691 25.41975309] ; [ 6.41975309 45.58024691],0
s4,1,0.322828,0.977454,[ 9 20] ; [11 41],[ 7.16049383 21.83950617] ; [12.83950617 39.16049383],0
p2,1,0.330904,0.945358,[22  7] ; [44  8],[23.62962963  5.37037037] ; [42.37037037  9.62962963],0
