Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,9.1e-05,15.317916,[ 8 53] ; [17 17],[16.05263158 44.94736842] ; [ 8.94736842 25.05263158],1
p2,1,0.000204,13.789941,[18 43] ; [24 11],[26.6875 34.3125] ; [15.3125 19.6875],1
p6,1,0.000217,13.676533,[ 3 55] ; [12 23],[ 9.35483871 48.64516129] ; [ 5.64516129 29.35483871],1
p3,1,0.000586,11.820276,[12 48] ; [19 16],[19.57894737 40.42105263] ; [11.42105263 23.57894737],1
d5,1,0.005546,7.692263,[48 13] ; [18 17],[41.9375 19.0625] ; [24.0625 10.9375],0
d1,1,0.01078,6.501282,[32 29] ; [ 9 26],[26.05208333 34.94791667] ; [14.94791667 20.05208333],0
s3,1,0.011897,6.326198,[17 43] ; [19 16],[22.73684211 37.26315789] ; [13.26315789 21.73684211],0
a2,1,0.013186,6.144046,[16 45] ; [ 2 33],[11.4375 49.5625] ; [ 6.5625 28.4375],0
v4,1,0.026918,4.896093,[39 22] ; [29  5],[43.66315789 17.33684211] ; [24.33684211  9.66315789],0
r3,1,0.034699,4.459946,[38 23] ; [29  6],[42.57291667 18.42708333] ; [24.42708333 10.57291667],0
p10,1,0.046935,3.947724,[ 5 55] ; [ 8 27],[ 8.21052632 51.78947368] ; [ 4.78947368 30.21052632],0
s6,1,0.049117,3.871356,[21 39] ; [19 15],[25.53191489 34.46808511] ; [14.46808511 19.53191489],0
n3,1,0.051706,3.785243,[13 18] ; [9 3],[15.86046512 15.13953488] ; [6.13953488 5.86046512],0
p4,1,0.058117,3.590325,[16 44] ; [16 19],[20.21052632 39.78947368] ; [11.78947368 23.21052632],0
a4,1,0.06161,3.493493,[27 33] ; [ 9 26],[22.73684211 37.26315789] ; [13.26315789 21.73684211],0
d4,1,0.061788,3.488716,[47 14] ; [20 14],[43.02105263 17.97894737] ; [23.97894737 10.02105263],0
a3,1,0.066281,3.372808,[39 21] ; [16 19],[34.73684211 25.26315789] ; [20.26315789 14.73684211],0
b3,1,0.079834,3.068286,[16 24] ; [ 3 15],[13.10344828 26.89655172] ; [ 5.89655172 12.10344828],0
b2,1,0.079834,3.068286,[16 24] ; [ 3 15],[13.10344828 26.89655172] ; [ 5.89655172 12.10344828],0
b5,1,0.085424,2.958563,[29 32] ; [23 12],[33.04166667 27.95833333] ; [18.95833333 16.04166667],0
r4,1,0.09057,2.864212,[31 30] ; [24 11],[34.94791667 26.05208333] ; [20.05208333 14.94791667],0
d2,1,0.092959,2.822363,[33 27] ; [13 22],[29.05263158 30.94736842] ; [16.94736842 18.05263158],0
p5,1,0.094633,2.79374,[ 1 60] ; [ 3 31],[ 2.56842105 58.43157895] ; [ 1.43157895 32.56842105],0
n2,1,0.133117,2.255769,[17 17] ; [9 3],[19.2173913 14.7826087] ; [6.7826087 5.2173913],0
p1,1,0.141424,2.162402,[ 7 54] ; [ 1 34],[ 5.08333333 55.91666667] ; [ 2.91666667 32.08333333],0
a5,1,0.156497,2.007754,[37 24] ; [16 19],[33.67708333 27.32291667] ; [19.32291667 15.67708333],0
v1,1,0.161201,1.962921,[16 45] ; [14 21],[19.0625 41.9375] ; [10.9375 24.0625],0
s2,1,0.177869,1.81534,[13 47] ; [12 23],[15.78947368 44.21052632] ; [ 9.21052632 25.78947368],0
u1,1,0.180764,1.791333,[ 9 52] ; [ 2 33],[ 6.98958333 54.01041667] ; [ 4.01041667 30.98958333],0
n6,1,0.195504,1.675649,[30 31] ; [22 13],[33.04166667 27.95833333] ; [18.95833333 16.04166667],0
a7,1,0.229821,1.441971,[39 22] ; [18 17],[36.21875 24.78125] ; [20.78125 14.21875],0
a1,1,0.253259,1.305236,[ 8 53] ; [ 2 33],[ 6.35416667 54.64583333] ; [ 3.64583333 31.35416667],0
n4,1,0.298599,1.080442,[38 23] ; [18 17],[35.58333333 25.41666667] ; [20.41666667 14.58333333],0
d3,1,0.321913,0.981158,[36 25] ; [17 18],[33.67708333 27.32291667] ; [19.32291667 15.67708333],0
s7,1,0.351865,0.86672,[13 41] ; [ 5 27],[11.30232558 42.69767442] ; [ 6.69767442 25.30232558],0
u3,1,0.475701,0.508702,[ 8 14] ; [ 9 10],[ 9.12195122 12.87804878] ; [ 7.87804878 11.12195122],0
r1,1,0.47693,0.505876,[41 20] ; [21 14],[39.39583333 21.60416667] ; [22.60416667 12.39583333],0
a6,1,0.498259,0.458642,[34 27] ; [17 18],[32.40625 28.59375] ; [18.59375 16.40625],0
b4,1,0.498259,0.458642,[34 27] ; [17 18],[32.40625 28.59375] ; [18.59375 16.40625],0
u2,1,0.603761,0.26936,[ 8 14] ; [ 8 10],[ 8.8 13.2] ; [ 7.2 10.8],0
b1,1,0.622184,0.24281,[37 24] ; [23 12],[38.125 22.875] ; [21.875 13.125],0
v2,1,0.710443,0.137835,[21 40] ; [13 21],[21.83157895 39.16842105] ; [12.16842105 21.83157895],0
s4,1,0.73176,0.117502,[12 48] ; [ 6 29],[11.36842105 48.63157895] ; [ 6.63157895 28.36842105],0
s8,1,0.73632,0.113388,[ 9 51] ; [ 6 28],[ 9.57446809 50.42553191] ; [ 5.42553191 28.57446809],0
n5,1,0.743522,0.107055,[31 30] ; [19 16],[31.77083333 29.22916667] ; [18.22916667 16.77083333],0
n1,1,0.745582,0.105281,[12 21] ; [5 7],[12.46666667 20.53333333] ; [4.53333333 7.46666667],0
s5,1,0.803028,0.062216,[10 50] ; [ 5 29],[ 9.57446809 50.42553191] ; [ 5.42553191 28.57446809],0
s1,1,0.83788,0.041864,[ 6 55] ; [ 3 32],[ 5.71875 55.28125] ; [ 3.28125 31.71875],0
a8,1,0.86078,0.030759,[ 4 53] ; [ 2 31],[ 3.8 53.2] ; [ 2.2 30.8],0
v3,1,0.898029,0.016423,[17 40] ; [10 25],[16.72826087 40.27173913] ; [10.27173913 24.72826087],0
r2,1,1.0,0.0,[48 12] ; [28  7],[48. 12.] ; [28.  7.],0
