Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000904,11.014533,[ 5 46] ; [12 17],[10.8375 40.1625] ; [ 6.1625 22.8375],1
s3,1,0.006238,7.480212,[16 34] ; [19 11],[21.875 28.125] ; [13.125 16.875],0
s6,1,0.0116,6.371056,[13 38] ; [16 14],[18.25925926 32.74074074] ; [10.74074074 19.25925926],0
p2,1,0.012171,6.285747,[21 30] ; [21  9],[26.44444444 24.55555556] ; [15.55555556 14.44444444],0
p6,1,0.018276,5.569515,[ 5 45] ; [ 9 20],[ 8.86075949 41.13924051] ; [ 5.13924051 23.86075949],0
b1,1,0.021155,5.313979,[24 27] ; [22  8],[28.96296296 22.03703704] ; [17.03703704 12.96296296],0
b5,1,0.029805,4.720512,[23 28] ; [21  9],[27.7037037 23.2962963] ; [16.2962963 13.7037037],0
b3,1,0.03285,4.553571,[15 20] ; [ 2 14],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
b2,1,0.03285,4.553571,[15 20] ; [ 2 14],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
p4,1,0.038306,4.29137,[11 40] ; [13 17],[15.11111111 35.88888889] ; [ 8.88888889 21.11111111],0
u1,1,0.039997,4.218019,[ 1 50] ; [ 4 26],[ 3.14814815 47.85185185] ; [ 1.85185185 28.14814815],0
v4,1,0.06248,3.470303,[30 21] ; [23  6],[33.7875 17.2125] ; [19.2125  9.7875],0
n2,1,0.077288,3.121032,[12 15] ; [9 3],[14.53846154 12.46153846] ; [6.46153846 5.53846154],0
p11,1,0.117764,2.446809,[15 36] ; [14 16],[18.25925926 32.74074074] ; [10.74074074 19.25925926],0
a1,1,0.13006,2.291791,[ 7 44] ; [ 1 29],[ 5.03703704 45.96296296] ; [ 2.96296296 27.03703704],0
p3,1,0.154934,2.022989,[11 39] ; [11 19],[13.75 36.25] ; [ 8.25 21.75],0
s2,1,0.166554,1.913693,[10 41] ; [10 20],[12.59259259 38.40740741] ; [ 7.40740741 22.59259259],0
p9,1,0.172201,1.863681,[13 38] ; [12 18],[15.74074074 35.25925926] ; [ 9.25925926 20.74074074],0
n4,1,0.17733,1.819861,[30 21] ; [13 17],[27.07407407 23.92592593] ; [15.92592593 14.07407407],0
r3,1,0.198745,1.651574,[34 17] ; [24  6],[36.51851852 14.48148148] ; [21.48148148  8.51851852],0
s5,1,0.23678,1.399661,[ 5 43] ; [ 6 24],[ 6.76923077 41.23076923] ; [ 4.23076923 25.76923077],0
r2,1,0.248213,1.333333,[42  8] ; [22  8],[40. 10.] ; [24.  6.],0
v3,1,0.250165,1.322382,[12 35] ; [ 4 24],[10.02666667 36.97333333] ; [ 5.97333333 22.02666667],0
a3,1,0.260236,1.267501,[33 17] ; [16 14],[30.625 19.375] ; [18.375 11.625],0
s1,1,0.261106,1.262883,[ 3 47] ; [ 4 26],[ 4.375 45.625] ; [ 2.625 27.375],0
n3,1,0.264617,1.244441,[14 11] ; [9 3],[15.54054054  9.45945946] ; [7.45945946 4.54054054],0
a4,1,0.298052,1.082888,[23 28] ; [10 20],[20.77777778 30.22222222] ; [12.22222222 17.77777778],0
s4,1,0.313687,1.01509,[ 6 45] ; [ 6 24],[ 7.55555556 43.44444444] ; [ 4.44444444 25.55555556],0
a7,1,0.344063,0.895232,[31 20] ; [15 15],[28.96296296 22.03703704] ; [17.03703704 12.96296296],0
d5,1,0.367018,0.813737,[35 16] ; [17 12],[33.15 17.85] ; [18.85 10.15],0
r1,1,0.36812,0.81,[34 17] ; [17 13],[32.11111111 18.88888889] ; [18.88888889 11.11111111],0
a5,1,0.40513,0.693048,[32 19] ; [16 14],[30.22222222 20.77777778] ; [17.77777778 12.22222222],0
v1,1,0.430455,0.621595,[16 35] ; [12 18],[17.62962963 33.37037037] ; [10.37037037 19.62962963],0
u3,1,0.476033,0.507937,[ 8 10] ; [8 6],[9. 9.] ; [7. 7.],0
r4,1,0.567091,0.327574,[29 22] ; [19 11],[30.22222222 20.77777778] ; [17.77777778 12.22222222],0
u2,1,0.576086,0.312605,[8 9] ; [8 6],[8.77419355 8.22580645] ; [7.22580645 6.77419355],0
p1,1,0.609484,0.260926,[ 5 45] ; [ 2 28],[ 4.375 45.625] ; [ 2.625 27.375],0
s7,1,0.612766,0.256167,[ 8 38] ; [ 6 21],[ 8.82191781 37.17808219] ; [ 5.17808219 21.82191781],0
p12,1,0.711531,0.136752,[ 1 49] ; [ 1 29],[ 1.25 48.75] ; [ 0.75 29.25],0
a6,1,0.715851,0.132502,[32 19] ; [17 12],[31.2375 19.7625] ; [17.7625 11.2375],0
d1,1,0.72221,0.126385,[19 32] ; [10 20],[18.25925926 32.74074074] ; [10.74074074 19.25925926],0
d3,1,0.816092,0.054091,[25 26] ; [15 14],[25.5 25.5] ; [14.5 14.5],0
a8,1,0.835751,0.042986,[ 5 45] ; [ 3 23],[ 5.26315789 44.73684211] ; [ 2.73684211 23.26315789],0
s8,1,0.83582,0.042949,[ 6 45] ; [ 4 26],[ 6.2962963 44.7037037] ; [ 3.7037037 26.2962963],0
a2,1,0.910276,0.012699,[ 9 42] ; [ 5 25],[ 8.81481481 42.18518519] ; [ 5.18518519 24.81481481],0
d4,1,0.943862,0.004959,[35 16] ; [19  9],[34.86075949 16.13924051] ; [19.13924051  8.86075949],0
n5,1,0.94441,0.004862,[20 31] ; [12 18],[20.14814815 30.85185185] ; [11.85185185 18.14814815],0
n1,1,0.970323,0.001384,[11 15] ; [5 7],[10.94736842 15.05263158] ; [5.05263158 6.94736842],0
d2,1,0.981352,0.000546,[23 28] ; [13 16],[22.95 28.05] ; [13.05 15.95],0
v2,1,0.984888,0.000359,[17 32] ; [10 19],[16.96153846 32.03846154] ; [10.03846154 18.96153846],0
b4,1,0.986275,0.000296,[29 22] ; [17 13],[28.96296296 22.03703704] ; [17.03703704 12.96296296],0
