Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.3e-05,17.910233,[ 6 41] ; [7 2],[10.91071429 36.08928571] ; [2.08928571 6.91071429],1
r4,1,0.000776,11.296641,[ 3 49] ; [4 5],[ 5.96721311 46.03278689] ; [1.03278689 7.96721311],1
s3,1,0.002354,9.251005,[ 9 40] ; [6 3],[12.67241379 36.32758621] ; [2.32758621 6.67241379],0
p11,1,0.008114,7.008149,[12 40] ; [6 3],[15.3442623 36.6557377] ; [2.6557377 6.3442623],0
s2,1,0.013819,6.061153,[ 6 46] ; [4 5],[ 8.52459016 43.47540984] ; [1.47540984 7.52459016],0
p8,1,0.014354,5.99411,[13 38] ; [6 3],[16.15 34.85] ; [2.85 6.15],0
r1,1,0.01506,5.909411,[18 34] ; [7 2],[21.31147541 30.68852459] ; [3.68852459 5.31147541],0
p10,1,0.017153,5.680672,[18 33] ; [7 2],[21.25 29.75] ; [3.75 5.25],0
p9,1,0.022294,5.22267,[18 31] ; [7 2],[21.12068966 27.87931034] ; [3.87931034 5.12068966],0
n2,1,0.03524,4.433498,[12 17] ; [6 1],[14.5 14.5] ; [3.5 3.5],0
n6,1,0.055202,3.67598,[22 29] ; [7 2],[24.65 26.35] ; [4.35 4.65],0
p6,1,0.055561,3.665158,[ 5 46] ; [3 6],[ 6.8 44.2] ; [1.2 7.8],0
p2,1,0.057927,3.59577,[17 34] ; [6 3],[19.55 31.45] ; [3.45 5.55],0
s6,1,0.066432,3.369045,[ 9 43] ; [4 5],[11.08196721 40.91803279] ; [1.91803279 7.08196721],0
p4,1,0.069581,3.292873,[13 38] ; [5 4],[15.3 35.7] ; [2.7 6.3],0
p5,1,0.107694,2.587745,[ 3 47] ; [2 7],[ 4.23728814 45.76271186] ; [0.76271186 8.23728814],0
r2,1,0.116703,2.461023,[31 19] ; [8 1],[33.05084746 16.94915254] ; [5.94915254 3.05084746],0
n1,1,0.15291,2.042978,[12 17] ; [5 2],[13.69444444 15.30555556] ; [3.30555556 3.69444444],0
n5,1,0.159774,1.976362,[34 18] ; [8 1],[35.80327869 16.19672131] ; [6.19672131 2.80327869],0
b4,1,0.18011,1.796713,[28 24] ; [7 2],[29.83606557 22.16393443] ; [5.16393443 3.83606557],0
d2,1,0.202147,1.626794,[17 34] ; [5 4],[18.7 32.3] ; [3.3 5.7],0
d3,1,0.213355,1.548512,[23 29] ; [6 3],[24.72131148 27.27868852] ; [4.27868852 4.72131148],0
u2,1,0.214728,1.539263,[ 7 16] ; [2 1],[ 7.96153846 15.03846154] ; [1.03846154 1.96153846],0
n4,1,0.215148,1.536441,[29 23] ; [7 2],[30.68852459 21.31147541] ; [5.31147541 3.68852459],0
b1,1,0.280916,1.162655,[33 19] ; [4 5],[31.54098361 20.45901639] ; [5.45901639 3.54098361],0
a5,1,0.303029,1.060815,[25 27] ; [6 3],[26.42622951 25.57377049] ; [4.57377049 4.42622951],0
v3,1,0.308848,1.035595,[11 41] ; [3 5],[12.13333333 39.86666667] ; [1.86666667 6.13333333],0
p12,1,0.352079,0.86595,[ 2 50] ; [1 8],[ 2.55737705 49.44262295] ; [0.44262295 8.55737705],0
a7,1,0.395477,0.722037,[21 31] ; [5 4],[22.16393443 29.83606557] ; [3.83606557 5.16393443],0
b2,1,0.447086,0.57803,[15 19] ; [2 5],[14.09756098 19.90243902] ; [2.90243902 4.09756098],0
b3,1,0.447086,0.57803,[15 19] ; [2 5],[14.09756098 19.90243902] ; [2.90243902 4.09756098],0
n3,1,0.503623,0.447293,[14 15] ; [2 4],[13.25714286 15.74285714] ; [2.74285714 3.25714286],0
a6,1,0.529035,0.396245,[23 29] ; [5 4],[23.86885246 28.13114754] ; [4.13114754 4.86885246],0
d5,1,0.529035,0.396245,[29 23] ; [4 5],[28.13114754 23.86885246] ; [4.86885246 4.13114754],0
v1,1,0.603707,0.269441,[16 36] ; [2 7],[15.3442623 36.6557377] ; [2.6557377 6.3442623],0
p3,1,0.623743,0.240642,[13 38] ; [3 6],[13.6 37.4] ; [2.4 6.6],0
a3,1,0.626087,0.237405,[29 21] ; [6 3],[29.66101695 20.33898305] ; [5.33898305 3.66101695],0
s4,1,0.642926,0.214936,[ 9 43] ; [1 8],[ 8.52459016 43.47540984] ; [1.47540984 7.52459016],0
p7,1,0.645599,0.211494,[17 33] ; [3 4],[17.54385965 32.45614035] ; [2.45614035 4.54385965],0
b5,1,0.678617,0.171687,[25 27] ; [5 4],[25.57377049 26.42622951] ; [4.42622951 4.57377049],0
v2,1,0.724634,0.124096,[10 41] ; [2 6],[10.37288136 40.62711864] ; [1.62711864 6.37288136],0
d4,1,0.840329,0.040591,[27 25] ; [5 4],[27.27868852 24.72131148] ; [4.72131148 4.27868852],0
d1,1,0.878112,0.02352,[16 36] ; [3 6],[16.19672131 35.80327869] ; [2.80327869 6.19672131],0
u3,1,0.918512,0.010467,[ 7 16] ; [1 2],[ 7.07692308 15.92307692] ; [0.92307692 2.07692308],0
a4,1,0.937186,0.006211,[16 34] ; [3 6],[16.10169492 33.89830508] ; [2.89830508 6.10169492],0
a2,1,0.970374,0.001379,[ 6 46] ; [1 8],[ 5.96721311 46.03278689] ; [1.03278689 7.96721311],0
