Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,74.364024,[ 4 41] ; [205  69],[29.48275862 15.51724138] ; [179.51724138  94.48275862],1
d5,1,0.0,39.390791,[23 22] ; [243  31],[37.52351097  7.47648903] ; [228.47648903  45.52351097],1
d3,1,0.0,27.554914,[18 27] ; [213  61],[32.5862069 12.4137931] ; [198.4137931  75.5862069],1
d2,1,8.8e-05,15.382889,[13 32] ; [165 109],[25.10971787 19.89028213] ; [152.89028213 121.10971787],1
a3,1,0.000126,14.694516,[28 17] ; [234  39],[37.0754717  7.9245283] ; [224.9245283  48.0754717],1
a2,1,0.000529,12.009072,[ 3 42] ; [ 87 187],[12.69592476 32.30407524] ; [ 77.30407524 196.69592476],1
a4,1,0.000673,11.563402,[12 33] ; [148 126],[22.57053292 22.42946708] ; [137.42946708 136.57053292],1
u1,1,0.001487,10.094331,[ 2 43] ; [ 71 203],[10.29780564 34.70219436] ; [ 62.70219436 211.29780564],0
u2,1,0.011323,6.413953,[ 7 10] ; [29  9],[11.12727273  5.87272727] ; [24.87272727 13.12727273],0
r1,1,0.018861,5.514317,[32 12] ; [237  37],[37.22012579  6.77987421] ; [231.77987421  42.22012579],0
b2,1,0.022538,5.203759,[ 7 25] ; [ 83 109],[12.85714286 19.14285714] ; [ 77.14285714 114.85714286],0
b3,1,0.022538,5.203759,[ 7 25] ; [ 83 109],[12.85714286 19.14285714] ; [ 77.14285714 114.85714286],0
p9,1,0.029967,4.711207,[36  9] ; [247  25],[40.17350158  4.82649842] ; [242.82649842  29.17350158],0
v2,1,0.031018,4.651974,[20 24] ; [166  99],[26.48543689 17.51456311] ; [159.51456311 105.48543689],0
a7,1,0.041015,4.175411,[25 20] ; [194  80],[30.89341693 14.10658307] ; [188.10658307  85.89341693],0
r3,1,0.0528,3.750244,[41  4] ; [264   8],[43.29652997  1.70347003] ; [261.70347003  10.29652997],0
a5,1,0.053939,3.714598,[30 15] ; [218  56],[34.98432602 10.01567398] ; [213.01567398  60.98432602],0
p3,1,0.058982,3.565781,[19 25] ; [160 114],[24.7672956 19.2327044] ; [154.2327044 119.7672956],0
p1,1,0.074026,3.191409,[ 9 36] ; [ 29 243],[ 5.39432177 39.60567823] ; [ 32.60567823 239.39432177],0
s6,1,0.087649,2.917022,[36  7] ; [248  22],[39.01597444  3.98402556] ; [244.98402556  25.01597444],0
p12,1,0.143264,2.142544,[ 2 43] ; [ 32 241],[ 4.81132075 40.18867925] ; [ 29.18867925 243.81132075],0
u3,1,0.151115,2.06096,[10  7] ; [31  9],[12.22807018  4.77192982] ; [28.77192982 11.22807018],0
p11,1,0.208505,1.581778,[33 12] ; [223  51],[36.11285266  8.88714734] ; [219.88714734  54.11285266],0
a1,1,0.226863,1.460423,[ 1 44] ; [ 19 255],[ 2.82131661 42.17868339] ; [ 17.17868339 256.82131661],0
b4,1,0.232541,1.425249,[22 23] ; [160 114],[25.67398119 19.32601881] ; [156.32601881 117.67398119],0
p8,1,0.234687,1.412228,[22 23] ; [157 112],[25.65286624 19.34713376] ; [153.34713376 115.65286624],0
s5,1,0.235572,1.406897,[18 26] ; [130 127],[21.6345515 22.3654485] ; [126.3654485 130.6345515],0
r2,1,0.261758,1.259438,[42  2] ; [265   5],[43.01910828  0.98089172] ; [263.98089172   6.01910828],0
r4,1,0.285452,1.140949,[39  6] ; [251  23],[40.90909091  4.09090909] ; [249.09090909  24.90909091],0
n4,1,0.289436,1.122243,[35  9] ; [234  39],[37.33753943  6.66246057] ; [231.66246057  41.33753943],0
s4,1,0.293588,1.103092,[14 31] ; [ 65 208],[11.17924528 33.82075472] ; [ 67.82075472 205.17924528],0
