Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,67.440582,[500  69] ; [93 64],[464.76170799 104.23829201] ; [128.23829201  28.76170799],1
p9,1,0.0,50.269505,[512  57] ; [104  51],[484.12154696  84.87845304] ; [131.87845304  23.12154696],1
r3,1,0.0,37.02197,[565  10] ; [140  20],[551.53061224  23.46938776] ; [153.46938776   6.53061224],1
p2,1,0.0,33.684895,[502  69] ; [110  50],[478.04651163  92.95348837] ; [133.95348837  26.04651163],1
r4,1,0.0,27.609849,[544  32] ; [132  30],[527.6097561  48.3902439] ; [148.3902439  13.6097561],1
p7,1,0.0,27.46102,[381 174] ; [72 85],[353.11095506 201.88904494] ; [99.88904494 57.11095506],1
p8,1,0.0,27.413055,[328 237] ; [ 55 104],[298.88812155 266.11187845] ; [84.11187845 74.88812155],1
n4,1,0.0,27.259153,[463 111] ; [98 63],[438.11428571 135.88571429] ; [122.88571429  38.11428571],1
n5,1,1e-06,23.558834,[442 128] ; [94 67],[417.94801642 152.05198358] ; [118.05198358  42.94801642],1
n6,1,5e-06,20.942089,[501  72] ; [116  44],[482.32060027  90.67939973] ; [134.67939973  25.32060027],1
p4,1,7e-06,20.284037,[369 201] ; [71 87],[344.50549451 225.49450549] ; [95.49450549 62.50549451],1
b1,1,0.000925,10.971291,[202 374] ; [80 82],[220.09756098 355.90243902] ; [ 61.90243902 100.09756098],1
v1,1,0.004905,7.914243,[324 233] ; [73 87],[308.40864714 248.59135286] ; [88.59135286 71.40864714],0
a5,1,0.009864,6.659334,[451 125] ; [111  51],[438.63414634 137.36585366] ; [123.36585366  38.63414634],0
p12,1,0.010446,6.557201,[ 53 515] ; [  5 155],[ 45.25274725 522.74725275] ; [ 12.74725275 147.25274725],0
p3,1,0.021516,5.284481,[301 273] ; [67 92],[288.17462483 285.82537517] ; [79.82537517 79.17462483],0
s4,1,0.027408,4.864923,[ 88 478] ; [ 37 124],[ 97.31774415 468.68225585] ; [ 27.68225585 133.31774415],0
a8,1,0.02855,4.794521,[ 77 451] ; [ 11 133],[ 69.14285714 458.85714286] ; [ 18.85714286 125.14285714],0
s1,1,0.029785,4.721673,[ 13 554] ; [  9 151],[ 17.15818432 549.84181568] ; [  4.84181568 155.15818432],0
b5,1,0.044783,4.026786,[341 235] ; [110  52],[352. 224.] ; [99. 63.],0
v2,1,0.045655,3.994277,[333 220] ; [80 76],[322.12834979 230.87165021] ; [90.87165021 65.12834979],0
s8,1,0.045853,3.986969,[273 300] ; [62 98],[261.87585266 311.12414734] ; [73.12414734 86.87585266],0
p6,1,0.046788,3.952993,[221 342] ; [ 48 109],[210.34305556 352.65694444] ; [58.65694444 98.34305556],0
d2,1,0.05896,3.566393,[292 282] ; [96 66],[302.59782609 271.40217391] ; [85.40217391 76.59782609],0
a6,1,0.07945,3.076126,[407 168] ; [103  59],[397.89687924 177.10312076] ; [112.10312076  49.89687924],0
p5,1,0.089411,2.884944,[ 70 499] ; [ 12 148],[ 64.00274348 504.99725652] ; [ 17.99725652 142.00274348],0
v3,1,0.103517,2.650511,[232 319] ; [ 54 101],[223.20963173 327.79036827] ; [62.79036827 92.20963173],0
b2,1,0.128032,2.316201,[151 211] ; [26 54],[144.9638009 217.0361991] ; [32.0361991 47.9638009],0
b3,1,0.128032,2.316201,[151 211] ; [26 54],[144.9638009 217.0361991] ; [32.0361991 47.9638009],0
s3,1,0.150119,2.071041,[329 239] ; [83 78],[321.00960219 246.99039781] ; [90.99039781 70.00960219],0
r2,1,0.154968,2.022651,[549  21] ; [150  10],[545.79452055  24.20547945] ; [153.20547945   6.79452055],0
n1,1,0.210921,1.565095,[37 73] ; [26 34],[40.76470588 69.23529412] ; [22.23529412 37.76470588],0
u2,1,0.251131,1.317,[91 50] ; [23 19],[87.83606557 53.16393443] ; [26.16393443 15.83606557],0
a4,1,0.26159,1.260322,[273 302] ; [85 77],[279.30800543 295.69199457] ; [78.69199457 83.30800543],0
r1,1,0.31127,1.02528,[477  98] ; [128  33],[472.65625 102.34375] ; [132.34375  28.65625],0
n2,1,0.339516,0.912257,[82 28] ; [42 20],[79.30232558 30.69767442] ; [44.69767442 17.30232558],0
a2,1,0.372453,0.795464,[147 429] ; [ 47 115],[151.41463415 424.58536585] ; [ 42.58536585 119.41463415],0
d5,1,0.453837,0.561052,[503  73] ; [145  17],[505.75609756  70.24390244] ; [142.24390244  19.75609756],0
a3,1,0.543355,0.369357,[434 141] ; [117  43],[431.05442177 143.94557823] ; [119.94557823  40.05442177],0
s7,1,0.565779,0.329797,[282 275] ; [71 77],[278.89503546 278.10496454] ; [74.10496454 73.89503546],0
