Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.5e-05,17.110079,[16 27] ; [52 16],[26.34234234 16.65765766] ; [41.65765766 26.34234234],1
p7,1,0.009604,6.706965,[23 20] ; [19 47],[16.56880734 26.43119266] ; [25.43119266 40.56880734],0
v1,1,0.015615,5.845773,[10 31] ; [32 35],[15.94444444 25.05555556] ; [26.05555556 40.94444444],0
d2,1,0.019628,5.444652,[ 5 38] ; [21 47],[10.07207207 32.92792793] ; [15.92792793 52.07207207],0
p10,1,0.024949,5.027443,[17 26] ; [40 25],[22.69444444 20.30555556] ; [34.30555556 30.69444444],0
p3,1,0.028642,4.78901,[13 30] ; [ 9 59],[ 8.52252252 34.47747748] ; [13.47747748 54.52252252],0
v4,1,0.053069,3.741756,[39  4] ; [51 16],[35.18181818  7.81818182] ; [54.81818182 12.18181818],0
p2,1,0.078582,3.093993,[30 13] ; [36 32],[25.56756757 17.43243243] ; [40.43243243 27.56756757],0
r3,1,0.110602,2.545596,[38  5] ; [51 16],[34.79090909  8.20909091] ; [54.20909091 12.79090909],0
n3,1,0.125914,2.342176,[11  2] ; [17 11],[8.87804878 4.12195122] ; [19.12195122  8.87804878],0
s7,1,0.162587,1.95,[ 7 33] ; [19 45],[10. 30.] ; [16. 48.],0
a2,1,0.170057,1.882441,[ 1 42] ; [ 6 62],[ 2.71171171 40.28828829] ; [ 4.28828829 63.71171171],0
n1,1,0.171857,1.866667,[ 3 11] ; [12 16],[5. 9.] ; [10. 18.],0
a5,1,0.188913,1.726078,[13 30] ; [29 39],[16.27027027 26.72972973] ; [25.72972973 42.27027027],0
d4,1,0.192835,1.695822,[26 17] ; [32 35],[22.67272727 20.32727273] ; [35.32727273 31.67272727],0
u2,1,0.198945,1.650106,[11  9] ; [13 22],[ 8.72727273 11.27272727] ; [15.27272727 19.72727273],0
s6,1,0.205983,1.599439,[15 28] ; [32 36],[18.20720721 24.79279279] ; [28.79279279 39.20720721],0
s1,1,0.233304,1.420604,[ 1 42] ; [ 5 60],[ 2.38888889 40.61111111] ; [ 3.61111111 61.38888889],0
p11,1,0.244501,1.354452,[30 13] ; [40 28],[27.11711712 15.88288288] ; [42.88288288 25.11711712],0
p5,1,0.246989,1.340258,[ 1 42] ; [ 5 62],[ 2.34545455 40.65454545] ; [ 3.65454545 63.34545455],0
d1,1,0.253833,1.302086,[ 1 42] ; [ 5 63],[ 2.32432432 40.67567568] ; [ 3.67567568 64.32432432],0
b5,1,0.255185,1.294694,[25 18] ; [32 36],[22.08108108 20.91891892] ; [34.91891892 33.08108108],0
r1,1,0.287812,1.129828,[29 14] ; [39 29],[26.34234234 16.65765766] ; [41.65765766 26.34234234],0
s8,1,0.353558,0.860646,[10 33] ; [11 57],[ 8.13513514 34.86486486] ; [12.86486486 55.13513514],0
r4,1,0.358771,0.84219,[32 11] ; [45 23],[29.82882883 13.17117117] ; [47.17117117 20.82882883],0
b2,1,0.419804,0.650863,[ 8 18] ; [17 25],[ 9.55882353 16.44117647] ; [15.44117647 26.55882353],0
b3,1,0.419804,0.650863,[ 8 18] ; [17 25],[ 9.55882353 16.44117647] ; [15.44117647 26.55882353],0
b1,1,0.436757,0.604788,[17 26] ; [32 36],[18.98198198 24.01801802] ; [30.01801802 37.98198198],0
p4,1,0.46064,0.544338,[13 30] ; [16 51],[11.33636364 31.66363636] ; [17.66363636 49.33636364],0
a4,1,0.494038,0.46772,[10 33] ; [12 55],[ 8.6 34.4] ; [13.4 53.6],0
n6,1,0.525166,0.403737,[27 16] ; [46 21],[28.53636364 14.46363636] ; [44.46363636 22.53636364],0
