Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,125.689424,[511   9] ; [32 19],[494.50087566  25.49912434] ; [48.49912434  2.50087566],1
r3,1,0.0,115.486363,[513   7] ; [38 18],[497.43055556  22.56944444] ; [53.56944444  2.43055556],1
r1,1,0.0,105.860907,[457  63] ; [19 38],[428.97746967  91.02253033] ; [47.02253033  9.97746967],1
v4,1,0.0,66.869686,[511  11] ; [40 14],[499.34375  22.65625] ; [51.65625  2.34375],1
n6,1,0.0,29.981601,[447  73] ; [32 24],[432.43055556  87.56944444] ; [46.56944444  9.43055556],1
p2,1,1e-06,24.411152,[448  72] ; [36 23],[434.68048359  85.31951641] ; [49.31951641  9.68048359],1
p4,1,1e-05,19.436895,[329 189] ; [20 39],[313.31369151 204.68630849] ; [35.68630849 23.31369151],1
p9,1,4.2e-05,16.798254,[441  72] ; [37 20],[430.2  82.8] ; [47.8  9.2],1
p10,1,4.8e-05,16.543428,[430  87] ; [34 22],[418.65270506  98.34729494] ; [45.34729494 10.65270506],1
n5,1,5.6e-05,16.249822,[384 136] ; [27 29],[371.04166667 148.95833333] ; [39.95833333 16.04166667],1
n4,1,7.2e-05,15.752737,[405 116] ; [32 27],[392.54655172 128.45344828] ; [44.45344828 14.54655172],1
p11,1,0.000121,14.780072,[416 106] ; [34 25],[404.30292599 117.69707401] ; [45.69707401 13.30292599],1
s6,1,0.000333,12.877315,[360 154] ; [26 30],[348.07719298 165.92280702] ; [37.92280702 18.07719298],1
p7,1,0.000957,10.909207,[323 184] ; [23 33],[311.58436945 195.41563055] ; [34.41563055 21.58436945],1
s8,1,0.001026,10.779775,[233 286] ; [13 45],[221.27209705 297.72790295] ; [24.72790295 33.27209705],0
a5,1,0.004791,7.956794,[405 117] ; [36 23],[396.21686747 125.78313253] ; [44.78313253 14.21686747],0
p8,1,0.00864,6.895781,[280 235] ; [21 37],[270.53228621 244.46771379] ; [30.46771379 27.53228621],0
s2,1,0.009049,6.813112,[280 238] ; [20 36],[270.73170732 247.26829268] ; [29.26829268 26.73170732],0
v1,1,0.009203,6.783006,[279 230] ; [20 35],[269.84219858 239.15780142] ; [29.15780142 25.84219858],0
p6,1,0.010503,6.547444,[197 318] ; [12 45],[188.17307692 326.82692308] ; [20.82692308 36.17307692],0
a6,1,0.023691,5.117142,[419 102] ; [40 19],[412.30862069 108.69137931] ; [46.69137931 12.30862069],0
