Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,25.218107,[158  12] ; [61 27],[144.30232558  25.69767442] ; [74.69767442 13.30232558],1
p2,1,2.2e-05,17.981096,[136  35] ; [49 41],[121.20689655  49.79310345] ; [63.79310345 26.20689655],1
p9,1,2.7e-05,17.630766,[136  34] ; [46 38],[121.81102362  48.18897638] ; [60.18897638 23.81102362],1
p10,1,4e-05,16.864156,[128  41] ; [42 42],[113.55731225  55.44268775] ; [56.44268775 27.55731225],1
r4,1,5.2e-05,16.388107,[141  31] ; [53 37],[127.35877863  44.64122137] ; [66.64122137 23.35877863],1
v4,1,8.3e-05,15.497099,[155  12] ; [67 22],[144.8203125  22.1796875] ; [77.1796875 11.8203125],1
b1,1,0.000131,14.621174,[ 52 120] ; [49 41],[ 66.30534351 105.69465649] ; [34.69465649 55.30534351],1
n6,1,0.000959,10.905391,[132  38] ; [51 37],[120.58139535  49.41860465] ; [62.41860465 25.58139535],1
p8,1,0.006536,7.39634,[ 68 102] ; [20 67],[ 58.21011673 111.78988327] ; [29.78988327 57.21011673],0
n3,1,0.015368,5.873773,[40 11] ; [20 17],[34.77272727 16.22727273] ; [25.22727273 11.77272727],0
s6,1,0.025921,4.961288,[99 69] ; [39 49],[90.5625 77.4375] ; [47.4375 40.5625],0
s1,1,0.029301,4.749846,[  6 162] ; [ 9 78],[  9.88235294 158.11764706] ; [ 5.11764706 81.88235294],0
a1,1,0.034225,4.483422,[  5 167] ; [ 8 82],[  8.53435115 163.46564885] ; [ 4.46564885 85.53435115],0
b4,1,0.050921,3.810865,[102  70] ; [42 48],[94.53435115 77.46564885] ; [49.46564885 40.53435115],0
u3,1,0.058806,3.570745,[42 37] ; [16 29],[36.9516129 42.0483871] ; [21.0483871 23.9516129],0
a6,1,0.064378,3.420849,[99 73] ; [41 49],[91.90839695 80.09160305] ; [48.09160305 41.90839695],0
p7,1,0.067806,3.33534,[82 82] ; [33 54],[75.13944223 88.86055777] ; [39.86055777 47.13944223],0
s3,1,0.08222,3.020465,[86 82] ; [35 53],[79.40625 88.59375] ; [41.59375 46.40625],0
u2,1,0.085193,2.962939,[43 35] ; [18 28],[38.37096774 39.62903226] ; [22.62903226 23.37096774],0
n2,1,0.088094,2.908856,[43  8] ; [27 12],[39.66666667 11.33333333] ; [30.33333333  8.66666667],0
r1,1,0.088445,2.902446,[118  54] ; [51 37],[111.8  60.2] ; [57.2 30.8],0
p12,1,0.096488,2.762647,[  9 160] ; [ 1 88],[  6.5503876 162.4496124] ; [ 3.4496124 85.5503876],0
d4,1,0.107075,2.596866,[102  70] ; [44 46],[95.84732824 76.15267176] ; [50.15267176 39.84732824],0
d3,1,0.117563,2.449494,[78 94] ; [31 57],[72.10769231 99.89230769] ; [36.89230769 51.10769231],0
