Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.011856,6.332237,[2 7] ; [17  7],[5.18181818 3.81818182] ; [13.81818182 10.18181818],0
p11,1,0.064794,3.410218,[1 8] ; [11 13],[3.27272727 5.72727273] ; [ 8.72727273 15.27272727],0
s4,1,0.074447,3.182143,[3 6] ; [ 2 22],[1.36363636 7.63636364] ; [ 3.63636364 20.36363636],0
b3,1,0.096791,2.757639,[1 5] ; [9 7],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
b2,1,0.096791,2.757639,[1 5] ; [9 7],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
a3,1,0.124362,2.361504,[2 6] ; [13 10],[3.87096774 4.12903226] ; [11.12903226 11.87096774],0
a5,1,0.150451,2.067669,[2 7] ; [12 12],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
n2,1,0.18262,1.776169,[2 4] ; [11  6],[3.39130435 2.60869565] ; [9.60869565 7.39130435],0
n3,1,0.221099,1.497222,[2 4] ; [10  6],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
s1,1,0.276271,1.185345,[2 7] ; [ 2 22],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
d5,1,0.281077,1.161875,[1 8] ; [ 7 17],[2.18181818 6.81818182] ; [ 5.81818182 18.18181818],0
n6,1,0.286201,1.137408,[3 6] ; [13 11],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
b5,1,0.349963,0.87359,[5 4] ; [ 9 15],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
d3,1,0.384742,0.755495,[1 8] ; [ 6 18],[1.90909091 7.09090909] ; [ 5.09090909 18.90909091],0
s3,1,0.396563,0.718722,[3 6] ; [ 4 17],[2.1 6.9] ; [ 4.9 16.1],0
p7,1,0.407016,0.6875,[4 5] ; [ 7 17],[3. 6.] ; [ 8. 16.],0
a7,1,0.407016,0.6875,[2 7] ; [ 9 15],[3. 6.] ; [ 8. 16.],0
d2,1,0.407016,0.6875,[2 7] ; [ 9 15],[3. 6.] ; [ 8. 16.],0
r1,1,0.407016,0.6875,[2 7] ; [ 9 15],[3. 6.] ; [ 8. 16.],0
s7,1,0.428539,0.626779,[1 7] ; [ 6 17],[1.80645161 6.19354839] ; [ 5.19354839 17.80645161],0
p12,1,0.456511,0.554435,[1 8] ; [ 1 23],[0.54545455 8.45454545] ; [ 1.45454545 22.54545455],0
a2,1,0.456511,0.554435,[1 8] ; [ 1 23],[0.54545455 8.45454545] ; [ 1.45454545 22.54545455],0
a6,1,0.517585,0.418703,[3 6] ; [11 13],[3.81818182 5.18181818] ; [10.18181818 13.81818182],0
p1,1,0.518992,0.415895,[1 8] ; [ 5 19],[1.63636364 7.36363636] ; [ 4.36363636 19.63636364],0
p6,1,0.600991,0.273504,[1 7] ; [ 5 19],[1.5 6.5] ; [ 4.5 19.5],0
b1,1,0.618698,0.247702,[4 5] ; [13 11],[4.63636364 4.36363636] ; [12.36363636 11.63636364],0
n5,1,0.691801,0.157143,[8 1] ; [20  4],[7.63636364 1.36363636] ; [20.36363636  3.63636364],0
a1,1,0.691801,0.157143,[1 8] ; [ 4 20],[1.36363636 7.63636364] ; [ 3.63636364 20.36363636],0
p3,1,0.691801,0.157143,[1 8] ; [ 4 20],[1.36363636 7.63636364] ; [ 3.63636364 20.36363636],0
n1,1,0.707787,0.140498,[3 3] ; [10  7],[3.39130435 2.60869565] ; [9.60869565 7.39130435],0
u2,1,0.73244,0.116883,[2 5] ; [4 7],[2.33333333 4.66666667] ; [3.66666667 7.33333333],0
p2,1,0.776105,0.080882,[4 5] ; [12 12],[4.36363636 4.63636364] ; [11.63636364 12.36363636],0
s6,1,0.820422,0.05153,[2 7] ; [ 6 17],[2.25 6.75] ; [ 5.75 17.25],0
n4,1,0.86829,0.0275,[7 2] ; [18  6],[6.81818182 2.18181818] ; [18.18181818  5.81818182],0
p4,1,0.86829,0.0275,[2 7] ; [ 6 18],[2.18181818 6.81818182] ; [ 5.81818182 18.18181818],0
s5,1,0.913303,0.011853,[1 8] ; [ 3 21],[1.09090909 7.90909091] ; [ 2.90909091 21.09090909],0
s2,1,0.930736,0.007555,[2 7] ; [ 5 19],[1.90909091 7.09090909] ; [ 5.09090909 18.90909091],0
b4,1,0.943109,0.005093,[5 4] ; [13 11],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
v2,1,0.968494,0.00156,[1 7] ; [ 3 20],[1.03225806 6.96774194] ; [ 2.96774194 20.03225806],0
a4,1,0.976289,0.000883,[2 7] ; [ 5 18],[1.96875 7.03125] ; [ 5.03125 17.96875],0
