Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,2e-06,22.712358,[ 8 36] ; [11  1],[14.92857143 29.07142857] ; [4.07142857 7.92857143],1
p6,1,0.000132,14.609763,[ 1 45] ; [5 8],[ 4.6779661 41.3220339] ; [ 1.3220339 11.6779661],1
s7,1,0.003106,8.74421,[ 7 36] ; [7 5],[10.94545455 32.05454545] ; [3.05454545 8.94545455],0
s6,1,0.003172,8.705627,[ 9 37] ; [8 5],[13.25423729 32.74576271] ; [3.74576271 9.25423729],0
s4,1,0.00773,7.094926,[ 6 41] ; [6 7],[ 9.4 37.6] ; [ 2.6 10.4],0
b5,1,0.013486,6.104162,[18 29] ; [10  3],[21.93333333 25.06666667] ; [6.06666667 6.93333333],0
s1,1,0.015345,5.876364,[ 3 44] ; [4 9],[ 5.48333333 41.51666667] ; [ 1.51666667 11.48333333],0
s8,1,0.019216,5.481793,[ 5 41] ; [5 8],[ 7.79661017 38.20338983] ; [ 2.20338983 10.79661017],0
n6,1,0.023313,5.145064,[19 27] ; [10  3],[22.61016949 23.38983051] ; [6.38983051 6.61016949],0
p2,1,0.02646,4.925682,[16 30] ; [9 4],[19.49152542 26.50847458] ; [5.50847458 7.49152542],0
s5,1,0.039737,4.229098,[ 7 40] ; [5 7],[ 9.55932203 37.44067797] ; [2.44067797 9.55932203],0
u3,1,0.044268,4.046306,[ 5 16] ; [3 1],[ 6.72 14.28] ; [1.28 2.72],0
p11,1,0.052092,3.772809,[12 35] ; [7 6],[14.88333333 32.11666667] ; [4.11666667 8.88333333],0
r4,1,0.072004,3.236738,[ 5 42] ; [4 9],[ 7.05 39.95] ; [ 1.95 11.05],0
p4,1,0.072622,3.222735,[10 37] ; [6 7],[12.53333333 34.46666667] ; [3.46666667 9.53333333],0
b1,1,0.100583,2.696282,[30 17] ; [5 8],[27.41666667 19.58333333] ; [7.58333333 5.41666667],0
v1,1,0.150993,2.062193,[12 35] ; [6 7],[14.1 32.9] ; [3.9 9.1],0
v3,1,0.19044,1.714213,[ 7 40] ; [4 9],[ 8.61666667 38.38333333] ; [ 2.38333333 10.61666667],0
p8,1,0.238867,1.387266,[10 35] ; [5 8],[11.63793103 33.36206897] ; [3.36206897 9.63793103],0
v4,1,0.243896,1.357933,[24 23] ; [9 4],[25.85 21.15] ; [7.15 5.85],0
p9,1,0.244171,1.356352,[19 25] ; [8 5],[20.84210526 23.15789474] ; [6.15789474 6.84210526],0
n4,1,0.250624,1.319822,[28 19] ; [10  3],[29.76666667 17.23333333] ; [8.23333333 4.76666667],0
n3,1,0.324534,0.970588,[12 15] ; [4 2],[13.09090909 13.90909091] ; [2.90909091 3.09090909],0
d5,1,0.347164,0.883797,[25 22] ; [5 8],[23.5 23.5] ; [6.5 6.5],0
a5,1,0.367869,0.810849,[26 21] ; [9 4],[27.41666667 19.58333333] ; [7.58333333 5.41666667],0
n2,1,0.368261,0.809524,[13 15] ; [4 2],[14. 14.] ; [3. 3.],0
b4,1,0.387447,0.74694,[28 19] ; [6 7],[26.63333333 20.36666667] ; [7.36666667 5.63333333],0
p10,1,0.387447,0.74694,[19 28] ; [7 6],[20.36666667 26.63333333] ; [5.63333333 7.36666667],0
u2,1,0.399765,0.709034,[ 6 15] ; [2 2],[ 6.72 14.28] ; [1.28 2.72],0
a1,1,0.404435,0.6951,[ 8 39] ; [ 1 12],[ 7.05 39.95] ; [ 1.95 11.05],0
r1,1,0.442729,0.589198,[20 27] ; [4 9],[18.8 28.2] ; [5.2 7.8],0
a3,1,0.457146,0.552874,[26 19] ; [9 4],[27.15517241 17.84482759] ; [7.84482759 5.15517241],0
n1,1,0.45794,0.550926,[14 14] ; [2 4],[13.17647059 14.82352941] ; [2.82352941 3.17647059],0
b3,1,0.537471,0.380247,[11 22] ; [4 5],[11.78571429 21.21428571] ; [3.21428571 5.78571429],0
b2,1,0.537471,0.380247,[11 22] ; [4 5],[11.78571429 21.21428571] ; [3.21428571 5.78571429],0
d1,1,0.538262,0.37877,[15 32] ; [ 3 10],[14.1 32.9] ; [3.9 9.1],0
a7,1,0.592366,0.286664,[22 25] ; [5 8],[21.15 25.85] ; [5.85 7.15],0
r2,1,0.611893,0.257428,[31 15] ; [9 3],[31.72413793 14.27586207] ; [8.27586207 3.72413793],0
p3,1,0.616168,0.25129,[11 35] ; [4 9],[11.69491525 34.30508475] ; [3.30508475 9.69491525],0
a6,1,0.653135,0.20197,[22 25] ; [7 6],[22.71666667 24.28333333] ; [6.28333333 6.71666667],0
p5,1,0.721448,0.127109,[ 5 40] ; [ 1 12],[ 4.65517241 40.34482759] ; [ 1.34482759 11.65517241],0
p7,1,0.764926,0.089412,[13 32] ; [4 8],[13.42105263 31.57894737] ; [3.57894737 8.42105263],0
d2,1,0.853825,0.033944,[19 27] ; [5 8],[18.71186441 27.28813559] ; [5.28813559 7.71186441],0
d3,1,0.858979,0.031568,[23 24] ; [6 7],[22.71666667 24.28333333] ; [6.28333333 6.71666667],0
a4,1,0.862253,0.030105,[15 30] ; [4 9],[14.74137931 30.25862069] ; [4.25862069 8.74137931],0
a2,1,0.924725,0.008927,[ 4 43] ; [ 1 12],[ 3.91666667 43.08333333] ; [ 1.08333333 11.91666667],0
d4,1,0.924725,0.008927,[26 21] ; [7 6],[25.85 21.15] ; [7.15 5.85],0
n5,1,0.937356,0.006177,[32 15] ; [9 4],[32.11666667 14.88333333] ; [8.88333333 4.11666667],0
p1,1,0.965,0.001925,[ 7 40] ; [ 2 11],[ 7.05 39.95] ; [ 1.95 11.05],0
