Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3e-06,22.135628,[12 26] ; [42 10],[22.8 15.2] ; [31.2 20.8],1
a5,1,0.00645,7.419948,[17 21] ; [38 14],[23.22222222 14.77777778] ; [31.77777778 20.22222222],0
a4,1,0.014007,6.037275,[ 8 30] ; [24 28],[13.51111111 24.48888889] ; [18.48888889 33.51111111],0
a2,1,0.021277,5.303948,[ 2 36] ; [12 40],[ 5.91111111 32.08888889] ; [ 8.08888889 43.91111111],0
p9,1,0.057563,3.606231,[25 12] ; [44  8],[28.68539326  8.31460674] ; [40.31460674 11.68539326],0
d2,1,0.064684,3.413022,[13 25] ; [28 24],[17.31111111 20.68888889] ; [23.68888889 28.31111111],0
n6,1,0.067969,3.331405,[26 12] ; [44  8],[29.55555556  8.44444444] ; [40.44444444 11.55555556],0
a6,1,0.071702,3.243612,[20 18] ; [37 15],[24.06666667 13.93333333] ; [32.93333333 19.06666667],0
p3,1,0.080538,3.054017,[12 26] ; [26 26],[16.04444444 21.95555556] ; [21.95555556 30.04444444],0
u1,1,0.084882,2.96886,[ 2 36] ; [ 9 43],[ 4.64444444 33.35555556] ; [ 6.35555556 45.64444444],0
s7,1,0.093243,2.81748,[17 20] ; [32 18],[20.83908046 16.16091954] ; [28.16091954 21.83908046],0
s8,1,0.098162,2.73516,[11 27] ; [24 28],[14.77777778 23.22222222] ; [20.22222222 31.77777778],0
s3,1,0.105566,2.619375,[23 15] ; [39 12],[26.47191011 11.52808989] ; [35.52808989 15.47191011],0
p11,1,0.119828,2.419563,[21 17] ; [37 15],[24.48888889 13.51111111] ; [33.51111111 18.48888889],0
r1,1,0.131278,2.277328,[22 16] ; [38 14],[25.33333333 12.66666667] ; [34.66666667 17.33333333],0
s6,1,0.135026,2.23375,[28 10] ; [44  7],[30.74157303  7.25842697] ; [41.25842697  9.74157303],0
a3,1,0.158356,1.989852,[20 18] ; [35 17],[23.22222222 14.77777778] ; [31.77777778 20.22222222],0
p10,1,0.166521,1.913991,[25 13] ; [41 11],[27.86666667 10.13333333] ; [38.13333333 13.86666667],0
r2,1,0.180313,1.795046,[36  2] ; [43  7],[34.11363636  3.88636364] ; [44.88636364  5.11363636],0
s1,1,0.18194,1.781708,[ 1 37] ; [ 5 46],[ 2.56179775 35.43820225] ; [ 3.43820225 47.56179775],0
p12,1,0.189563,1.721009,[ 1 37] ; [ 5 47],[ 2.53333333 35.46666667] ; [ 3.46666667 48.53333333],0
n1,1,0.19271,1.69678,[6 9] ; [ 3 13],[ 4.35483871 10.64516129] ; [ 4.64516129 11.35483871],0
v4,1,0.209539,1.57461,[34  4] ; [50  2],[35.46666667  2.53333333] ; [48.53333333  3.46666667],0
s2,1,0.296632,1.089276,[22 16] ; [35 16],[24.33707865 13.66292135] ; [32.66292135 18.33707865],0
p4,1,0.301071,1.069444,[17 21] ; [29 23],[19.42222222 18.57777778] ; [26.57777778 25.42222222],0
u2,1,0.379581,0.772059,[9 9] ; [11  6],[10.28571429  7.71428571] ; [9.71428571 7.28571429],0
a7,1,0.394141,0.726129,[26 11] ; [32 20],[24.11235955 12.88764045] ; [33.88764045 18.11235955],0
