Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2.3e-05,17.944748,[11 93] ; [15 20],[19.45323741 84.54676259] ; [ 6.54676259 28.45323741],1
s3,1,0.000142,14.477954,[30 72] ; [23 12],[39.45985401 62.54014599] ; [13.54014599 21.45985401],1
p10,1,0.000259,13.343808,[18 85] ; [17 18],[26.12318841 76.87681159] ; [ 8.87681159 26.12318841],1
s2,1,0.000485,12.171281,[21 81] ; [18 17],[29.03649635 72.96350365] ; [ 9.96350365 25.03649635],1
s6,1,0.000877,11.06986,[35 69] ; [23 12],[43.39568345 60.60431655] ; [14.60431655 20.39568345],1
v1,1,0.028755,4.782242,[27 77] ; [16 19],[32.17266187 71.82733813] ; [10.82733813 24.17266187],0
d5,1,0.036036,4.3954,[70 34] ; [30  5],[74.82014388 29.17985612] ; [25.17985612  9.82014388],0
v3,1,0.04083,4.18304,[27 73] ; [16 19],[31.85185185 68.14814815] ; [11.14814815 23.85185185],0
r3,1,0.053225,3.736845,[74 28] ; [31  4],[78.17518248 23.82481752] ; [26.82481752  8.17518248],0
p11,1,0.069592,3.292608,[44 60] ; [21 14],[48.63309353 55.36690647] ; [16.36690647 18.63309353],0
r1,1,0.073861,3.195066,[69 34] ; [29  6],[73.14492754 29.85507246] ; [24.85507246 10.14492754],0
d1,1,0.104407,2.636908,[43 61] ; [20 15],[47.13669065 56.86330935] ; [15.86330935 19.13669065],0
u1,1,0.104809,2.630803,[10 94] ; [ 7 28],[12.71942446 91.28057554] ; [ 4.28057554 30.71942446],0
v2,1,0.108809,2.571429,[36 64] ; [18 17],[40. 60.] ; [14. 21.],0
a2,1,0.12632,2.337157,[15 89] ; [ 9 26],[17.95683453 86.04316547] ; [ 6.04316547 28.95683453],0
d3,1,0.156749,2.005315,[51 53] ; [22 13],[54.61870504 49.38129496] ; [18.38129496 16.61870504],0
n4,1,0.161101,1.963858,[63 40] ; [26  9],[66.42753623 36.57246377] ; [22.57246377 12.42753623],0
s5,1,0.16872,1.89428,[16 88] ; [ 9 26],[18.70503597 85.29496403] ; [ 6.29496403 28.70503597],0
a3,1,0.1696,1.886473,[57 46] ; [24 11],[60.45652174 42.54347826] ; [20.54347826 14.45652174],0
r4,1,0.172132,1.864278,[64 40] ; [26  9],[67.3381295 36.6618705] ; [22.6618705 12.3381295],0
r2,1,0.191838,1.703444,[83 18] ; [32  3],[85.40441176 15.59558824] ; [29.59558824  5.40441176],0
a4,1,0.203561,1.616637,[32 71] ; [15 20],[35.07971014 67.92028986] ; [11.92028986 23.07971014],0
a8,1,0.21027,1.569569,[ 6 90] ; [ 4 26],[ 7.61904762 88.38095238] ; [ 2.38095238 27.61904762],0
b5,1,0.221971,1.491585,[53 51] ; [22 13],[56.11510791 47.88489209] ; [18.88489209 16.11510791],0
b1,1,0.222249,1.489792,[50 54] ; [21 14],[53.12230216 50.87769784] ; [17.87769784 17.12230216],0
p8,1,0.280496,1.164687,[23 80] ; [11 24],[25.37681159 77.62318841] ; [ 8.62318841 26.37681159],0
a6,1,0.297757,1.084214,[61 43] ; [24 11],[63.5971223 40.4028777] ; [21.4028777 13.5971223],0
n6,1,0.303379,1.059282,[63 39] ; [25 10],[65.51824818 36.48175182] ; [22.48175182 12.51824818],0
s4,1,0.350153,0.872903,[14 90] ; [ 7 28],[15.71223022 88.28776978] ; [ 5.28776978 29.71223022],0
d4,1,0.354973,0.855601,[71 32] ; [27  8],[73.14492754 29.85507246] ; [24.85507246 10.14492754],0
n1,1,0.365937,0.817416,[13 29] ; [5 6],[14.26415094 27.73584906] ; [3.73584906 7.26415094],0
u3,1,0.379781,0.77141,[23 24] ; [7 4],[24.31034483 22.68965517] ; [5.68965517 5.31034483],0
u2,1,0.382193,0.763636,[18 27] ; [6 5],[19.28571429 25.71428571] ; [4.71428571 6.28571429],0
a5,1,0.402613,0.700508,[60 44] ; [23 12],[62.10071942 41.89928058] ; [20.89928058 14.10071942],0
n2,1,0.462029,0.540974,[23 19] ; [8 4],[24.11111111 17.88888889] ; [6.88888889 5.11111111],0
n3,1,0.488136,0.480631,[24 18] ; [5 6],[22.98113208 19.01886792] ; [6.01886792 4.98113208],0
