Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,29.020913,[15 33] ; [31  3],[26.92682927 21.07317073] ; [19.07317073 14.92682927],1
d5,1,1e-06,25.173398,[19 29] ; [32  2],[29.85365854 18.14634146] ; [21.14634146 12.85365854],1
d2,1,0.000144,14.452814,[11 37] ; [22 12],[19.31707317 28.68292683] ; [13.68292683 20.31707317],1
a2,1,0.000885,11.054201,[ 1 47] ; [ 9 25],[ 5.85365854 42.14634146] ; [ 4.14634146 29.85365854],1
a4,1,0.002883,8.880099,[ 8 40] ; [16 18],[14.04878049 33.95121951] ; [ 9.95121951 24.04878049],0
a5,1,0.005005,7.877662,[16 32] ; [22 12],[22.24390244 25.75609756] ; [15.75609756 18.24390244],0
p7,1,0.007428,7.16648,[27 21] ; [ 9 25],[21.07317073 26.92682927] ; [14.92682927 19.07317073],0
a6,1,0.007428,7.16648,[21 27] ; [25  9],[26.92682927 21.07317073] ; [19.07317073 14.92682927],0
a7,1,0.007428,7.16648,[21 27] ; [25  9],[26.92682927 21.07317073] ; [19.07317073 14.92682927],0
v2,1,0.018292,5.567987,[13 33] ; [18 15],[18.05063291 27.94936709] ; [12.94936709 20.05063291],0
a3,1,0.025521,4.988212,[20 27] ; [23 11],[24.95061728 22.04938272] ; [18.04938272 15.95061728],0
s3,1,0.049838,3.84689,[23 25] ; [ 9 25],[18.73170732 29.26829268] ; [13.26829268 20.73170732],0
s4,1,0.061948,3.48446,[12 36] ; [ 3 31],[ 8.7804878 39.2195122] ; [ 6.2195122 27.7804878],0
p11,1,0.111456,2.533453,[24 24] ; [11 23],[20.48780488 27.51219512] ; [14.51219512 19.48780488],0
u3,1,0.138206,2.19782,[13 15] ; [8 3],[15.07692308 12.92307692] ; [5.92307692 5.07692308],0
r1,1,0.15873,1.986282,[25 23] ; [23 11],[28.09756098 19.90243902] ; [19.90243902 14.09756098],0
p9,1,0.186391,1.745919,[18 29] ; [ 8 25],[15.275 31.725] ; [10.725 22.275],0
n2,1,0.202309,1.625625,[13  7] ; [7 9],[11.11111111  8.88888889] ; [8.88888889 7.11111111],0
s6,1,0.213249,1.54923,[17 30] ; [17 17],[19.72839506 27.27160494] ; [14.27160494 19.72839506],0
s2,1,0.234541,1.413112,[16 32] ; [ 7 26],[13.62962963 34.37037037] ; [ 9.37037037 23.62962963],0
p6,1,0.242238,1.367521,[11 37] ; [ 4 28],[ 9. 39.] ; [ 6. 26.],0
